Year,Sources,Name,Authors,First Author,Chinese/English,Abstract,Venues,doi
2020,Proceedings of the ACM on Measurement and Analysis of Computing Systems 4 (3 …,Competitive algorithms for the online multiple knapsack problem with application to electric vehicle charging,"Bo Sun, Ali Zeynali, Tongxin Li, Mohammad Hajiesmaili, Adam Wierman, Danny HK Tsang",Bo Sun,English,"We introduce and study a general version of the fractional online knapsack problem with multiple knapsacks, heterogeneous constraints on which items can be assigned to which knapsack, and rate-limiting constraints on the assignment of items to knapsacks. This problem generalizes variations of the knapsack problem and of the one-way trading problem that have previously been treated separately, and additionally finds application to the real-time control of electric vehicle (EV) charging. We introduce a new algorithm that achieves a competitive ratio within an additive factor of one of the best achievable competitive ratios for the general problem and matches or improves upon the best-known competitive ratio for special cases in the knapsack and one-way trading literatures. Moreover, our analysis provides a novel approach to online algorithm design based on an instance-dependent primal-dual analysis that …",Article,https://dl.acm.org/doi/abs/10.1145/3428336
2020,IEEE Journal on Selected Areas in Communications,Online combinatorial auctions for resource allocation with supply costs and capacity limits,"Xiaoqi Tan, Alberto Leon-Garcia, Yuan Wu, Danny HK Tsang",Xiaoqi Tan,English,"We study a general online combinatorial auction problem in algorithmic mechanism design. A provider allocates multiple types of capacity-limited resources to customers that arrive in a sequential and arbitrary manner. Each customer has a private valuation function on bundles of resources that she can purchase (e.g., a combination of different resources such as CPU and RAM in cloud computing). The provider charges payment from customers who purchase a bundle of resources and incurs an increasing supply cost with respect to the totality of resources allocated. The goal is to maximize the social welfare, namely, the total valuation of customers for their purchased bundles, minus the total supply cost of the provider for all the resources that have been allocated. We adopt the competitive analysis framework and provide posted-price mechanisms with optimal competitive ratios. Our pricing mechanism is optimal in …",Article,https://ieeexplore.ieee.org/abstract/document/8984286/
2021,IEEE Internet of Things Journal,Latency optimization for computation offloading with hybrid NOMA–OMA transmission,"Lina Liu, Bo Sun, Yuan Wu, Danny HK Tsang",Lina Liu,English,"The Internet-of-Things (IoT) platform is faced with critical challenges posed by the conflict between resource-hungry IoT applications and resource-constrained IoT devices. Mobile-edge computing provides a promising solution by allowing IoT devices to offload their computation to nearby edge servers to enable fast and energy-efficient data processing. In this article, we study a scenario, where two IoT users (IoT devices) offload their computation workloads to an edge server with hybrid nonorthogonal multiple access (NOMA)-orthogonal multiple access (OMA) transmission. The hybrid multiple access transmission incorporates three offloading methods, namely, hybrid NOMA, pure NOMA, and pure OMA. The offloading-method selection, together with user selection, which determines the roles played by different IoT users in data transmission, comprises our offloading strategy and is optimized to minimize the …",Article,https://ieeexplore.ieee.org/abstract/document/9340353/
2023,IEEE Transactions on Mobile Computing,FedFA: Federated learning with feature anchors to align features and classifiers for heterogeneous data,"Tailin Zhou, Jun Zhang, Danny HK Tsang",Tailin Zhou,English,"Federated learning allows multiple clients to collaboratively train a model without exchanging their data, thus preserving data privacy. Unfortunately, it suffers significant performance degradation due to heterogeneous data at clients. Common solutions involve designing an auxiliary loss to regularize weight divergence or feature inconsistency during local training. However, we discover that these approaches fall short of the expected performance because they ignore the existence of a  vicious cycle  between feature inconsistency and classifier divergence across clients. This  vicious cycle  causes client models to be updated in inconsistent feature spaces with more diverged classifiers. To break the  vicious cycle , we propose a novel framework named  Fed erated learning with F eature A nchors  (FedFA). FedFA utilizes feature anchors to align features and calibrate classifiers across clients simultaneously. This …",Article,https://ieeexplore.ieee.org/abstract/document/10286887/
2022,arXiv preprint arXiv:2211.04854,"6G mobile-edge empowered metaverse: Requirements, technologies, challenges and research directions","Jiadong Yu, Ahmad Alhilal, Pan Hui, Danny HK Tsang",Jiadong Yu,English,"The Metaverse has emerged as the successor of the conventional mobile internet to change people's lifestyles. It has strict visual and physical requirements to ensure an immersive experience (i.e., high visual quality, low motion-to-photon latency, and real-time tactile and control experience). However, the current technologies fall short to satisfy these requirements. Mobile edge computing (MEC) has been indispensable to enable low latency and powerful computing. Moreover, the sixth generation (6G) networks promise to provide end users with seamless communications. In this paper, we explore and demonstrate the synergistic relationship between 6G and mobile-edge technologies in empowering the Metaverse with ubiquitous communications and computation. This includes the usage of heterogeneous radios, intelligent reflecting surfaces (IRS), non-orthogonal multiple access (NOMA), and digital twins (DTs) - assisted MEC. We also discuss emerging communication paradigms (i.e., semantic communication, holographic-type communication, and haptic communication) to further satisfy the demand for human-type communications and fulfill user preferences and immersive experiences in the Metaverse.",Conference paper,https://arxiv.org/abs/2211.04854
2021,IEEE Internet of Things Journal,Data-driven coordinated charging for electric vehicles with continuous charging rates: A deep policy gradient approach,"Yuxuan Jiang, Qiang Ye, Bo Sun, Yuan Wu, Danny HK Tsang",Yuxuan Jiang,English,"In this article, we consider a parking lot that manages the charging processes of its parked electric vehicles (EVs). Upon arrival, each EV requests a certain amount of energy. This request should be fulfilled before the EV’s departure. It is of critical importance to coordinate the EVs’ charging rates to smooth out the load profile of the parking lot because inappropriate charging rates can lead to sharp spikes and fluctuations on the load profile, imposing negative effects on the power grid. Meanwhile, empirical studies show that many parking lots exhibit statistical patterns on EV dynamics. For example, the bulk of EVs arrives during rush hours. Therefore, in this article, we incorporate such patterns into charging rate coordination. Although the statistical patterns can be summarized from historical data, they are difficult to be analytically modeled. As a result, we adopt a model-free deep reinforcement learning approach. We …",Article,https://ieeexplore.ieee.org/abstract/document/9653670/
2020,IEEE Transactions on Transportation Electrification,Inventory planning and real-time routing for network of electric vehicle battery-swapping stations,"Liang Ni, Bo Sun, Xiaoqi Tan, Danny HK Tsang",Liang Ni,English,"Battery-swapping stations (BSSs) are one of the main types of electric vehicle (EV) refueling facilities. By battery swapping, EVs first replace their depleted batteries (DBs) with fully charged ones, and then, the demounted DBs can be recharged in charging facilities in a stand-alone mode, leading to a decouple between batteries and EVs during refueling. This article targets the planning and operation of a network of geographically distributed BSSs, termed BSS-Net. In particular, we focus on two important decisions being made within two different timescales, namely, a long-term decision on planning the initial inventory in each individual BSS and a short-term decision on real-time vehicle-to-station (V2S) routing of EVs. We formulate a two-stage optimization problem and propose a two-step solution scheme. Specifically, in the first step, we determine the long-term initial inventory by sample average approximation …",Article,https://ieeexplore.ieee.org/abstract/document/9163135/
2020,Proceedings of the ACM on Measurement and Analysis of Computing Systems 4 (2 …,Mechanism design for online resource allocation: A unified approach,"Xiaoqi Tan, Bo Sun, Alberto Leon-Garcia, Yuan Wu, Danny HK Tsang",Xiaoqi Tan,English,"This paper concerns the mechanism design for online resource allocation in a strategic setting. In this setting, a single supplier allocates capacity-limited resources to requests that arrive in a sequential and arbitrary manner. Each request is associated with an agent who may act selfishly to misreport the requirement and valuation of her request. The supplier charges payment from agents whose requests are satisfied, but incurs a load-dependent supply cost. The goal is to design an incentive compatible online mechanism, which determines not only the resource allocation of each request, but also the payment of each agent, so as to (approximately) maximize the social welfare (i.e., aggregate valuations minus supply cost). We study this problem under the framework of competitive analysis. The major contribution of this paper is the development of a unified approach that achieves the best-possible competitive ratios …",Article,https://dl.acm.org/doi/abs/10.1145/3392142
2020,IEEE/ACM Transactions on Networking,"Burstable instances for clouds: Performance modeling, equilibrium analysis, and revenue maximization","Yuxuan Jiang, Mohammad Shahrad, David Wentzlaff, Danny HK Tsang, Carlee Joe-Wong",Yuxuan Jiang,English,"Leading cloud providers recently introduced a new instance type named burstable instances to better match the time-varying workloads of tenants and further reduce their costs. In the research community, however, little has been done to understand burstable instances from a theoretical perspective. This paper presents the first unified framework to model, analyze, and optimize the operation of burstable instances. Specifically, we model the resource provisioning of burstable instances, identify key performance metrics, and derive the analytical performance given the resource provisioning decisions. We then characterize the equilibrium behind tenants' responses to the prices offered for different burstable instance service classes, taking into account the impact of tenants' actions on the performance achieved by each service class. In addition, we investigate how a cloud provider can leverage knowledge of this …",Article,https://ieeexplore.ieee.org/abstract/document/9178492/
2021,IEEE Transactions on Wireless Communications,Enhancing ambient backscatter communication utilizing coherent and non-coherent space-time codes,"Wenjing Liu, Shanpu Shen, Danny HK Tsang, Ross Murch",Wenjing Liu,English,"Ambient backscatter communication (AmBC) leverages the existing ambient radio frequency (RF) environment to implement communication with battery-free devices. The key challenge in the development of AmBC is the very weak RF signals backscattered by the AmBC Tag. To overcome this challenge, we propose the use of orthogonal space-time block codes (OSTBC) by incorporating multiple antennas at the Tag as well as at the Reader. Our approach considers both coherent and non-coherent OSTBC so that systems with and without channel state information can be considered. To allow the application of OSTBC, we develop an approximate linearized and normalized multiple-input multiple-output (MIMO) channel model for the AmBC system. This MIMO channel model is shown to be accurate for a wide range of useful operating conditions. Two coherent detectors and a non-coherent detector are also …",Article,https://ieeexplore.ieee.org/abstract/document/9430725/
