Year,Sources,Name,Authors,First Author,Chinese/English,Abstract,Venues,doi
2022,2022 international conference on smart applications,Architecture framework for intelligence orchestration in AIoT and IoT,"Edgar J Ramos, Marie-José Montpetit, Antonio F Skarmeta, Mathieu Boussard, Vangelis Angelakis, Dirk Kutscher",Edgar J Ramos,English,"The emergence of novel architectures such as fog and edge computing have blurred the boundaries between the network core and its periphery leading the Internet towards a computer board equivalent, while keeping the inherent distribution of the original Internet. In this paper, we present a novel architecture using an Intelligence Orchestration approach that is needed in this new network continuum computing paradigm. We aim to tackle the series of challenges of such as heterogeneity of stakeholders, use case and type of business dynamics, in addition to hardware and platforms by providing an “operating system” (OS) like design. The principles of the architecture are described and its advantages and needed next steps are also discussed.",Conference paper,https://ieeexplore.ieee.org/abstract/document/9994029/
2022,Proceedings of the 9th ACM Conference on Information-Centric Networking,Delay-tolerant ICN and its application to LoRa,"Peter Kietzmann, José Alamos, Dirk Kutscher, Thomas C Schmidt, Matthias Wählisch",Peter Kietzmann,English,"Connecting long-range wireless networks to the Internet imposes challenges due to vastly longer round-trip-times (RTTs). In this paper, we present an ICN protocol framework that enables robust and efficient delay-tolerant communication to edge networks. Our approach provides ICN-idiomatic communication between networks with vastly different RTTs. We applied this framework to LoRa, enabling end-to-end consumer-to-LoRa-producer interaction over an ICN-Internet and asynchronous data production in the LoRa edge. Instead of using LoRaWAN, we implemented an IEEE 802.15.4e DSME MAC layer on top of the LoRa PHY and ICN protocol mechanisms in RIOT OS. Executed on off-the-shelf IoT hardware, we provide a comparative evaluation for basic NDN-style ICN [60], RICE [31]-like pulling, and reflexive forwarding [46]. This is the first practical evaluation of ICN over LoRa using a reliable MAC. Our …",Conference paper,https://dl.acm.org/doi/abs/10.1145/3517212.3558081
2022,2022 IFIP Networking Conference (IFIP Networking),Long-range ICN for the IoT: Exploring a LoRa system design,"Peter Kietzmann, José Alamos, Dirk Kutscher, Thomas C Schmidt, Matthias Wählisch",Peter Kietzmann,English,"This paper presents LoRa-ICN, a comprehensive IoT networking system based on a common long-range communication layer (LoRa) combined with Information-Centric Networking (ICN) principles. We have replaced the LoRaWAN MAC layer with an IEEE 802.15.4 Deterministic and Synchronous Multi-Channel Extension (DSME). This multifaceted MAC layer allows for different mappings of ICN message semantics, which we explore to enable new LoRa scenarios. We designed LoRa-ICN from the ground-up to improve reliability and to reduce dependency on centralized components in LoRa IoT scenarios. We have implemented a feature-complete prototype in a common network simulator to validate our approach. Our results show design trade-offs of different mapping alternatives in terms of robustness and efficiency.",Conference paper,https://ieeexplore.ieee.org/abstract/document/9829792/
2020,Proceedings of the 7th ACM Conference on Information-Centric Networking,Long-Range IoT: Is LoRaWAN an option for ICN?,"Peter Kietzmann, Dirk Kutscher, Thomas C Schmidt, Matthias Wählisch",Peter Kietzmann,English,"In this poster, we discuss design options for a LoRaWAN and LoRa transmission system to employing Information-Centric Networking (ICN). ICN has been successfully applied to LoWPAN scenarios and can provide many benefits with respect to object-based security, performance, disruption tolerance and usability. Our findings indicate that the current LoRaWAN MAC layer is impractical for an ICN request-response with caching. We present ideas for a new MAC layer that harmonizes the long-range LoRa radios with ICN.",Conference paper,https://dl.acm.org/doi/abs/10.1145/3405656.3420228
2023,ACM SIGCOMM Computer Communication Review,Report of 2021 DINRG Workshop on Centralization in the Internet,"Christian Huitema, Geoff Huston, Dirk Kutscher, Lixia Zhang",Christian Huitema,English,"The Internet Research Task Force (IRTF) Research Group on Decentralizing the Internet (DINRG) hosted a workshop on Centralization in the Internet on June 3, 2021. The workshop focused on painting a broad-brush landscape of the Internet centralization problem space: its starting point, its driving force, together with an articulation on what can and should be done.",Article,https://dl.acm.org/doi/abs/10.1145/3610381.3610386
2022,Proceedings of the 9th ACM Conference on Information-Centric Networking,RESTful information-centric networking: statement,"Dirk Kutscher, David Oran",Dirk Kutscher,English,"Web applications today utilize the Representation State Transfer (REST) architectural pattern, depending on HTTP, TLS, and either TCP or QUIC as the protocol substrate to build upon. Our vision is to achieve the key properties of REST using ICN protocols as an alternative. We argue that this is feasible given some of the recent advances in ICN protocol development and that the resulting suite is simpler and potentially having better performance and robustness properties. Our sketch of an ICN-based protocol framework addresses secure and efficient establishment and continuation of REST communication sessions, without giving up key ICN properties, such as consumer anonymity and flow balance.",Conference paper,https://dl.acm.org/doi/abs/10.1145/3517212.3558089
2021,Proceedings of the 8th ACM Conference on Information-Centric Networking,Vision: information-centric dataflow: re-imagining reactive distributed computing,"Dirk Kutscher, Laura Al Wardani, TM Rayhan Gias",Dirk Kutscher,English,"This paper describes an Information-Centric Dataflow system that is based on name-based access to computation results, NDN PSync dataset synchronization for enabling consuming compute functions to learn about updates and for coordinating the set of compute functions in a distributed Dataflow pipeline. We describe how relevant Dataflow concepts can be mapped to ICN and how data-sharing, data availability and scalability can be improved compared to state-of-the-art systems. We also provide a specification of an application-independent namespace design and report on our experience with a first prototype implementation.",Conference paper,https://dl.acm.org/doi/abs/10.1145/3460417.3482975
2023,Proceedings of the 18th Asian Internet Engineering Conference,Cornerstone: Automating Remote NDN Entity Bootstrapping,"Tianyuan Yu, Xinyu Ma, Hongcheng Xie, Dirk Kutscher, Lixia Zhang",Tianyuan Yu,English," To secure all communications, Named Data Networking (NDN) requires that each entity joining an NDN network go through a bootstrapping process first, to obtain its initial security credentials. Several solutions have been developed to bootstrap IoT devices in localized environments, where the devices being bootstrapped are within the physical reach of their bootstrapper. However, distributed applications need to bootstrap remote users and devices into an NDN-based system over insecure Internet connectivity. In this work, we take Hydra, a federated distributed file storage system made of servers contributed by multiple participating organizations, as a use case to drive the design and development of a remote bootstrapping solution, dubbed Cornerstone. We describe the design of Cornerstone, evaluate its effectiveness, and discuss the lessons learned from this process. ",Conference paper,https://dl.acm.org/doi/abs/10.1145/3630590.3630598
2021,Proceedings of the 8th ACM Conference on Information-Centric Networking,Decentralized ICN-based dataflow system implementation,"Laura Al Wardani, TM Rayhan Gias, Dirk Kutscher",Laura Al Wardani,English,"This demo implements a distributed, data-oriented stream processing system. This system implements stream processing using Named Data Networking (NDN) -based communications. It exploits NDN-networking features to promote stream processing in an efficient, decentralized system.",Conference paper,https://dl.acm.org/doi/abs/10.1145/3460417.3483377
2021,Dagstuhl Reports,Compute-First Networking (Dagstuhl Seminar 21243),"Jon Crowcroft, Philip Eardley, Dirk Kutscher, Eve M Schooler",Jon Crowcroft,English,"A Dagstuhl seminar on Compute-First Networking (CFN) was held online from June 14th to June 16th 2021. We discussed the opportunities and research challenges for a new approach to in-network computing, which aims to overcome limitations of traditional edge/in-network computing systems.",Conference paper,https://drops.dagstuhl.de/opus/volltexte/2021/15570/pdf/dagrep_v011_i005_p054_21243.pdf
2020,US Patent 10,Method and device of processing ICN interest messages in a DTN scenario,"Jan Seedorf, Dirk Kutscher, Bilal Gill",Jan Seedorf,English,"(57) ABSTRACT A method of processing information centric networking (ICN) interest messages in a delay tolerant networking (DTN) scenario, wherein ICN data mules receive interests for content from end-users and disseminate content to end-users based on the interests and/or during encounters with other ICN data mules, includes performing a popularity estimation of content; appending, by a first end-user when forwarding an interest for given content to a data mule, a nonce to the interest; and employing, by a first data mule, the appended nonce according to predefined rules to maintain and/or record a counter for interests for the given content. The counter functions as a popularity indicator for the givenCOntent.",Conference paper,https://patents.google.com/patent/US10530884B2/en
2023,IEEE Communications Magazine,Rethinking LoRa for the IoT: An Information-centric Approach,"Peter Kietzmann, José Alamos, Dirk Kutscher, Thomas C Schmidt, Matthias Wählisch",Peter Kietzmann,English,"In this article, we present LoRa-ICN, a new long-range communication system that provides a versatile data-oriented integration of battery-driven LoRa nodes into the Internet of Things (IoT). LoRa-ICN builds on two paradigms: information-centric networking (ICN), which enables more direct, data-oriented communication between Internet systems and the low-power wireless domain, and 802.15.4 DSME, which is an IoT MAC layer that facilitates reliable LoRa transmissions. While the combination of LoRa and DSME is generally better suited for bi-directional end-to-end communication, it still incurs considerable long and variable transmission latencies, and challenges the network layer transition between the power-constrained wireless domain and the Internet. Our design and implementation on actual off-the-shelf IoT hardware includes extensions to ICN that enable delay-tolerant data retrieval between LoRa …",Article,https://ieeexplore.ieee.org/abstract/document/10323409/
2023,Proceedings of the 10th ACM Conference on Information-Centric Networking …,Statement: The Metaverse as an Information-Centric Network,"Dirk Kutscher, Jeff Burke, Giuseppe Fioccola, Paulo Mendes",Dirk Kutscher,English,"This paper discusses challenges and opportunities of considering the Metaverse as an Information-Centric Network (ICN). The Web today essentially represents a data-centric application layer: data named by URLs is manipulated with REST primitives. However, the semantic gap with the underlying host-oriented transport is significant, typically leading to complexity, centralization, and brittleness. Popular interest in ""the Metaverse"" suggests that the end-user experience of the Web will evolve towards always-on eXtended Reality (XR). With the benefit of a historical perspective, computing advances, and decades of experience with a global network, there is an opportunity to holistically consider the Metaverse not as an application of the current network, but an evolution of the network itself, reducing rather than widening the gap between network architecture and application semantics. An ICN architecture offers the …",Conference paper,https://dl.acm.org/doi/abs/10.1145/3623565.3623761
2023,2023 IEEE International Conference on Pervasive Computing and Communications …,How not to IETF: Lessons learned from failed standardization attempts,"Michael Welzl, Jörg Ott, Colin Perkins, Safiqul Islam, Dirk Kutscher",Michael Welzl,English,"Protocol standards work is an interesting mixture of technical, political, financial, and human factors. Standardization processes require stamina as they may be lengthy, and they demand frustration resistance as they may hold surprises at all stages. While this certainly bears some similarity to academic endeavors, the need to build broader consensus and the potential of far reaching industry impact, among other factors, lead to different incentives and value systems. Peer review perspectives may also differ notably. In this paper, we discuss issues we came across in the past when trying to develop and advance technologies in the IETF or push presumed solid technology solutions towards standardization. We summarize our personal perspectives on the lessons learned.",Conference paper,https://ieeexplore.ieee.org/abstract/document/10150250/
2021,US Patent 11,Method and system for introducing in-network services in an end-to-end communication path,"Alessio Silvestro, Dirk Kutscher, Fabian Schneider",Alessio Silvestro,English,"A method for introducing in-network services in an end-to-end communication path between two hosts includes: providing at least one middlebox entity and performing a registration procedure that includes registering the in-network services together with their respective service level agreements at the at least one middlebox entity; by at least one of the two hosts, sending a subscription for the in-network services to the at least one middlebox entity together with a policy list containing at least host-specific security requirements; by the at least one middlebox entity, evaluating potential conflicts between the host-specific security requirements and the service level agreements of the in-network services, and, in case no conflicts are detected, authenticating the in-network services; and inserting the authenticated in-network services within the end-to-end communication path and starting encrypted communication between …",Conference paper,https://patents.google.com/patent/US11128669B2/en
