Year,Sources,Name,Authors,First Author,Chinese/English,Abstract,Venues,doi,Citation,Id
2020,IEEE Communications Letters,Outage probability analysis and minimization in intelligent reflecting surface-assisted MISO systems,"Chang Guo, Ying Cui, Feng Yang, Lianghui Ding",Chang Guo,English,"Intelligent reflecting surface (IRS) is gradually being recognized as a promising technology for improving spectral and energy efficiency of wireless systems. In this letter, we study an IRS-assisted multiple-input single-output (MISO) system where a base station (BS) with multiple antennas arranged in a uniform rectangular array (URA) serves a single-antenna user with the help of an IRS with multiple elements arranged in a URA. We consider a Rician fading model, where the non-line of sight (NLoS) components vary slowly and the line of sight (LoS) components do not change. To reduce costs for channel estimation and phase adjustment, we adopt fixed maximum-ratio transmission (MRT) at the BS, fixed phase shifts at the IRS and constant rate transmission. First, we obtain the expression of the outage probability. Then, we minimize the outage probability by optimizing the phase shifts of the IRS. Finally, we obtain …",Article,https://ieeexplore.ieee.org/abstract/document/9005237/,78,guo2020outage
2020,IEEE Transactions on Wireless Communications,Analysis and optimization of an intelligent reflecting surface-assisted system with interference,"Yuhang Jia, Chencheng Ye, Ying Cui",Yuhang Jia,English,"In this article, we study an intelligent reflecting surface (IRS)-assisted system where a multi-antenna base station (BS) serves a single-antenna user with the help of a multi-element IRS in the presence of interference generated by a multi-antenna BS serving its own single-antenna user. The signal and interference links via the IRS are modeled with Rician fading. To reduce phase adjustment cost, we adopt quasi-static phase shift design where the phase shifts do not change with the instantaneous channel state information (CSI). We investigate two cases of CSI at the BSs, namely, the instantaneous CSI case and the statistical CSI case, and apply Maximum Ratio Transmission (MRT) based on the complete CSI and the CSI of the Line-of-sight (LoS) components, respectively. Different costs on channel estimation and beamforming adjustment are incurred in the two CSI cases. First, we obtain a tractable expression of …",Article,https://ieeexplore.ieee.org/abstract/document/9184252/,73,jia2020analysis
2020,IEEE Transactions on Vehicular Technology,"Joint Optimal Software Caching, Computation Offloading and Communications Resource Allocation for Mobile Edge Computing","Wanli Wen, Ying Cui, Tony QS Quek, Fu-Chun Zheng, Shi Jin",Wanli Wen,English,"As software may be used by multiple users, caching popular software at the wireless edge has been considered to save computation and communications resources for mobile edge computing (MEC). However, fetching uncached software from the core network and multicasting popular software to users have so far been ignored. Thus, existing design is incomplete and less practical. In this paper, we propose a joint caching, computation and communications mechanism which involves software fetching, caching and multicasting, as well as task input data uploading, task executing (with non-negligible time duration) and computation result downloading, and mathematically characterize it. Then, we optimize the joint caching, offloading and time allocation policy to minimize the weighted sum energy consumption subject to the caching and deadline constraints. The problem is a challenging two-timescale mixed …",Article,https://ieeexplore.ieee.org/abstract/document/9090328/,73,wen2020joint
2020,IEEE Journal on Selected Areas in Communications,Jointly sparse signal recovery and support recovery via deep learning with applications in MIMO-based grant-free random access,"Ying Cui, Shuaichao Li, Wanqing Zhang",Ying Cui,English,"In this article, we investigate jointly sparse signal recovery and jointly sparse support recovery in Multiple Measurement Vector (MMV) models for complex signals, which arise in many applications in communications and signal processing. Recent key applications include channel estimation and device activity detection in MIMO-based grant-free random access which is proposed to support massive machine-type communications (mMTC) for Internet of Things (IoT). Utilizing techniques in compressive sensing, optimization and deep learning, we propose two model-driven approaches, based on the standard auto-encoder structure for real numbers. One is to jointly design the common measurement matrix and jointly sparse signal recovery method, and the other aims to jointly design the common measurement matrix and jointly sparse support recovery method. The proposed model-driven approaches can effectively …",Article,https://ieeexplore.ieee.org/abstract/document/9174792/,64,cui2020jointly
2020,IEEE Journal on Selected Areas in Communications,Rate splitting for multi-antenna downlink: Precoder design and practical implementation,"Zheng Li, Chencheng Ye, Ying Cui, Sheng Yang, Shlomo Shamai",Zheng Li,English,"Rate splitting (RS) is a potentially powerful and flexible technique for multi-antenna downlink transmission. In this paper, we address several technical challenges towards its practical implementation for beyond 5G systems. To this end, we focus on a single-cell system with a multi-antenna base station (BS) and K single-antenna receivers. We consider RS in its most general form with 2 K -1 streams, and joint decoding to fully exploit the potential of RS. First, we investigate the achievable rates under joint decoding and formulate the precoder design problems to maximize a general utility function, or to minimize the transmit power under pre-defined rate targets. Building upon the concave-convex procedure (CCCP), we propose precoder design algorithms for an arbitrary number of users. Our proposed algorithms approximate the intractable non-convex problems with a number of successively refined convex problems …",Article,https://ieeexplore.ieee.org/abstract/document/9120024/,55,li2020rate
2021,IEEE Wireless Communications,Robust edge computing in UAV systems via scalable computing and cooperative computing,"Zhi Liu, Cheng Zhan, Ying Cui, Celimuge Wu, Han Hu",Zhi Liu,English,"Unmanned aerial vehicle (UAV) systems are of increasing interest to academia and industry due to their mobility, flexibility, and maneuverability, and are an effective alternative to various uses such as surveillance and mobile edge computing. However, due to their limited computational and communications resources, it is difficult to serve all computation tasks simultaneously. This article tackles this problem by first proposing a scalable aerial computing solution, which is applicable for computation tasks of multiple quality levels, corresponding to different computation workloads and computation results of distinct performance. It opens up the possibility to maximally improve the overall computing performance with limited computational and communications resources. To meet the demands for timely video analysis that exceed the computing power of a UAV, we propose an aerial video streaming enabled cooperative …",Article,https://ieeexplore.ieee.org/abstract/document/9615112/,49,liu2021robust
2020,IEEE Transactions on Multimedia 23,"Optimal Wireless Streaming of Multi-Quality 360 VR Video By Exploiting Natural, Relative Smoothness-Enabled, and Transcoding-Enabled Multicast Opportunities","Kaixuan Long, Ying Cui, Chencheng Ye, Zhi Liu",Kaixuan Long,English,"In this paper, we would like to investigate the optimal wireless streaming of a multi-quality tiled 360 virtual reality (VR) video from a server to multiple users. To this end, we propose to maximally exploit potential multicast opportunities by effectively utilizing characteristics of multi-quality tiled 360 VR videos and computation resources at the users' side. In particular, we consider two requirements for quality variation in one field-of-view (FoV), i.e., the absolute smoothness requirement and the relative smoothness requirement, and two video playback modes, i.e., the direct-playback mode (without user transcoding) and transcode-playback mode (with user transcoding). Besides natural multicast opportunities, we introduce two new types of multicast opportunities, namely, relative smoothness-enabled multicast opportunities, which allow a flexible tradeoff between viewing quality and communications resource …",Article,https://ieeexplore.ieee.org/abstract/document/9220800/,48,long2020optimal
2021,IEEE Transactions on Wireless Communications,Power-efficient wireless streaming of multi-quality tiled 360 VR video in MIMO-OFDMA systems,"Chengjun Guo, Lingzhi Zhao, Ying Cui, Zhi Liu, Derrick Wing Kwan Ng",Chengjun Guo,English,"In this paper, we study the optimal wireless streaming of a multi-quality tiled 360 virtual reality (VR) video from a multi-antenna server to multiple single-antenna users in a multiple-input multiple-output (MIMO)-orthogonal frequency division multiple access (OFDMA) system. In the scenario without user transcoding, we jointly optimize beamforming and subcarrier, transmission power, and rate allocation to minimize the total transmission power. This problem is a challenging mixed discrete-continuous optimization problem. We obtain a globally optimal solution for small multicast groups, an asymptotically optimal solution for a large antenna array, and a suboptimal solution for the general case. In the scenario with user transcoding, we jointly optimize the quality level selection, beamforming, and subcarrier, transmission power, and rate allocation to minimize the weighted sum of the average total transmission power …",Article,https://ieeexplore.ieee.org/abstract/document/9388911/,32,guo2021power
2020,IEEE Transactions on Vehicular Technology,"Analysis and Optimization of Cache-Enabled Fog Radio Access Networks: Successful Transmission Probability, Fractional Offloaded Traffic and Delay","Yanxiang Jiang, Aoao Peng, Chaoyi Wan, Ying Cui, Xiaohu You, Fu-Chun Zheng, Shi Jin",Yanxiang Jiang,English,"In this paper, the edge caching optimization problem in fog radio access networks (F-RANs) is investigated. Considering that fog access points (F-APs) can offer cooperation gain by jointly transmitting the same file or content diversity gain by concurrently transmitting the coded subfiles, we propose to use both joint transmission (JT) strategy and parallel transmission (PT) strategy to serve users. Using tools from stochastic geometry, we first derive the expressions of successful transmission probability (STP) under different transmission strategies, and then derive the expressions of fractional offloaded traffic (FOT) and delay. We further formulate the corresponding edge caching optimization problem to maximize the STP, FOT or minimize the delay. Considering the NP-hard property of the above optimization problem, we propose an improved fruit fly optimization (FFO) based edge caching scheme, which utilizes the …",Article,https://ieeexplore.ieee.org/abstract/document/9040401/,25,jiang2020analysis
2021,IEEE Transactions on Wireless Communications,ML and MAP device activity detections for grant-free massive access in multi-cell networks,"Dongdong Jiang, Ying Cui",Dongdong Jiang,English,"Device activity detection is one main challenge in grant-free massive access, which is recently proposed to support massive machine-type communications (mMTC). Existing solutions for device activity detection fail to consider inter-cell interference generated by massive IoT devices or important prior information on device activities and inter-cell interference. In this paper, given different numbers of observations and network parameters, we consider both non-cooperative device activity detection and cooperative device activity detection in a multi-cell network, consisting of many access points (APs) and IoT devices. Under each activity detection mechanism, we consider the joint maximum likelihood (ML) estimation and joint maximum a posterior probability (MAP) estimation of both device activities and interference powers, utilizing tools from probability, stochastic geometry, and optimization. Each estimation problem …",Article,https://ieeexplore.ieee.org/abstract/document/9611069/,18,jiang2021ml
