Year,Sources,Name,Authors,First Author,Chinese/English,Abstract,Venues,doi
2022,IEEE Internet of Things Journal,Integrated sensing and communications (ISAC) for vehicular communication networks (VCN),"Xiang Cheng, Dongliang Duan, Shijian Gao, Liuqing Yang",Xiang Cheng,English,"With the unprecedented development of smart vehicles and roadside units equipped with wireless connectivity, the transportation system is undergoing revolutionary changes in the past decade or two. Bearing safety and efficiency as the utmost objectives, the vehicular environments are witnessing explosive increase of various sensors onboard vehicles and equipped at transportation infrastructures. On the one hand, these sensors are destined to be wirelessly connected to provide more comprehensive situational awareness for transportation purposes. On the other hand, the abundance of sensor data of the environment can potentially shed light on the channel propagation characteristics that lie at the core of any communications system design. The integrated sensing and communications (ISACs) is henceforth both necessary and natural in vehicular communications networks (VCN). Different from existing ISAC …",Article,https://ieeexplore.ieee.org/abstract/document/9830717/
2020,IEEE Transactions on Wireless Communications,Estimating doubly-selective channels for hybrid mmWave massive MIMO systems: A doubly-sparse approach,"Shijian Gao, Xiang Cheng, Liuqing Yang",Shijian Gao,English,"In mmWave massive multiple-input multiple-output (mMIMO) systems, hybrid (digital/analog) structure has been a prevalent option to balance system cost and performance. To facilitate transceiver design in hybrid mmWave mMIMO, acquiring an accurate channel state information is critical. To this end, a novel doubly-sparse approach is proposed to estimate doubly-selective mmWave channels under hybrid mMIMO. Via the judiciously designed training pattern, the well-utilized beamspace sparsity alongside the under-investigated delay-domain sparsity that mmWave channels exhibit can be jointly exploited to assist channel estimation. Thanks to our careful two-stage (random-probing and steering-probing) design, the proposed channel estimator possesses strong robustness against the double (frequency and time) selectivity whilst enjoying the benefits brought by the exploitation of double sparsity. Compared with …",Article,https://ieeexplore.ieee.org/abstract/document/9102449/
2021,IEEE Transactions on Communications,Mutual information maximizing wideband multi-user (wMU) mmWave massive MIMO,"Shijian Gao, Xiang Cheng, Liuqing Yang",Shijian Gao,English,"To enable next-generation mmWave cellular, it is vital to design high-performance precoding schemes for wideband multi-user (wMU) mmWave massive MIMO (mMIMO). As existing approaches are mostly ad-hoc, thereby lacking performance guarantee, we will tailor an enhanced transceiver design explicitly for wMU mmWave mMIMO, with the goal of maximizing mutual information (MI). The proposed scheme follows the prevalent hybrid block diagonalization (HBD-)based framework that is well-known for balancing the transmitter-end processing flexibility and the user-end detection complexity. In this paper, we for the first time prove that HBD is optimal in the sense of MI. In terms of the transceiver design, we start by decoupling the hybrid processing into a two-stage analog and digital processing, and then derive the MI bounds associated with HBD. By optimizing the tight MI bound, excellent HBD transceivers are …",Article,https://ieeexplore.ieee.org/abstract/document/9335256/
2023,IEEE Communications Surveys & Tutorials,Intelligent multi-modal sensing-communication integration: Synesthesia of machines,"Xiang Cheng, Haotian Zhang, Jianan Zhang, Shijian Gao, Sijiang Li, Ziwei Huang, Lu Bai, Zonghui Yang, Xinhu Zheng, Liuqing Yang",Xiang Cheng,English,"In the era of sixth-generation (6G) wireless communications, integrated sensing and communications (ISAC) is recognized as a promising solution to upgrade the physical system by endowing wireless communications with sensing capability. Existing ISAC is mainly oriented to static scenarios with radio-frequency (RF) sensors being the primary participants, thus lacking a comprehensive environment feature characterization and facing a severe performance bottleneck in dynamic environments. To date, extensive surveys on ISAC have been conducted but are limited to summarizing RF-based radar sensing. Currently, some research efforts have been devoted to exploring multi-modal sensing-communication integration but still lack a comprehensive review. To fill the gap, we embark on an initial endeavor with the goal of establishing a unified framework of intelligent multi-modal sensing-communication integration …",Conference paper,https://ieeexplore.ieee.org/abstract/document/10330577/
2022,Medical Image Analysis 82,Anticipation for surgical workflow through instrument interaction and recognized Signals,"Kun Yuan, Matthew Holden, Shijian Gao, Wonsook Lee",Kun Yuan,English,"Surgical workflow anticipation is an essential task for computer-assisted intervention (CAI) systems. It aims at predicting the future surgical phase and instrument occurrence, providing support for intra-operative decision-support system. Recent studies have promoted the development of the anticipation task by transforming it into a remaining time prediction problem, but without factoring the surgical instruments’ behaviors and their interactions with surrounding anatomies in the network design. In this paper, we propose an Instrument Interaction Aware Anticipation Network (IIA-Net) to overcome the previous deficiency while retaining the merits of two-stage models through using spatial feature extractor and temporal model. Spatially, feature extractor utilizes tooltips’ movement to extracts the instrument–instrument interaction, which helps model concentrate on the surgeon’s actions. On the other hand, it introduces the …",Article,https://www.sciencedirect.com/science/article/pii/S1361841522002390
2022,IEEE Wireless Communications Letters,Radar integrated MIMO communications for multi-hop V2V networking,"Yajun Fan, Shijian Gao, Dongliang Duan, Xiang Cheng, Liuqing Yang",Yajun Fan,English,"In this letter, we introduce integrated sensing and communications (ISAC) to multi-hop vehicle-to-vehicle (V2V) networks and aim to augment end-to-end information delivery. As ISAC does not automatically guarantee excellence, we therefore carefully formulate two types of problems to jointly optimize power allocation and link selection. Via the proposed efficient solvers, either the power consumption or the outage probability can be significantly lowered than the traditional non-sensing-aided V2V. Aside from the sensed positioning information, the sensed velocity information is also exploited in V2V networking to help combat the Doppler shifts. Thanks to our optimum-ensuring scheme and merit-distilling analysis, this preliminary study is promising to provide a valuable guideline for the deployment of ISAC in future vehicular networks.",Article,https://ieeexplore.ieee.org/abstract/document/9963569/
2021,IEEE Transactions on Vehicular Technology,Wideband generalized beamspace modulation (wGBM) for mmWave massive MIMO over doubly-selective channels,"Yajun Fan, Shijian Gao, Xiang Cheng, Liuqing Yang, Ning Wang",Yajun Fan,English,"Generalized beam modulation (GBM) is a recently proposed spectrum efficiency (SE)-enhanced index modulation (IM) scheme for narrowband millimeter wave (mmWave) massive multiple-input multiple-output (mMIMO) systems with hybrid transceivers. Unlike most existing fully-digital IM techniques whose application to wideband channels is straightforward after adopting the orthogonal frequency division multiplexing (OFDM) technique, extending GBM from the narrowband to wideband channels is quite challenging. The reason is that the per-subcarrier process in hybrid OFDM systems is no longer independent across individuals as all subcarriers share a common analog beamformer. Hence, the designed wideband GBM (wGBM) has to be compatible with hybrid OFDM systems while maintaining the SE-enhanced merit of GBM. Towards this objective, a symbol-based instead of the prevalent subcarrier-based …",Article,https://ieeexplore.ieee.org/abstract/document/9444807/
2021,IEEE Transactions on Wireless Communications,Model enhanced learning based detectors (Me-LeaD) for wideband multi-user 1-bit mmWave communications,"Shijian Gao, Xiang Cheng, Luoyang Fang, Liuqing Yang",Shijian Gao,English,"Referring to the system equipped with single-bit converters, 1-bit mmWave communications is gaining increasing attention for its superb cost efficiency. However, the inherent non-linear distortion renders the detectors designed for classical transparent communications inapplicable, leading to an urgent need for novel detecting solutions dedicated to 1-bit systems. Although a few endeavours have been made towards learning-based (as opposed to the traditional model-based) detectors for multi-user (MU) 1-bit systems, they are exclusively limited to narrowband channels and fail to cope with the multi-path effects inevitable to mmWave systems. In this paper, we first design a learning-based detector (LeaD) for general wideband multi-user (wMU) scenarios. Though stemming from block-based detection, the classic workhorse for transparent systems, LeaD faces either unaffordable complexity or unacceptable data …",Article,https://ieeexplore.ieee.org/abstract/document/9367023/
2020,IEEE Wireless Communications Letters,Hybrid precoded spatial modulation (hPSM) for mmwave massive MIMO systems over frequency-selective channels,"Jinpeng Li, Shijian Gao, Xiang Cheng, Liuqing Yang",Jinpeng Li,English,"Precoded spatial modulation (PSM) is well-known for its simple receiver design and superior error performance. To fully inherit its advantages and overcome its unfeasibility to mmWave hybrid massive multi-input multi-output (mMIMO) systems, a novel hybrid PSM (hPSM) is carefully proposed. Except for a similar digital design, hPSM distinctly differs from PSM for its dependence on the analog part of the mmWave mMIMO transceivers. Moreover, unlike PSM where the relevant design suffices to be restricted on a single subcarrier, hPSM requires joint consideration across all subcarriers. Thanks to our judicious design, the error performance of hPSM is optimized and demonstrated to be advantageous over its non-hPSM counterpart. Meanwhile, the overall design is compatible with prevalent hybrid mmWave systems and enjoys a low implementation complexity.",Article,https://ieeexplore.ieee.org/abstract/document/8989776/
2023,Proceedings of the AAAI Conference on Artificial Intelligence,Scalable bayesian meta-learning through generalized implicit gradients,"Yilang Zhang, Bingcong Li, Shijian Gao, Georgios B Giannakis",Yilang Zhang,English,"Meta-learning owns unique effectiveness and swiftness in tackling emerging tasks with limited data. Its broad applicability is revealed by viewing it as a bi-level optimization problem. The resultant algorithmic viewpoint however, faces scalability issues when the inner-level optimization relies on gradient-based iterations. Implicit differentiation has been considered to alleviate this challenge, but it is restricted to an isotropic Gaussian prior, and only favors deterministic meta-learning approaches. This work markedly mitigates the scalability bottleneck by cross-fertilizing the benefits of implicit differentiation to probabilistic Bayesian meta-learning. The novel implicit Bayesian meta-learning (iBaML) method not only broadens the scope of learnable priors, but also quantifies the associated uncertainty. Furthermore, the ultimate complexity is well controlled regardless of the inner-level optimization trajectory. Analytical error bounds are established to demonstrate the precision and efficiency of the generalized implicit gradient over the explicit one. Extensive numerical tests are also carried out to empirically validate the performance of the proposed method.",Article,https://ojs.aaai.org/index.php/AAAI/article/view/26337
