Year,Sources,Name,Authors,First Author,Chinese/English,Abstract,Venues,doi
2020,IEEE Transactions on Wireless Communications,AUV-aided localization of underwater acoustic devices based on Doppler shift measurements,"Zijun Gong, Cheng Li, Fan Jiang, Jun Zheng",Zijun Gong,English,"The autonomous underwater vehicle(AUV)-aided localization techniques for underwater acoustic devices show promising applications in many scenarios, and most researches in this area are based on the time of arrival (ToA) or the time difference of arrival (TDoA) measurements. However, these measurements are not readily available. To develop a more universally applicable scheme, we investigate the possibility of employing the Doppler shift measurements for underwater localization of acoustic devices in this paper. To be specific, we employ a low-complexity algorithm for Doppler estimation, and prove that the estimation error can be well approximated by zero-mean Gaussian distribution. Based on the Doppler estimates, we can obtain a series of nonlinear equations. To solve them, we propose a two-phase linear algorithm to obtain high-accuracy position information of the target devices. Compared with the …",Article,https://ieeexplore.ieee.org/abstract/document/8952880/
2021,IEEE Transactions on Vehicular Technology,An adaptive asynchronous wake-up scheme for underwater acoustic sensor networks using deep reinforcement learning,"Ruoyu Su, Zijun Gong, Dengyin Zhang, Cheng Li, Yuanzhu Chen, Ramachandran Venkatesan",Ruoyu Su,English,"Underwater acoustic sensor networks (UWSNs), acting as a reliable and efficient infrastructure of the Internet of underwater things (IoUT), have attracted much research interest in recent years due to the wide range of their potential marine applications. The limited energy supply of underwater sensor nodes is a significant challenge that can be mitigated by the cyclic difference set (CDS)-based coordination asynchronous wake-up scheme. However, the CDS-based asynchronous wake-up scheme also introduces long delays in the neighbor discovery that deteriorates packet delay as well as the network lifetime. In this paper, we formulate the problem of policy selection for idle listening as a Markov decision process and exploit the framework of deep reinforcement learning to obtain the optimal policies of underwater sensor nodes. Furthermore, the long short-term memory (LSTM) networks are utilized to estimate the …",Article,https://ieeexplore.ieee.org/abstract/document/9337228/
2020,IEEE Transactions on Vehicular Technology,A machine learning-based approach for auto-detection and localization of targets in underwater acoustic array networks,"Zijun Gong, Cheng Li, Fan Jiang",Zijun Gong,English,"The localization and tracking of underwater objects have many applications. In a proactive underwater sensor array, some nodes will periodically broadcast linear frequency modulated (LFM) signals, which will hit the targets, get reflected and received by the other nodes. Depending on the target's position and velocity, the received signals will also be LFM signals of different frequencies and frequency rates. We can use the Fractional Fourier Transform (FrFT) to analyze the received signal's spectrum and find the peak. Based on the location of the peak, the target's distance and radial velocity can be estimated. However, the accuracy is highly dependent on the sampling interval of the spectrum. Smaller sampling interval leads to higher accuracy but also induces considerable complexity. To overcome this issue, we propose a machine learning-based approach to automatically detect the existence of the target, and …",Article,https://ieeexplore.ieee.org/abstract/document/9250694/
2020,IEEE Transactions on Wireless Communications,Data-aided Doppler compensation for high-speed railway communications over mmWave bands,"Zijun Gong, Cheng Li, Fan Jiang, Moe Z Win",Zijun Gong,English,"Millimeter wave communications show great potentials in many applications, one of which is the high-speed railway(HSR) communication system. However, a major challenge is the Doppler effect caused by the relative-movement between the train and the base station (BS), which leads to fast channel variation. To compensate for the Doppler shift, an accurate channel model is indispensable, and the far-field channel model is generally employed, which assumes that the dimensions of the antenna arrays are negligible compared to the distance between transmitter and receiver. This model is widely used in Cellular systems, but the underlining assumption is not always true for railway communication systems. In this paper, the modeling of the Doppler effect for millimeter wave in HSR communications is conducted, and data-aided Doppler estimation and compensation algorithms are designed based on the new …",Article,https://ieeexplore.ieee.org/abstract/document/9210206/
2020,Mobile Networks and Applications 25,An enhanced AUV-aided TDoA localization algorithm for underwater acoustic sensor networks,"Kun Hao, Kaicheng Yu, Zijun Gong, Xiujuan Du, Yonglei Liu, Lu Zhao",Kun Hao,English," Since localization now has been an essential step in underwater work. The traditional localization algorithm, like time different of arrival (TDoA) has been proposed for its efficiency in terrestrial while it cannot perform perfect because of the unstable propagation in the harsh underwater environment. And autonomous underwater vehicle (AUV) has been used in many circumstances to meet the needs of underwater works. Hence, an enhanced AUV-aided TDoA localization algorithm (EATLA) for underwater acoustic sensor networks (UASNs) is proposed. The AUV dives into the predefined depth from the water surface after acquiring its position coordinates through the GPS, and periodically transmits data packets around the unknown node. After the unknown node receives the data packets and calculates its position, the conditions for the unique result and evaluate the reliability are quantified. Then, to save the …",Article,https://link.springer.com/article/10.1007/s11036-020-01577-5
2020,IEEE Wireless Communications Letters,Analysis of the underwater multi-path reflections on Doppler shift estimation,"Zijun Gong, Cheng Li, Fan Jiang",Zijun Gong,English,"For underwater target localization and tracking, accurate Doppler shift estimation is very important. In this letter, the analysis of the multi-path effect on Doppler shift estimation accuracy is conducted for the narrow-band acoustic underwater channels. We conducted comprehensive analysis on the performance of a widely used low-complexity Doppler estimation algorithm, and showed that the mean square estimation error decreases with sample length quadratically. Then we derived the Cramér-Rao lower bound, which also decreases quadratically with sample length. As a result, we concluded that the impact of multi-path effect is negligible for a sampling length of several seconds. The theoretical results are verified by numerical simulations.",Article,https://ieeexplore.ieee.org/abstract/document/9121300/
2022,IEEE Transactions on Vehicular Technology,Algorithm design and performance analysis of target localization using mobile underwater acoustic array networks,"Ruoyu Su, Zijun Gong, Cheng Li, Xuemin Shen",Ruoyu Su,English,"Space-air-ground-sea integrated network, as a promising networking paradigm for the sixth generation (6 G) communications, connects satellite networks, aerial networks, terrestrial networks, and marine networks. As a fundamental application of marine networks, efficient target localization in the ocean is significant for many marine and underwater applications, including oceanic environmental monitoring, subsea resource exploration, and navigation safety. In this paper, to bring more scalability and feasibility of underwater localization, a mobile underwater acoustic array network is utilized to locate underwater moving targets by leveraging linear frequency modulated (LFM) signals. In the mobile underwater acoustic network, one node is constantly broadcasting LFM signals. Based on the reflected signals received by other nodes, a method that jointly utilizes the propagation delay and the Doppler effect is …",Article,https://ieeexplore.ieee.org/abstract/document/9910421/
2022,IEEE Transactions on Communications,Efficient channel estimation for wideband millimeter wave massive MIMO systems with beam squint,"Yuhui Song, Zijun Gong, Yuanzhu Chen, Cheng Li",Yuhui Song,English,"Massive multiple-input-multiple-output (MIMO) and millimeter wave have been adopted as the enabling technologies for the 5G and beyond 5G (B5G) systems. A challenging problem introduced by the use of large antenna size and wide bandwidth is beam squint, i.e., spatial-wideband effect. Beam squint can significantly degrade the channel estimation performance for conventional channel estimators. Research effort on channel estimation under beam squint conditions has been very limited. For the few available work that attempts to address this problem, they require either all subcarriers or multiple symbols used as pilot for channel estimation, so large overhead becomes inevitable. Therefore, in this paper, we propose an efficient channel estimation method that only requires a small number of subcarriers. The channel estimation problem is formulated as a nonlinear least squares optimization problem. Initial …",Article,https://ieeexplore.ieee.org/abstract/document/9726155/
2023,IEEE Transactions on Signal Processing 71,Tensor-based sparse Bayesian learning with intra-dimension correlation,"Yuhui Song, Zijun Gong, Yuanzhu Chen, Cheng Li",Yuhui Song,English,"Unlike the flat-view matrix, tensor provides an elegant representation to preserve the structure of data in the multidimensional nature. The wide use of tensor-based approaches highlights the limitation of matrix-based methods and has generated increasing needs in multidimensional data analytics. Driven by such demands, tensor decomposition with automatic rank determination has recently emerged as a promising tool for image processing, wireless communications and neural network compression. However, unlike the success in matrix-based schemes of exploring the correlation for performance improvement, existing tensor-based methods fail to consider the correlation structure in the tensor. In this paper, we propose to exploit the tensor intra-dimension correlation within the framework of sparse Bayesian learning. We provide the sparsity-inducing probabilistic models under both canonical polyadic …",Article,https://ieeexplore.ieee.org/abstract/document/10021855/
2023,IEEE Journal on Selected Areas in Communications,Simultaneous Localization and Communications With Massive MIMO-OTFS,"Zijun Gong, Fan Jiang, Cheng Li, Xuemin Shen",Zijun Gong,English,"Next generation cellular network is expected to provide the simultaneous high-accuracy localization and ultra-reliable communication services, even in high mobility scenarios. To that end, the novel orthogonal time frequency space (OTFS) modulation has been developed as a promising physical-layer transmission technique, evident by the outstanding performance in terms of robustness against time-frequency selective fading over the orthogonal frequency division multiplexing (OFDM) counterpart. However, when OTFS meets massive multiple-input multiple-output (MIMO), the specific conditions, under which the delay-Doppler (DD) domain channel model holds, are not identified. In addition, the channel estimation and localization performance in such system is rarely studied. In this work, we target at these new challenges, and conduct comprehensive modelling, performance analysis, and algorithm design for …",Article,https://ieeexplore.ieee.org/abstract/document/10274474/
