Year,Sources,Name,Authors,First Author,Chinese/English,Abstract,Venues,doi
2020,Energy Conversion and Management 213,Hybrid wind energy scavenging by coupling vortex-induced vibrations and galloping,"Junlei Wang, Shanghao Gu, Chengyun Zhang, Guobiao Hu, Geng Chen, Kai Yang, Hang Li, Yuyang Lai, Grzegorz Litak, Daniil Yurchenko",Junlei Wang,English,"This paper presents a hybrid piezoelectric wind energy scavenger with different cross-sectioned bluff bodies, to enhance the energy scavenging performance by coupling both the vortex-induced vibrations (VIV) and galloping phenomena. Theoretical, experimental and computational fluid dynamics (CFD) studies are conducted to investigate the energy scavenger performance with three combinations of the circular and square cross-sections corresponding to the different values of an attack angle. Both theoretical analysis and experimental results reveal that the aerodynamic coefficients (Strouhal number and galloping force coefficients) play key roles in the energy scavenging characteristics. Aerodynamic coefficients for the distinct bluff-body cross-sections and attack angles can significantly affect the energy scavenger performance. Experimental results show that compared to the conventional galloping-based …",Article,https://www.sciencedirect.com/science/article/pii/S0196890420303733
2021,Mechanical Systems and Signal Processing 146,Metamaterial beam with graded local resonators for broadband vibration suppression,"Guobiao Hu, Andrew CM Austin, Vladislav Sorokin, Lihua Tang",Guobiao Hu,English,"This paper investigates a technique for broadband vibration suppression using a graded metamaterial beam. A series of local resonators with the same mass but different natural frequencies are attached to the beam. The difference between the natural frequencies of neighboring local resonators is defined as the frequency spacing. The spectral element method (SEM) is used to model the graded metamaterial beam, and is verified by the corresponding finite element model (FEM). Three figures of merit are defined to quantitatively evaluate the vibration suppression performance of the proposed metamaterial beam, in terms of the attenuation bandwidth and attenuation strength. Subsequently, a design strategy is proposed, and used to tune the frequency spacing to get a wide attenuation region. A parametric study is conducted to reveal the effects of the frequency spacing and damping ratio on the vibration …",Article,https://www.sciencedirect.com/science/article/pii/S088832702030368X
2021,Energy Conversion and Management 235,On the use of metasurface for vortex-induced vibration suppression or energy harvesting,"Junlei Wang, Shaokang Sun, Lihua Tang, Guobiao Hu*, Junrui Liang",Junlei Wang,English,"This paper explores the use of metasurface in designing an aerodynamic system for potential vortex-induced vibration (VIV) suppression or energy harvesting. Four kinds of metasurface patterns are designed to decorate an ordinary cylinder bluff body for modifying its aerodynamic characteristics. A theoretical model is developed for the VIV system by describing the wake as a van der Pol oscillator. The aerodynamic parameters, i.e., the lift and drag coefficients, used in the theoretical model, are determined from three-dimensional CFD simulations. A wind tunnel experiment is conducted to validate the theoretical model and investigate the aerodynamic behaviors of the VIV systems with different bluff bodies. It is found that the metasurface pattern has a significant influence on the aerodynamic characteristics of the bluff body. Using different metasurface patterns to decorate the bluff body, the vortex-induced vibration of …",Article,https://www.sciencedirect.com/science/article/pii/S0196890421001679
2021,Smart Materials and Structures,Acoustic-elastic metamaterials and phononic crystals for energy harvesting: A review,"Guobiao Hu, Lihua Tang, Junrui Liang, Chunbo Lan, Raj Das",Guobiao Hu,English,"Metamaterials and phononic crystals (PCs) with artificially designed periodic microstructures have attracted increasing research interests due to their unique properties that cannot be easily realized in natural materials. In recent years, the applications of metamaterials and PCs have been extended into the field of energy harvesting. A direct integration design strategy can yield a multifunctional system to suppress undesired vibrations/noise and convert them into electrical energy for providing power supply to widely distributed micro-electromechanical systems. Moreover, the defect state mode of metamaterials/PCs can localize the energy with an amplification effect, which has a great potential for improving energy harvesting efficiency. In addition, through tailoring the refractive index profile of metamaterials/PCs, the wave focusing phenomenon can be realized to boost the energy harvesting efficiency over a wide …",Conference paper,https://iopscience.iop.org/article/10.1088/1361-665X/ac0cbc/meta
2021,Mechanical Systems and Signal Processing,A comb-like beam based piezoelectric system for galloping energy harvesting,"Guobiao Hu, Junlei Wang, Lihua Tang",Guobiao Hu,English,This paper proposes a comb-like beam (CombBeam) based piezoelectric energy harvester (PEH) for harvesting wind energy by exploiting the galloping mechanism. The CombBeam-based PEH consists of a series of parasitic beams being mounted to a conventional cantilever beam with a piezoelectric transducer. A theoretical modelling method is established to simplify the proposed CombBeam-based PEH as a multiple-degree-of-freedom (MDOF) system. The conventional beam PEH is first represented as a single-degree-of-freedom (SDOF) system and the parasitic beam is then also converted into an equivalent SDOF system. A factor is derived to correct the reaction force of the SDOF model of the parasitic beam to address the force interaction between the host beam and the parasitic beam and a scaling factor is introduced to reflect the effect of the parasitic beam when being mounted onto the host beam at …,Article,https://www.sciencedirect.com/science/article/pii/S0888327020306877
2020,International journal of energy research,Equivalent circuit representation of a vortex‐induced vibration‐based energy harvester using a semi‐empirical lumped parameter approach,"Junlei Wang, Lihua Tang, Liya Zhao, Guobiao Hu, Rujun Song, Kun Xu",Junlei Wang,English," Small‐scale wind energy harvesting from vortex‐induced vibrations (VIV) has been introduced in recent years as a renewable power source for microelectronics and wireless sensors. Previous studies have focused on modeling and optimizing the VIV‐based piezoelectric energy harvester (VIVPEH) structures and simplified the complicated interface circuits as pure resistors with an alternating current (AC) output. In practice, an AC output is required to be transformed into a direct current (DC) followed by further regulations before being used for real applications. Incorporating the rectification and regulation, traditional theoretical and numerical models will become extremely cumbersome and even impossible. To address this issue, this work proposes an equivalent circuit model (ECM) for a typical VIVPEH. The Scanlan‐Ehsan aerodynamic force model is employed to describe the fluid‐structure interaction. Wind …",Article,https://onlinelibrary.wiley.com/doi/abs/10.1002/er.5228
2021,Applied Physics Letters,Perspectives in flow-induced vibration energy harvesting,"Junlei Wang, Daniil Yurchenko, Guobiao Hu*, Liya Zhao, Lihua Tang, Yaowen Yang",Junlei Wang,English,"Flow-induced vibration (FIV) energy harvesting has attracted extensive research interest in the past two decades. Remarkable research achievements and contributions from different aspects are briefly overviewed. Example applications of FIV energy harvesting techniques in the development of Internet of Things are mentioned. The challenges and difficulties in this field are summarized from two sides. First, the multi-physics coupling problem in FIV energy harvesting still cannot be well handled. There is a lack of system-level theoretical modeling that can accurately account for fluid–structure interaction, the electromechanical coupling, and complicated interface circuits. Second, the robustness of FIV energy harvesters needs to be further improved to adapt to the uncertainties in practical scenarios. To be more specific, the cut-in wind speed is expected to be further reduced and the power output to be increased …",Article,https://pubs.aip.org/aip/apl/article/119/10/100502/39619
2021,Energy Conversion and Management 243,Exploring the potential benefits of using metasurface for galloping energy harvesting,"Junlei Wang, Shaokang Sun, Guobiao Hu*, Yaowen Yang, Lihua Tang, Pan Li, Guojie Zhang",Junlei Wang,English,"Inspired by the successful applications of metasurfaces in many other fields, this paper aims to explore the potential application of metasurfaces in designing aerodynamic systems. Bluff bodies are proposed to be wrapped in metasurfaces for improving galloping energy harvesting. Three different metasurfaces with convex cylinder, tri-prim, and wedge ornaments are designed. A general aeroelastic model for a galloping energy harvester is developed. The aerodynamic force is represented by a polynomial function with its coefficients being determined from three-dimensional CFD simulations. Subsequently, physical prototypes of the proposed galloping piezoelectric energy harvesters are fabricated, and experimental tests are conducted. The theoretical model is validated by the experimental results. The analytical method and three-dimensional CFD simulation are combined to predict the dynamic responses of the …",Article,https://www.sciencedirect.com/science/article/pii/S0196890421005902
2022,Energy conversion and management 258,Towards real-time self-powered sensing with ample redundant charges by a piezostack-based frequency-converted generator from human motions,"Zhongjie Li, Xuzhang Peng, Guobiao Hu, Dong Zhang, Zhibing Xu, Yan Peng, Shaorong Xie",Zhongjie Li,English,"This paper presents a piezostack-based frequency up-converting generator for scavenging ultra-low frequency (lower than 5 Hz) vibration energy associated with human motion. The generator, consisting of a force amplifier, a piezoelectric stack, a spring-mass system, and a spring limiter, realizes ultra-low frequency conversion mainly through the impact-induced frequency conversion effect. To estimate the output voltage of the generator numerically, we built a two-degree-of-freedom (2DOF) equivalent model based on the mechanical structure of the harvester. Moreover, we conducted five series of experiments to investigate the output performance of a fabricated prototype. The prototype generates an instantaneous peak-peak output power of 5.56 W (averaged power of 0.93 mW) excited by human running motions. A 'SHU' LED array was lighted up in real-time successfully. We then tested the performance of the …",Article,https://www.sciencedirect.com/science/article/pii/S019689042200262X
2021,Mechanical Systems and Signal Processing 156,Achieve frequency-self-tracking energy harvesting using a passively adaptive cantilever beam,"Chunbo Lan, Zhenning Chen, Guobiao Hu, Yabin Liao, Weiyang Qin",Chunbo Lan,English,"The frequency of the vibration in the ambient environment varies frequently, which imposes a great challenge for robust energy harvesting. To maintain the high performance of harvesting the variant-frequency vibration, one efficient means is to make the energy harvester track the excitation frequency by itself. To obtain a frequency-self-tracking (FST) energy harvester, an interesting system, e.g., the passively self-adaptive structure, has attracted a lot of attention recently. Though passively self-adaptive systems designed based on symmetric structures have been considerably reported, the passive self-adaptation of asymmetric structures is still an open question to be explored. To this end, this paper investigates the dynamics of a cantilever beam with a sliding mass. Experimental results indicate that the passively self-adaptive behavior occurs in the second eigenmode rather than the fundamental eigenmode, which …",Article,https://www.sciencedirect.com/science/article/pii/S0888327021000674
