Year,Sources,Name,Authors,First Author,Chinese/English,Abstract,Venues,doi
2024,IEEE Transactions on Vehicular Technology,A Flexible Load Balancing Scheme in Multi-UAV-Enabled Wireless Networks,"Yang Shen, Bing Li, Rongqing Zhang, Xiang Cheng, Liuqing Yang",Yang Shen,English,"Unmanned aerial vehicles (UAVs) equipped with communication modules can act as mobile base stations. In this paper, we focus on load balancing in multi-UAV-enabled wireless networks, where UAVs serve ground user equipments (UEs) with time division multiple access (TDMA). The UEs have spatiotemporal heterogeneous requests to transfer data which need to be fulfilled in time, the unfinished part called unfinished user request. To improve the quality of service (QoS) and promote the overall system performance, we exploit the flexibility of UAVs to propose a flexible and efficient multi-UAV-enabled load balancing (MULB) scheme. Taking the load balancing effect into consideration, the network optimization problem is formulated as minimizing the maximum unfinished user request by jointly optimizing user association, UAV trajectory, and time slot allocation. Due to integer constraints and non-convexity, we …",Article,https://ieeexplore.ieee.org/abstract/document/10411862/
2023,Proceedings of the 2nd on Graph Neural Networking Workshop 2023,Active Few-shot Learning For RouteNet-Fermi,"Xiaoyi Fu, Menghan Shao, Songze Li, Liuqing Yang",Xiaoyi Fu,English,"Machine-learning-based Network Modeling requires a compact training data set that contains diversified network topology and configurations covering different congestion levels. We formalize the problem of modeling network delay using Multi-stage Message Passing Graph Neural Networks (GNNs) under the constraints of a limited number of training samples and a limited number of nodes for the topology of each sample as a few-shot learning problem. To tackle it, we propose an active learning algorithm that selectively randomizes initial features that are invariant of node numbers and then uses pool-based uncertainty sampling for selecting the approximated optimal network topology based on the Shannon entropy. The approximation could be theoretically proven and confirmed with experimental results.",Conference paper,https://dl.acm.org/doi/abs/10.1145/3630049.3630174
2023,arXiv preprint arXiv:2310.02561,Integrated Sensing and Communications towards Proactive Beamforming in mmWave V2I via Multi-Modal Feature Fusion (MMFF),"Haotian Zhang, Shijian Gao, Xiang Cheng, Liuqing Yang",Haotian Zhang,English,"The future of vehicular communication networks relies on mmWave massive multi-input-multi-output antenna arrays for intensive data transfer and massive vehicle access. However, reliable vehicle-to-infrastructure links require exact alignment between the narrow beams, which traditionally involves excessive signaling overhead. To address this issue, we propose a novel proactive beamforming scheme that integrates multi-modal sensing and communications via Multi-Modal Feature Fusion Network (MMFF-Net), which is composed of multiple neural network components with distinct functions. Unlike existing methods that rely solely on communication processing, our approach obtains comprehensive environmental features to improve beam alignment accuracy. We verify our scheme on the Vision-Wireless (ViWi) dataset, which we enriched with realistic vehicle drifting behavior. Our proposed MMFF-Net achieves …",Article,https://ieeexplore.ieee.org/abstract/document/10566572/
2023,IEEE Transactions on Intelligent Vehicles,UAV Swarm Cooperative Target Search: A Multi-Agent Reinforcement Learning Approach,"Yukai Hou, Jin Zhao, Rongqing Zhang, Xiang Cheng, Liuqing Yang",Yukai Hou,English,"The development of machine learning and artificial intelligence algorithms, as well as the progress of unmanned aerial vehicle swarm technology, has significantly enhanced the intelligence and autonomy of unmanned aerial vehicles in search missions, resulting in greater efficiency when searching unknown areas. However, as search scenarios become more complex, the existing unmanned aerial vehicle swarm search method lacks scalability and efficient cooperation. Furthermore, due to the increasing scale of search scenarios, the accuracy and real-time performance of global information are difficult to ensure, necessitating the provision of local information. This paper focuses on the large-scale search scenario and split it to provide both local and global information for running unmanned aerial vehicle swarm search algorithms. Since the search environment is often unknown, dynamic, and complex, it requires …",Article,https://ieeexplore.ieee.org/abstract/document/10254323/
2023,IEEE Transactions on Wireless Communications,Hierarchical Task Offloading for Vehicular Fog Computing Based on Multi-Agent Deep Reinforcement Learning,"Yukai Hou, Zhiwei Wei, Rongqing Zhang, Xiang Cheng, Liuqing Yang",Yukai Hou,English,"Vehicular fog computing (VFC) has been expected as a promising architecture that can make full use of computing resources of idle vehicles to increase computing capability. However, most current VFC architectures only focus on the local region and ignore the spatio-temporal heterogeneity of computing resources, resulting in that some regions have idle computing resources while others cannot satisfy the requirements of tasks. To further improve the overall computing resource utilization in the whole network, in this work, we propose a hierarchical VFC architecture, where neighboring regions can share their idle computing resources. Considering the high complexity of both inter- and intra-region cooperative task offloading in such a hierarchical VFC architecture, we put forward a distributed task offloading strategy based on multi-agent reinforcement learning in which the multi-agent reinforcement learning …",Article,https://ieeexplore.ieee.org/abstract/document/10225697/
2023,IEEE Internet of Things Journal,An Efficient Distributed Multi-vehicle Cooperative Tracking Framework via Multicast,"Sijiang Li, Dongliang Duan, Jianan Zhang, Xiang Cheng, Liuqing Yang",Sijiang Li,English,"To support various upper applications of intelligent vehicles ranging from driving assistance to automated planning and control, accurate localization, and tracking are the fundamental tasks. Given the limited versatility and efficiency of traditional single-vehicle multisensor and multivehicle multisensor localization and tracking solutions, this article presents an efficient distributed multivehicle cooperative tracking framework via multicast. Once the self-positioning data is locally fused with assistance from roadside units, each vehicle shares the local-fusion results with surrounding vehicles through multicast and observes surrounding vehicles with on-board sensing equipment. The vehicles can then jointly feed the local-fusion results, received multicast information, and observation results into a global filter to obtain accurate and robust cooperative tracking. By leveraging multicast, the communication load is reduced …",Article,https://ieeexplore.ieee.org/abstract/document/10201860/
2023,2023 IEEE Power & Energy Society General Meeting (PESGM),Regional Medium-Term Hourly Electricity Demand Forecasting Based on LSTM,"Hongfei Sun, Dongliang Duan, Hongming Zhang, Seong Choi, Jie Rockey Luo, Liuqing Yang",Hongfei Sun,English,"This paper aims to forecast high-resolution (hourly) aggregated load for a certain region in the medium term (a few days to over a year). One region is defined as some places with similar climate characteristics because the climate influences people’s daily lifestyles and hence the electric usage. We decompose the electric usage records into two parts: base load and seasonal load. Considering both temperature and time factors, different deep learning methods are adopted to characterize them. The first goal of our approach is to predict the peak load which is critical for power system planning. Furthermore, our proposed forecast method can provide the depiction of the hourly load profile to provide customized load curves for high-level real-time applications. The proposed method is tested on real-world historical data collected by CAISO, BPA, and PACW. The experimental results show that trained by three years of …",Conference paper,https://ieeexplore.ieee.org/abstract/document/10253011/
2023,2023 IEEE Symposium on Computers and Communications (ISCC),Cross-Regional Task Offloading with Multi-Agent Reinforcement Learning for Hierarchical Vehicular Fog Computing,"Yukai Hou, Zhiwei Wei, Shiyang Liu, Bing Li, Rongqing Zhang, Xiang Cheng, Liuqing Yang",Yukai Hou,English,"Vehicular fog computing (VFC) can make full use of computing resources of idle vehicles to increase computing capability. However, most current VFC architectures only focus on the local region and ignore the spatio-temporal distribution of computing resources, resulting that some regions have idle computing resources while others cannot satisfy the requirements of tasks. Therefore, we propose a hierarchical VFC architecture, where neighboring regions can share their idle computing resources. Considering that the existing centralized offloading mode is not scalable enough and the high complexity of cooperative task offloading, we put forward a distributed task offloading strategy based on multi-agent reinforcement learning. Moreover, to tackle the inefficiency caused by the multi-agent credit assignment problem, we provide the counterfactual multi-agent reinforcement learning approach which exploits a …",Conference paper,https://ieeexplore.ieee.org/abstract/document/10217881/
2023,arXiv preprint arXiv:2306.14143,Intelligent Multi-Modal Sensing-Communication Integration: Synesthesia of Machines,"Xiang Cheng, Haotian Zhang, Jianan Zhang, Shijian Gao, Sijiang Li, Ziwei Huang, Lu Bai, Zonghui Yang, Xinhu Zheng, Liuqing Yang",Xiang Cheng,English,"In the era of sixth-generation (6G) wireless communications, integrated sensing and communications (ISAC) is recognized as a promising solution to upgrade the physical system by endowing wireless communications with sensing capability. Existing ISAC is mainly oriented to static scenarios with radio-frequency (RF) sensors being the primary participants, thus lacking a comprehensive environment feature characterization and facing a severe performance bottleneck in dynamic environments. To date, extensive surveys on ISAC have been conducted but are limited to summarizing RF-based radar sensing. Currently, some research efforts have been devoted to exploring multi-modal sensing-communication integration but still lack a comprehensive review. To fill the gap, we embark on an initial endeavor with the goal of establishing a unified framework of intelligent multi-modal sensing-communication integration …",Article,https://ieeexplore.ieee.org/abstract/document/10330577/
2023,IEEE Internet of Things Journal,TBOMC: A Task-Block-Based Overlapping Matching-Coalition Scheme for Task Offloading in Vehicular Fog Computing,"Zhiwei Wei, Bing Li, Rongqing Zhang, Xiang Cheng, Liuqing Yang",Zhiwei Wei,English,"Vehicular fog computing (VFC) is regarded as a promising framework for vehicular computing applications by utilizing local spare resources of nearby vehicles to conduct ubiquitous time-critical and data-intensive tasks. Meanwhile, how to provide stable and low-latency services through real-time task offloading has become a heated issue. Opposite to the traditional task-to-individual offloading manner, in this article, we propose a novel task-block (TB)-based offloading paradigm for VFC, in which the tasks are merged into blocks to be assigned and offloaded. This TB-based offloading paradigm effectively alleviates the offloading decision-making burden and, thus, reduces the overall computation latency in the dynamic vehicular environment. Faced with transmission-reliable and time-intensive requirements of TBs, we turn to cooperation among vehicles and further propose a TB-based overlapping matching …",Article,https://ieeexplore.ieee.org/abstract/document/10093928/
2023,IEEE Transactions on Mobile Computing,Many-to-Many Task Offloading in Vehicular Fog Computing: A Multi-Agent Deep Reinforcement Learning Approach,"Zhiwei Wei, Bing Li, Rongqing Zhang, Xiang Cheng, Liuqing Yang",Zhiwei Wei,English,"Vehicular fog computing (VFC) has emerged as a promising solution to mitigate vehicular network computation load. In the hierarchical VFC, vehicles are employed as mobile fog nodes at the edge to provide reliable and low-latency services. Particularly, since privately-owned vehicles are rational nodes, their intentions for both computation provision and service demand should be considered instead of overestimating their willingness. To remunerate the participation intentions of vehicles as well as improve vehicular fog resource utilization in the large-scale VFC, the trading-based mechanism is a potential solution. In this article, we propose a many-to-many task offloading framework based on the vehicular trading paradigm. This framework enables computational resource trading across different VFC subsystems and decides the multi-tier task offloading results based on the trading consensus. The trading …",Article,https://ieeexplore.ieee.org/abstract/document/10056271/
2023,mmWave Massive MIMO Vehicular Communications,Millimeter-Wave Vehicular Communications,"Xiang Cheng, Shijian Gao, Liuqing Yang",Xiang Cheng,English,"This chapter works on presenting a background overview associated with vehicular communications and networking. The first part focuses on reviewing the recent advancements and progress booming in vehicular networking and standardization. As existing wireless solutions cannot guarantee safe, swift, and ubiquitous high-volume data transfer in future vehicular-to-everything communication, mmWave comes into play to help address the information bottleneck beyond the 5G era. Henceforth, the second part follows to provide a holistic overview of mmWave physical fundamentals and mmWave system properties. The chapter is concluded with a brief organization of this monograph studying mmWave vehicular communications.",Conference paper,https://link.springer.com/chapter/10.1007/978-3-030-97508-1_1
2023,mmWave Massive MIMO Vehicular Communications,Millimeter-Wave Index Modulation for Vehicular Downlink Transmission,"Xiang Cheng, Shijian Gao, Liuqing Yang",Xiang Cheng,English,"This chapter works on tailoring an index modulation (IM) for mmWave vehicular downlink access. The proposed wideband precoded beamspace modulation (wPBM) stems from the well-known spatial modulation. However, a careful adaptation has been conducted to combat time selectivity and remain compatible with hybrid wideband massive multiple-input multiple-output (mMIMO) systems. Relying on the previously developed hybrid block diagonalization (HBD-) based transceiver framework, we successfully extend the single-user wPBM to a downlink multi-user scenario. Following a dedicated low-complexity beamspace selection scheme, geometric mean decomposition is applied over the high-quality equivalent digital channel. Consequently, all users will be guaranteed to enjoy the fairness of Quality of Service in error performance. In addition, the performance merits keep remarkable in high mobility …",Conference paper,https://link.springer.com/chapter/10.1007/978-3-030-97508-1_6
