Year,Sources,Name,Authors,First Author,Chinese/English,Abstract,Venues,doi
2020,IEEE Internet of Things Journal,Resource allocation with edge computing in IoT networks via machine learning,"Xiaolan Liu, Jiadong Yu, Jian Wang, Yue Gao",Xiaolan Liu,English,"In this article, we investigate resource allocation with edge computing in Internet-of-Things (IoT) networks via machine learning approaches. Edge computing is playing a promising role in IoT networks by providing computing capabilities close to users. However, the massive number of users in IoT networks requires sufficient spectrum resource to transmit their computation tasks to an edge server, while the IoT users were developed to have more powerful computation ability recently, which makes it possible for them to execute some tasks locally. Then, the design of computation task offloading policies for such IoT edge computing systems remains challenging. In this article, centralized user clustering is explored to group the IoT users into different clusters according to users’ priorities. The cluster with the highest priority is assigned to offload computation tasks and executed at the edge server, while the lowest priority cluster …",,https://ieeexplore.ieee.org/abstract/document/8972358/
2020,China Communications,Multi-agent reinforcement learning for resource allocation in IoT networks with edge computing,"Xiaolan Liu, Jiadong Yu, Zhiyong Feng, Yue Gao",Xiaolan Liu,English,"To support popular Internet of Things (IoT) applications such as virtual reality and mobile games, edge computing provides a front-end distributed computing archetype of centralized cloud computing with low latency and distributed data processing. However, it is challenging for multiple users to offload their computation tasks because they are competing for spectrum and computation as well as Radio Access Technologies (RAT) resources. In this paper, we investigate computation offloading mechanism of multiple selfish users with resource allocation in IoT edge computing networks by formulating it as a stochastic game. Each user is a learning agent observing its local network environment to learn optimal decisions on either local computing or edge computing with a goal of minimizing long term system cost by choosing its transmit power level, RAT and sub-channel without knowing any information of the other …",,https://ieeexplore.ieee.org/abstract/document/9205989/
2020,IEEE Journal on Selected Areas in Communications,3D channel tracking for UAV-satellite communications in space-air-ground integrated networks,"Jiadong Yu, Xiaolan Liu, Yue Gao, Xuemin Shen",Jiadong Yu,English,"The space-air-ground integrated network (SAGIN) aims to provide seamless wide-area connections, high throughput and strong resilience for 5G and beyond communications. Acting as a crucial link segment of the SAGIN, unmanned aerial vehicle (UAV)-satellite communication has drawn much attention. However, it is a key challenge to track dynamic channel information due to the low earth orbit (LEO) satellite orbiting and three-dimensional (3D) UAV trajectory. In this paper, we explore the 3D channel tracking for a Ka-band UAV-satellite communication system. We firstly propose a statistical dynamic channel model called 3D two-dimensional Markov model (3D-2D-MM) for the UAV-satellite communication system by exploiting the probabilistic insight relationship of both hidden value vector and joint hidden support vector. Specifically, for the joint hidden support vector, we consider a more realistic 3D support …",,https://ieeexplore.ieee.org/abstract/document/9130836/
2022,IEEE Transactions on Wireless Communications,Deep learning for channel tracking in IRS-assisted UAV communication systems,"Jiadong Yu, Xiaolan Liu, Yue Gao, Chiya Zhang, Wei Zhang",Jiadong Yu,English,"To boost the performance of wireless communication networks, unmanned aerial vehicles (UAVs) aided communications have drawn dramatically attention due to their flexibility in establishing the line of sight (LoS) communications. However, with the blockage in the complex urban environment, and due to the movement of UAVs and mobile users, the directional paths can be occasionally blocked by trees and high-rise buildings. Intelligent reflection surfaces (IRSs) that can reflect signals to generate virtual LoS paths are capable of providing stable communications and serving wider coverage. This is the first paper that exploits a three-dimensional geometry dynamic channel model in IRS- assisted UAV-enabled communication system. Moreover, we develop a novel deep learning based channel tracking algorithm consisting of two modules: channel pre-estimation and channel tracking. A deep neural network with …",,https://ieeexplore.ieee.org/abstract/document/9743298/
2022,arXiv preprint arXiv:2211.04854,"6G mobile-edge empowered metaverse: Requirements, technologies, challenges and research directions","Jiadong Yu, Ahmad Alhilal, Pan Hui, Danny HK Tsang",Jiadong Yu,English,"The Metaverse has emerged as the successor of the conventional mobile internet to change people's lifestyles. It has strict visual and physical requirements to ensure an immersive experience (i.e., high visual quality, low motion-to-photon latency, and real-time tactile and control experience). However, the current technologies fall short to satisfy these requirements. Mobile edge computing (MEC) has been indispensable to enable low latency and powerful computing. Moreover, the sixth generation (6G) networks promise to provide end users with seamless communications. In this paper, we explore and demonstrate the synergistic relationship between 6G and mobile-edge technologies in empowering the Metaverse with ubiquitous communications and computation. This includes the usage of heterogeneous radios, intelligent reflecting surfaces (IRS), non-orthogonal multiple access (NOMA), and digital twins (DTs) - assisted MEC. We also discuss emerging communication paradigms (i.e., semantic communication, holographic-type communication, and haptic communication) to further satisfy the demand for human-type communications and fulfill user preferences and immersive experiences in the Metaverse.",,https://arxiv.org/abs/2211.04854
2020,IEEE Wireless Communications,Learning to predict the mobility of users in mobile mmWave networks,"Xiaolan Liu, Jiadong Yu, Haoran Qi, Jianxin Yang, Wenge Rong, Xiuyin Zhang, Yue Gao",Xiaolan Liu,English,"MmWave communication suffers from severe path loss due to high frequency and is sensitive to blockages because of high penetration loss, especially in mobile communication scenarios. It highly depends on line-of-sight channels and narrow beams, and thus efficient beam tracking and beam alignment are necessary techniques to maintain robust communication links, in which tracking user mobility lays the foundation for beam tracking. In this article, ML techniques are applied to learn the mobility of the mobile mmWave users and predict their moving directions. Moreover, this article builds up an experiment environment by using the National Instruments mmWave transceiver system and our designed high gain antenna operated at 28 GHz carrier frequency, and then collects experimental data of the transmitted mmWave signals, which are next trained by deep learning algorithms. A deep neural network is …",,https://ieeexplore.ieee.org/abstract/document/9023934/
2022,IEEE Transactions on Wireless Communications,IRS assisted NOMA aided mobile edge computing with queue stability: Heterogeneous multi-agent reinforcement learning,"Jiadong Yu, Yang Li, Xiaolan Liu, Bo Sun, Yuan Wu, Danny Hin-Kwok Tsang",Jiadong Yu,English,"By employing powerful edge servers for data processing, mobile edge computing (MEC) has been recognized as a promising technology to support emerging computation-intensive applications. Besides, non-orthogonal multiple access (NOMA)-aided MEC system can further enhance the spectral efficiency with massive tasks offloading. However, with more dynamic devices brought online and the uncontrollable stochastic channel environment, it is even desirable to deploy appealing technique, i.e., intelligent reflecting surfaces (IRS), in the MEC system to flexibly tune the communication environment and improve the system energy efficiency. In this paper, we investigate the joint offloading, communication and computation resource allocation for the IRS-assisted NOMA MEC system. We first formulate a mixed integer energy efficiency maximization problem with system queue stability constraint. We then propose …",,https://ieeexplore.ieee.org/abstract/document/9968198/
2023,IEEE Open Journal of the Communications Society 4,Distributed intelligence in wireless networks,"Xiaolan Liu, Jiadong Yu, Yuanwei Liu, Yue Gao, Toktam Mahmoodi, Sangarapillai Lambotharan, Danny Hin-Kwok Tsang",Xiaolan Liu,English,"The cloud-based solutions are becoming inefficient due to considerably large time delays, high power consumption, and security and privacy concerns caused by billions of connected wireless devices and typically zillions of bytes of data they produce at the network edge. A blend of edge computing and Artificial Intelligence (AI) techniques could optimally shift the resourceful computation servers closer to the network edge, which provides the support for advanced AI applications (e.g., video/audio surveillance and personal recommendation system) by enabling intelligent decision making on computing at the point of data generation as and when it is needed, and distributed Machine Learning (ML) with its potential to avoid the transmission of the large dataset and possible compromise of privacy that may exist in cloud-based centralized learning. Besides, the deployment of AI techniques to redesign end-to-end …",,https://ieeexplore.ieee.org/abstract/document/10100930/
2024,IEEE Internet of Things Magazine,Bi-directional digital twin and edge computing in the metaverse,"Jiadong Yu, Ahmad Alhilal, Pan Hui, Danny HK Tsang",Jiadong Yu,English,"The Metaverse has emerged to extend our lifestyle beyond physical limitations. As essential components in the Metaverse, digital twins (DTs) are the real-time digital replicas of physical items. Multi-access edge computing (MEC) provides responsive services to the end users, ensuring an immersive and interactive Metaverse experience. While the digital representation (DT) of physical objects, end users, and edge computing systems is crucial in the Metaverse, the construction of these DTs and the interplay between them have not been well-investigated. In this article, we discuss the bidirectional reliance between the DT and the MEC system and investigate the creation of DTs of objects and users on the MEC servers and DT-assisted edge computing (DTEC). To ensure seamless handover among MEC servers and to avoid intermittent Metaverse services, we also explore the interaction between local DTECs on …",,https://ieeexplore.ieee.org/abstract/document/10517506/
2020,IEEE Transactions on Vehicular Technology,Long-term channel statistic estimation for highly-mobile hybrid mmWave multi-user MIMO systems,"Jiadong Yu, Xiaolan Liu, Haoran Qi, Yue Gao",Jiadong Yu,English,"Channel estimation is crucial to beamforming techniques in directional millimetre wave (mmWave) communications, which is generally designed based on channel state information static. However, due to the Doppler effect caused by the mobility of users, such as unmanned aerial vehicles, high-speed trains and autonomous vehicles, the mmWave channel is changing rapidly. Spatial channel covariance, defined by long-term statistic information of channels, is a promising solution to reduce channel estimation frequency and can be used to design hybrid precoders. In this paper, we first proposed a highly mobile hybrid mmWave multi-user (MU) multiple input multiple output (MIMO) system based on transition probabilities which can represent moving action of the MU. Secondly, we investigate compressive sensing based spatial channel covariance estimation based on the proposed dynamic system. We then …",,https://ieeexplore.ieee.org/abstract/document/9272867/
