Year,Sources,Name,Authors,First Author,Chinese/English,Abstract,Venues,doi,Citation,Id,Keywords
2020,Proceedings of the IEEE/CVF conference on computer vision and pattern?¡­,Spsequencenet: Semantic segmentation network on 4d point clouds,"Hanyu Shi, Guosheng Lin, Hao Wang, Tzu-Yi Hung, Zhenhua Wang",Hanyu Shi,English,"Point clouds are useful in many applications like autonomous driving and robotics as they provide natural 3D information of the surrounding environments. While there are extensive research on 3D point clouds, scene understanding on 4D point clouds, a series of consecutive 3D point clouds frames, is an emerging topic and yet under-investigated. With 4D point clouds (3D point cloud videos), robotic systems could enhance their robustness by leveraging the temporal information from previous frames. However, the existing semantic segmentation methods on 4D point clouds suffer from low precision due to the spatial and temporal information loss in their network structures. In this paper, we propose SpSequenceNet to address this problem. The network is designed based on 3D sparse convolution. And we introduce two novel modules, a cross-frame global attention module and a cross-frame local interpolation module, to capture spatial and temporal information in 4D point clouds. We conduct extensive experiments on SemanticKITTI, and achieve the state-of-the-art result of 43.1% on mIoU, which is 1.5% higher than the previous best approach.",Conference paper,http://openaccess.thecvf.com/content_CVPR_2020/html/Shi_SpSequenceNet_Semantic_Segmentation_Network_on_4D_Point_Clouds_CVPR_2020_paper.html,102,shi2020spsequencenet,"4D point cloud,3D sparse convolution,state-of-the-art"
2021,Proceedings of the 29th ACM International Conference on Multimedia,Cycle-consistent inverse GAN for text-to-image synthesis,"Hao Wang, Guosheng Lin, Steven CH Hoi, Chunyan Miao",Hao Wang,English,"This paper investigates an open research task of text-to-image synthesis for automatically generating or manipulating images from text descriptions. Prevailing methods mainly take the textual descriptions as the conditional input for the GAN generation, and need to train different models for the text-guided image generation and manipulation tasks. In this paper, we propose a novel unified framework of Cycle-consistent Inverse GAN (CI-GAN) for both text-to-image generation and text-guided image manipulation tasks. Specifically, we first train a GAN model without text input, aiming to generate images with high diversity and quality. Then we learn a GAN inversion model to convert the images back to the GAN latent space and obtain the inverted latent codes for each image, where we introduce the cycle-consistency training to learn more robust and consistent inverted latent codes. We further uncover the semantics of?¡­",Conference paper,https://dl.acm.org/doi/abs/10.1145/3474085.3475226,48,wang2021cycle,"GAN, Text-to-image synthesis, Cycle consistency"
2021,IEEE Transactions on Multimedia 24,Cross-modal food retrieval: learning a joint embedding of food images and recipes with semantic consistency and attention mechanism,"Hao Wang, Doyen Sahoo, Chenghao Liu, Ke Shu, Palakorn Achananuparp, Ee-peng Lim, Steven CH Hoi",Hao Wang,English,"Food retrieval is an important task to perform analysis of food-related information, where we are interested in retrieving relevant information about the queried food item such as ingredients, cooking instructions, etc. In this paper, we investigate cross-modal retrieval between food images and cooking recipes. The goal is to learn an embedding of images and recipes in a common feature space, such that the corresponding image-recipe embeddings lie close to one another. Two major challenges in addressing this problem are 1) large intra-variance and small inter-variance across cross-modal food data; and 2) difficulties in obtaining discriminative recipe representations. To address these two problems, we propose Semantic-Consistent and Attention-based Networks (SCAN), which regularize the embeddings of the two modalities through aligning output semantic probabilities. Besides, we exploit a self-attention?¡­",Article,https://ieeexplore.ieee.org/abstract/document/9439970/,47,wang2021cross,"Deep learning, cross-modal retrieval, vision-and-language"
2020,Computer Vision¨CECCV 2020: 16th European Conference,Structure-aware generation network for recipe generation from images,"Hao Wang, Guosheng Lin, Steven CH Hoi, Chunyan Miao",Hao Wang,English," Sharing food has become very popular with the development of social media. For many real-world applications, people are keen to know the underlying recipes of a food item. In this paper, we are interested in automatically generating cooking instructions for food. We investigate an open research task of generating cooking instructions based on only food images and ingredients, which is similar to the image captioning task. However, compared with image captioning datasets, the target recipes are long-length paragraphs and do not have annotations on structure information. To address the above limitations, we propose a novel framework of Structure-aware Generation Network (SGN) to tackle the food recipe generation task. Our approach brings together several novel ideas in a systematic framework: (1) exploiting an unsupervised learning approach to obtain the sentence-level tree structure labels?¡­",Conference paper,https://link.springer.com/chapter/10.1007/978-3-030-58583-9_22,34,wang2020structure,"Structure Learning, Text Generation, Image-to-Text"
2022,IEEE Transactions on Pattern Analysis and Machine Intelligence,Learning structural representations for recipe generation and food retrieval,"Hao Wang, Guosheng Lin, Steven CH Hoi, Chunyan Miao",Hao Wang,English,"Food is significant to human daily life. In this paper, we are interested in learning structural representations for lengthy recipes, that can benefit the recipe generation and food cross-modal retrieval tasks. Different from the common vision-language data, here the food images contain mixed ingredients and target recipes are lengthy paragraphs, where we do not have annotations on structure information. To address the above limitations, we propose a novel method to unsupervisedly learn the sentence-level tree structures for the cooking recipes. Our approach brings together several novel ideas in a systematic framework: (1) exploiting an unsupervised learning approach to obtain the sentence-level tree structure labels before training; (2) generating trees of target recipes from images with the supervision of tree structure labels learned from (1); and (3) integrating the learned tree structures into the recipe generation?¡­",Article,https://ieeexplore.ieee.org/abstract/document/9793670/,21,wang2022learning,"Text generation, vision-and-language"
2023,arXiv preprint arXiv:2310.14985,Llm-based agent society investigation: Collaboration and confrontation in avalon gameplay,"Yihuai Lan, Zhiqiang Hu, Lei Wang, Yang Wang, Deheng Ye, Peilin Zhao, Ee-Peng Lim, Hui Xiong, Hao Wang",Yihuai Lan,English,"This paper aims to investigate the open research problem of uncovering the social behaviors of LLM-based agents. To achieve this goal, we adopt Avalon, a representative communication game, as the environment and use system prompts to guide LLM agents to play the game. While previous studies have conducted preliminary investigations into gameplay with LLM agents, there lacks research on their social behaviors. In this paper, we present a novel framework designed to seamlessly adapt to Avalon gameplay. The core of our proposed framework is a multi-agent system that enables efficient communication and interaction among agents. We evaluate the performance of our framework based on metrics from two perspectives: winning the game and analyzing the social behaviors of LLM agents. Our results demonstrate the effectiveness of our framework in generating adaptive and intelligent agents and highlight the potential of LLM-based agents in addressing the challenges associated with dynamic social environment interaction. By analyzing the social behaviors of LLM agents from the aspects of both collaboration and confrontation, we provide insights into the research and applications of this domain.",Article,https://arxiv.org/abs/2310.14985,18,lan2023llm,"Large Language Models,multi-agent,collaboration,confrontation"
2023,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern?¡­,TAPS3D: Text-Guided 3D Textured Shape Generation from Pseudo Supervision,"Jiacheng Wei*, Hao Wang*, Jiashi Feng, Guosheng Lin, Kim-Hui Yap",Jiacheng Wei*,English,"In this paper, we investigate an open research task of generating controllable 3D textured shapes from the given textual descriptions. Previous works either require ground truth caption labeling or extensive optimization time. To resolve these issues, we present a novel framework, TAPS3D, to train a text-guided 3D shape generator with pseudo captions. Specifically, based on rendered 2D images, we retrieve relevant words from the CLIP vocabulary and construct pseudo captions using templates. Our constructed captions provide high-level semantic supervision for generated 3D shapes. Further, in order to produce fine-grained textures and increase geometry diversity, we propose to adopt low-level image regularization to enable fake-rendered images to align with the real ones. During the inference phase, our proposed model can generate 3D textured shapes from the given text without any additional optimization. We conduct extensive experiments to analyze each of our proposed components and show the efficacy of our framework in generating high-fidelity 3D textured and text-relevant shapes.",Conference paper,http://openaccess.thecvf.com/content/CVPR2023/html/Wei_TAPS3D_Text-Guided_3D_Textured_Shape_Generation_From_Pseudo_Supervision_CVPR_2023_paper.html,17,wei2023taps3d,"Text-guided 3D textured shapes, semantic supervision"
2022,Proceedings of the 30th ACM International Conference on Multimedia,Paired cross-modal data augmentation for fine-grained image-to-text retrieval,"Hao Wang, Guosheng Lin, Steven Hoi, Chunyan Miao",Hao Wang,English,"This paper investigates an open research problem of generating text-image pairs to improve the training of fine-grained image-to-text cross-modal retrieval task, and proposes a novel framework for paired data augmentation by uncovering the hidden semantic information of StyleGAN2 model. Specifically, we first train a StyleGAN2 model on the given dataset. We then project the real images back to the latent space of StyleGAN2 to obtain the latent codes. To make the generated images manipulatable, we further introduce a latent space alignment module to learn the alignment between StyleGAN2 latent codes and the corresponding textual caption features. When we do online paired data augmentation, we first generate augmented text through random token replacement, then pass the augmented text into the latent space alignment module to output the latent codes, which are finally fed to StyleGAN2 to generate?¡­",Conference paper,https://dl.acm.org/doi/abs/10.1145/3503161.3547809,10,wang2022paired,Image-to-text retrieval
2022,IEEE Transactions on Image Processing 31,Cross-modal graph with meta concepts for video captioning,"Hao Wang, Guosheng Lin, Steven CH Hoi, Chunyan Miao",Hao Wang,English,"Video captioning targets interpreting the complex visual contents as text descriptions, which requires the model to fully understand video scenes including objects and their interactions. Prevailing methods adopt off-the-shelf object detection networks to give object proposals and use the attention mechanism to model the relations between objects. They often miss some undefined semantic concepts of the pretrained model and fail to identify exact predicate relationships between objects. In this paper, we investigate an open research task of generating text descriptions for the given videos, and propose Cross-Modal Graph (CMG) with meta concepts for video captioning. Specifically, to cover the useful semantic concepts in video captions, we weakly learn the corresponding visual regions for text descriptions, where the associated visual regions and textual words are named cross-modal meta concepts. We further?¡­",Article,https://ieeexplore.ieee.org/abstract/document/9844447/,7,wang2022cross,"Video captioning, vision-and-language"
2022,Pattern Recognition 126,Decomposing generation networks with structure prediction for recipe generation,"Hao Wang, Guosheng Lin, Steven CH Hoi, Chunyan Miao",Hao Wang,English,"Recipe generation from food images and ingredients is a challenging task, which requires the interpretation of the information from another modality. Different from the image captioning task, where the captions usually have one sentence, cooking instructions contain multiple sentences and have obvious structures. To help the model capture the recipe structure and avoid missing some cooking details, we propose a novel framework: Decomposing Generation Networks (DGN) with structure prediction, to get more structured and complete recipe generation outputs. Specifically, we split each cooking instruction into several phases, and assign different sub-generators to each phase. Our approach includes two novel ideas: (i) learning the recipe structures with the global structure prediction component and (ii) producing recipe phases in the sub-generator output component based on the predicted structure. Extensive?¡­",Article,https://www.sciencedirect.com/science/article/pii/S0031320322000590,2,wang2022decomposing,"Structure Learning, Text Generation, Image-to-Text"
