Year,Sources,Name,Authors,First Author,Chinese/English,Abstract,Venues,doi,Citation,Id,Keywords
2021,Proceedings of the IEEE/CVF international conference on computer vision?¡­,The ninth visual object tracking vot2021 challenge results,"Matej Kristan, Ji?¨ª Matas, Ale? Leonardis, Michael Felsberg, Roman Pflugfelder, Joni-Kristian K?m?r?inen, Hyung Jin Chang, Martin Danelljan, Luka Cehovin, Alan Luke?i?, Ondrej Drbohlav, Jani K?pyl?, Gustav H?ger, Song Yan, Jinyu Yang, Zhongqun Zhang, Gustavo Fern¨¢ndez",Matej Kristan,English,"The Visual Object Tracking challenge VOT2021 is the ninth annual tracker benchmarking activity organized by the VOT initiative. Results of 71 trackers are presented; many are state-of-the-art trackers published at major com-puter vision conferences or in journals in recent years. The VOT2021 challenge was composed of four sub-challenges focusing on different tracking domains:(i) VOT-ST2021 challenge focused on short-term tracking in RGB,(ii) VOT-RT2021 challenge focused on"" real-time"" short-term track-ing in RGB,(iii) VOT-LT2021 focused on long-term track-ing, namely coping with target disappearance and reap-pearance and (iv) VOT-RGBD2021 challenge focused on long-term tracking in RGB and depth imagery. The VOT-ST2021 dataset was refreshed, while VOT-RGBD2021 in-troduces a training dataset and sequestered dataset for win-ner identification. The source code for most of the trackers, the datasets, the evaluation kit and the results along with the source code for most trackers are publicly available at the challenge website.",Conference paper,http://openaccess.thecvf.com/content/ICCV2021W/VOT/html/Kristan_The_Ninth_Visual_Object_Tracking_VOT2021_Challenge_Results_ICCVW_2021_paper.html,114,kristan2021ninth,"Training,Location awareness,Visualization,Computer vision,Target tracking,Correlation,Focusing"
2022,ECCV 2022,Data-free Backdoor Removal based on Channel Lipschitzness,"Runkai Zheng, Rongjun Tang, Jianze Li, Li Liu",Runkai Zheng,English,"Recent studies have shown that Deep Neural Networks (DNNs) are vulnerable to the backdoor attacks, which leads to malicious behaviors of DNNs when specific triggers are attached to the input images. It was further demonstrated that the infected DNNs possess a collection of channels, which are more sensitive to the backdoor triggers compared with normal channels. Pruning these channels was then shown to be effective in mitigating the backdoor behaviors. To locate those channels, it is natural to consider their Lipschitzness, which measures their sensitivity against worst-case perturbations on the inputs. In this work, we introduce a novel concept called Channel Lipschitz Constant (CLC), which is defined as the Lipschitz constant of the mapping from the input images to the output of each channel. Then we provide empirical evidences to show the strong correlation between an Upper bound of the CLC (UCLC?¡­",Article,https://link.springer.com/chapter/10.1007/978-3-031-20065-6_11,75,zheng2022data,"Deep neural network, Backdoor defense, Lipschitz constant, Model pruning"
2023,arXiv preprint arXiv:2305.08196,A comprehensive survey on segment anything model for vision and beyond,"Chunhui Zhang, Li Liu, Yawen Cui, Guanjie Huang, Weilin Lin, Yiqian Yang, Yuehong Hu",Chunhui Zhang,English,"Artificial intelligence (AI) is evolving towards artificial general intelligence, which refers to the ability of an AI system to perform a wide range of tasks and exhibit a level of intelligence similar to that of a human being. This is in contrast to narrow or specialized AI, which is designed to perform specific tasks with a high degree of efficiency. Therefore, it is urgent to design a general class of models, which we term foundation models, trained on broad data that can be adapted to various downstream tasks. The recently proposed segment anything model (SAM) has made significant progress in breaking the boundaries of segmentation, greatly promoting the development of foundation models for computer vision. To fully comprehend SAM, we conduct a survey study. As the first to comprehensively review the progress of segmenting anything task for vision and beyond based on the foundation model of SAM, this work focuses on its applications to various tasks and data types by discussing its historical development, recent progress, and profound impact on broad applications. We first introduce the background and terminology for foundation models including SAM, as well as state-of-the-art methods contemporaneous with SAM that are significant for segmenting anything task. Then, we analyze and summarize the advantages and limitations of SAM across various image processing applications, including software scenes, real-world scenes, and complex scenes. Importantly, many insights are drawn to guide future research to develop more versatile foundation models and improve the architecture of SAM. We also summarize massive other amazing?¡­",Conference paper,https://arxiv.org/abs/2305.08196,48,zhang2023comprehensive,"Survey, Artificial General Intelligence, Foundation Models, Segment Anything, Open Source Projects"
2022,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern?¡­,Boosting black-box attack with partially transferred conditional adversarial distribution,"Yan Feng, Baoyuan Wu, Yanbo Fan, Li Liu, Zhifeng Li, Shu-Tao Xia",Yan Feng,English,"This work studies black-box adversarial attacks against deep neural networks (DNNs), where the attacker can only access the query feedback returned by the attacked DNN model, while other information such as model parameters or the training datasets are unknown. One promising approach to improve attack performance is utilizing the adversarial transferability between some white-box surrogate models and the target model (ie, the attacked model). However, due to the possible differences on model architectures and training datasets between surrogate and target models, dubbed"" surrogate biases"", the contribution of adversarial transferability to improving the attack performance may be weakened. To tackle this issue, we innovatively propose a black-box attack method by developing a novel mechanism of adversarial transferability, which is robust to the surrogate biases. The general idea is transferring partial parameters of the conditional adversarial distribution (CAD) of surrogate models, while learning the untransferred parameters based on queries to the target model, to keep the flexibility to adjust the CAD of the target model on any new benign sample. Extensive experiments on benchmark datasets and attacking against real-world API demonstrate the superior attack performance of the proposed method.",Conference paper,http://openaccess.thecvf.com/content/CVPR2022/html/Feng_Boosting_Black-Box_Attack_With_Partially_Transferred_Conditional_Adversarial_Distribution_CVPR_2022_paper.html,36,feng2022boosting,Adversarial attack and defense
2021,ICASSP 2021-2021 IEEE International Conference on Acoustics,Self-supervised depth estimation via implicit cues from videos,"Jianrong Wang, Ge Zhang, Zhenyu Wu, Xuewei Li, Li Liu",Jianrong Wang,English,"In self-supervised monocular depth estimation, the depth discontinuity and motion objects' artifacts are still challenging problems. Existing self-supervised methods usually utilize two views to train the depth estimation network and use one single view to make predictions. Compared with static views, abundant dynamic properties between video frames are beneficial to refining depth estimation, especially for dynamic objects. In this work, we improve the self-supervised learning framework for depth estimation using consecutive frames from monocular and stereo videos. The main idea is to exploit an implicit depth cue extractor which leverages dynamic and static cues to generate useful depth proposals. These cues can predict distinguishable motion contours and geometric scene structures. Moreover, a new high-dimensional attention module is proposed to extract a clear global transformation, which effectively?¡­",Conference paper,https://ieeexplore.ieee.org/abstract/document/9413407/,6,wang2021self,"Self-supervised learning, monocular depth estimation, implicit cues, monocular video"
2021,MICCAI-International Conference on Medical Image Computing and Computer?¡­,Uscl: Pretraining deep ultrasound image diagnosis model through video contrastive representation learning,"Yixiong Chen, Chunhui Zhang, Li Liu, Cheng Feng, Changfeng Dong, Yongfang Luo, Xiang Wan",Yixiong Chen,English," Most deep neural networks (DNNs) based ultrasound (US) medical image analysis models use pretrained backbones (e.g., ImageNet) for better model generalization. However, the domain gap between natural and medical images causes an inevitable performance bottleneck. To alleviate this problem, an US dataset named US-4 is constructed for direct pretraining on the same domain. It contains over 23,000 images from four US video sub-datasets. To learn robust features from US-4, we propose an US semi-supervised contrastive learning method, named USCL, for pretraining. In order to avoid high similarities between negative pairs as well as mine abundant visual features from limited US videos, USCL adopts a sample pair generation method to enrich the feature involved in a single step of contrastive optimization. Extensive experiments on several downstream tasks show the superiority of USCL?¡­",Conference paper,https://link.springer.com/chapter/10.1007/978-3-030-87237-3_60,41,chen2021uscl,"Ultrasound,Pretrained model,Contrastive learning."
2021,IEEE Transactions on Multimedia 23,Re-synchronization using the hand preceding model for multi-modal fusion in automatic continuous cued speech recognition,"Li Liu, Gang Feng, Denis Beautemps, Xiao-Ping Zhang",Li Liu,English,"Cued Speech (CS) is an augmented lip reading system complemented by hand coding, and it is very helpful to the deaf people. Automatic CS recognition can help communications between the deaf people and others. Due to the asynchronous nature of lips and hand movements, fusion of them in automatic CS recognition is a challenging problem. In this work, we propose a novel re-synchronization procedure for multi-modal fusion, which aligns the hand features with lips feature. It is realized by delaying hand position and hand shape with their optimal hand preceding time which is derived by investigating the temporal organizations of hand position and hand shape movements in CS. This re-synchronization procedure is incorporated into a practical continuous CS recognition system that combines convolutional neural network (CNN) with multi-stream hidden markov model (MSHMM). A significant improvement of?¡­",Article,https://ieeexplore.ieee.org/abstract/document/9016100/,40,liu2020re,"Cued speech, multi-modal fusion, re-synchronization procedure, automatic CS recognition, CNN, MSHMM"
2020,ICTAI-2020 IEEE 32nd International Conference on Tools with Artificial?¡­,Semi-supervised active learning for COVID-19 lung ultrasound multi-symptom classification,"Lei Liu, Wentao Lei, Li Liu, Xiang Wan, Yongfang Luo, Cheng Feng",Lei Liu,English,"Ultrasound (US) is a non-invasive yet effective medical diagnostic imaging technique for the COVID-19 global pandemic. However, due to complex feature behaviors and expensive annotations of US images, it is difficult to apply Artificial Intelligence (AI) assisting approaches for the lung's multi-symptom (multi-label) classification. To overcome these difficulties, we propose a novel semi-supervised Two-Stream Active Learning (TSAL) method to model complicated features and reduce labeling costs in an iterative manner. The core component of TSAL is the multi-label learning mechanism, in which label correlation information is used to design a multi-label margin (MLM) strategy and a confidence validation for automatically selecting informative samples and confident labels. In this framework, a multi-symptom multi-label (MSML) classification network is proposed to learn discriminative features of lung symptoms?¡­",Conference paper,https://ieeexplore.ieee.org/abstract/document/9288321/,32,liu2020semi,"COVID-19, Ultrasound Imaging, Multi-Label Classification, Active Learning, Semi-Supervised Learning"
2022,Neurips 2022,Pre-activation Distributions Expose Backdoor Neurons,"Runkai Zheng, Rongjun Tang, Jianze Li, Li Liu",Runkai Zheng,English,"Convolutional neural networks (CNN) can be manipulated to perform specific behaviors when encountering a particular trigger pattern without affecting the performance on normal samples, which is referred to as backdoor attack. The backdoor attack is usually achieved by injecting a small proportion of poisoned samples into the training set, through which the victim trains a model embedded with the designated backdoor. In this work, we demonstrate that backdoor neurons are exposed by their pre-activation distributions, where populations from benign data and poisoned data show significantly different moments. This property is shown to be attack-invariant and allows us to efficiently locate backdoor neurons. On this basis, we make several proper assumptions on the neuron activation distributions, and propose two backdoor neuron detection strategies based on (1) the differential entropy of the neurons, and (2) the Kullback-Leibler divergence between the benign sample distribution and a poisoned statistics based hypothetical distribution. Experimental results show that our proposed defense strategies are both efficient and effective against various backdoor attacks.",Conference paper,https://proceedings.neurips.cc/paper_files/paper/2022/hash/76917808731dae9e6d62c2a7a6afb542-Abstract-Conference.html,25,zheng2022pre,"Chemical activation, Convolutional neural networks, Population statistics,Activation distribution, Backdoors, Differential entropy, Kullback Leibler divergence, Neuron detection, Performance, Property, Sample distributions, Training sets"
2023,arXiv preprint arXiv:2302.09457 1,"Adversarial machine learning: A systematic survey of backdoor attack, weight attack and adversarial example","Baoyuan Wu, Li Liu, Zihao Zhu, Qingshan Liu, Zhaofeng He, Siwei Lyu",Baoyuan Wu,English,,Article,https://scholar.google.com/scholar?cluster=12056669301010787640&hl=en&oi=scholarr,22,wu2023adversarial,"Adversarial machine learning, training-time adversarial attack, deployment-time adversarial attack, inference-time adversarial attack"
