Year,Sources,Name,Authors,First Author,Chinese/English,Abstract,Venues,doi,Citation,Id,Keywords
2020,Proceedings of the 26th ACM SIGKDD international conference on knowledge?¡­,Robust spammer detection by nash reinforcement learning,"Yingtong Dou, Guixiang Ma, Philip S Yu, Sihong Xie",Yingtong Dou,English,"Online reviews provide product evaluations for customers to make decisions. Unfortunately, the evaluations can be manipulated using fake reviews (""spams"") by professional spammers, who have learned increasingly insidious and powerful spamming strategies by adapting to the deployed detectors. Spamming strategies are hard to capture, as they can be varying quickly along time, different across spammers and target products, and more critically, remained unknown in most cases. Furthermore, most existing detectors focus on detection accuracy, which is not well-aligned with the goal of maintaining the trustworthiness of product evaluations. To address the challenges, we formulate a minimax game where the spammers and spam detectors compete with each other on their practical goals that are not solely based on detection accuracy. Nash equilibria of the game lead to stable detectors that are agnostic to any?¡­",Conference paper,https://dl.acm.org/doi/abs/10.1145/3394486.3403135,55,dou2020robust,"Spam Detection, Reinforcement Learning, Adversarial Learning"
2023,IEEE Transactions on Knowledge and Data Engineering,Inconsistent Matters: A Knowledge-guided Dual-consistency Network for Multi-modal Rumor Detection,"and Philip S. Yu Mengzhu Sun, Xi Zhang, Jianqiang Ma, Sihong Xie, Yazheng Liu",and Philip S. Yu Mengzhu Sun,English,"Rumor spreaders are increasingly utilizing multimedia content to attract the attention and trust of news consumers. Though quite a few rumor detection models have exploited the multi-modal data, they seldom consider the inconsistent semantics between images and texts, and rarely spot the inconsistency among the post contents and background knowledge. In addition, they commonly assume the completeness of multiple modalities and thus are incapable of handling handle missing modalities in real-life scenarios. Motivated by the intuition that rumors in social media are more likely to have inconsistent semantics, a novel  Knowledge-guided Dual-consistency Network  is proposed to detect rumors with multimedia contents. It uses two consistency detection subnetworks to capture the inconsistency at the cross-modal level and the content-knowledge level simultaneously. It also enables robust multi-modal?¡­",Article,https://ieeexplore.ieee.org/abstract/document/10123962/,40,sun2023inconsistent,"Multi-modal learning, rumor detection, social media analysis"
2021,21st IEEE International Conference on Data Mining (ICDM 2021),Truth discovery in sequence labels from crowds,"Nasim Sabetpour, Adithya Kulkarni, Sihong Xie, Qi Li",Nasim Sabetpour,English,"Annotation quality and quantity positively affect the learning performance of sequence labeling, a vital task in Natural Language Processing. Hiring domain experts to annotate a corpus is very costly in terms of money and time. Crowdsourcing platforms, such as Amazon Mechanical Turk (AMT), have been deployed to assist in this purpose. However, the annotations collected this way are prone to human errors due to the lack of expertise of the crowd workers. Existing literature in annotation aggregation assumes that annotations are independent and thus faces challenges when handling the sequential label aggregation tasks with complex dependencies. To conquer the challenges, we propose an optimization-based method that infers the ground truth labels using annotations provided by workers for sequential labeling tasks. The proposed Aggregation method for Sequential Labels from Crowds (AggSLC) jointly?¡­",Conference paper,https://ieeexplore.ieee.org/abstract/document/9679072/,19,sabetpour2021truth,"Data aggregation, sequence labeling, crowd-sourcing, optimization"
2021,30th ACM International Conference on Information and Knowledge Management?¡­,Certification and Trade-off of Multiple Fairness Criteria in Graph-based Spam Detection,"Kai Burkholder, Kenny Kwock, Yuesheng Xu, Liu Jiaxin, Chao Chen, Sihong Xie",Kai Burkholder,English,"Spamming reviews are prevalent in review systems to manipulate seller reputation and mislead customers. patterns to achieve state-of-the-art detection accuracy. The detection can influence a large number of real-world entities and it is ethical to treat different groups of entities as equally as possible. However, due to skewed distributions of the graphs, GNN can fail to meet diverse fairness criteria designed for different parties. We formulate linear systems of the input features and the adjacency matrix of the review graphs for the certification of multiple fairness criteria. When the criteria are competing, we relax the certification and design a multi-objective optimization (MOO) algorithm to explore multiple efficient trade-offs, so that no objective can be improved without harming another objective. We prove that the algorithm converges to a Pareto efficient solution using duality and the implicit function theorem. Since?¡­",Conference paper,https://dl.acm.org/doi/abs/10.1145/3459637.3482325,10,burkholder2021certification,"Fairness, multiple objective optimization, graphs"
2021,21st IEEE International Conference on Data Mining (ICDM 2021),Multi-objective Explanations of GNN Predictions,"Yifei Liu, Chao Chen, Yazheng Liu, Xi Zhang, Sihong Xie",Yifei Liu,English,"Graph Neural Network (GNN) has achieved state-of-the-art performance in various high-stake prediction tasks, but multiple layers of aggregations on graphs with irregular structures make GNN a less interpretable model. Prior methods use simpler subgraphs to simulate the full model, or counterfactuals to identify the causes of a prediction. The two families of approaches aim at two distinct objectives, ¡°simulatability¡± and ¡°counterfactual relevance¡±, but it is not clear how the objectives can jointly influence the human understanding of an explanation. We design a user-study to investigate such joint effects, and use the findings to design a multi-objective optimization (MOO) algorithm to find Pareto optimal explanations that are well-balanced in simulatability and counterfactual. Since the target model can be of any GNN variants and may not be accessible due to privacy concerns, we design a search algorithm using zero?¡­",Conference paper,https://ieeexplore.ieee.org/abstract/document/9679172/,9,liu2021multi,"Privacy,Sensitivity,Decision making,Predictive models,Pareto optimization,Prediction algorithms,Robustness"
2021,27th ACM SIGKDD international conference on knowledge discovery and data?¡­,Energy-Efficient Models for High-Dimensional Spike Train Classification using Sparse Spiking Neural Network,"Hang Yin, John Lee, Xiangnan Kong, Thomas Hartvigsen, Sihong Xie",Hang Yin,English,"Spike train classification is an important problem in many areas such as healthcare and mobile sensing, where each spike train is a high-dimensional time series of binary values. Conventional research on spike train classification mainly focus on developing Spiking Neural Networks (SNNs) under resource-sufficient settings (e.g., on GPU servers). The neurons of the SNNs are usually densely connected in each layer. However, in many real-world applications, we often need to deploy the SNN models on resource-constrained platforms (e.g., mobile devices) to analyze high-dimensional spike train data. The high resource requirement of the densely-connected SNNs can make them hard to deploy on mobile devices. In this paper, we study the problem of energy-efficient SNNs with sparsely-connected neurons. We propose an SNN model with sparse spatio-temporal coding. Our solution is based on the re?¡­",Conference paper,https://dl.acm.org/doi/abs/10.1145/3447548.3467252,8,yin2021energy,"spiking neural networks, supervised learning, spatio-temporal coding, sparsity, hard-concrete distribution"
2023,International Joint Conference on Neural Networks (IJCNN),Interpretable and Effective Reinforcement Learning for Attacking against Graph-based Rumor Detection,"Yuefei Lyu, Xiaoyu Yang, Jiaxin Liu, Sihong Xie, Philip S. Yu, Xi Zhang",Yuefei Lyu,English,"Social networks are frequently polluted by rumors, which can be detected by advanced models such as graph neural networks. However, the models are vulnerable to attacks, and discovering and understanding the vulnerabilities is critical to robust rumor detection. To discover subtle vulnerabilities, we design a attacking algorithm based on reinforcement learning to camouflage rumors against black-box detectors. We address exponentially large state spaces, high-order graph dependencies, and ranking dependencies, which are unique to the problem setting but fundamentally challenging for the state-of-the-art end-to-end approaches. We design domain-specific features that have causal effect on the reward, so that even a linear policy can arrive at powerful attacks with additional interpretability. To speed up policy optimization, we devise: (i) a credit assignment method that proportionally decomposes delayed?¡­",Conference paper,https://ieeexplore.ieee.org/abstract/document/10191290/,6,lyu2023interpretable,"graph adversarial attack, reinforcement learning, graph convolutional network, rumor detection"
2021,21st IEEE International Conference on Data Mining (ICDM 2021),Self-learn to Explain Siamese Networks Robustly,"Chao Chen, Yifan Shen, Guixiang Ma, Xiangnan Kong, Srinivas Rangarajan, Xi Zhang, Sihong Xie",Chao Chen,English,"Learning to compare two objects are essential in applications, especially when labeled data are scarce and imbalanced. As these applications can involve humans and make high-stake decisions, it is critical to explain the learned models. We aim to study post-hoc explanations of Siamese networks (SN) widely used in learning to compare. We characterize the instability of gradient-based explanations due to the additional compared object in SN, in contrast to architectures with a single input instance. We optimize for global invariance based on unlabeled data using self-learning to promote the stability of local explanations for individual input. The invariance leads to constrained optimization problems that can be solved using gradient descent-ascent (GDA), or KL-divergence regularized unconstrained optimization solved by SGD. We provide convergence proofs when the objective functions are nonconvex due to?¡­",Conference paper,https://ieeexplore.ieee.org/abstract/document/9679164/,5,chen2021self,"siamese networks,self-learning,gradient descent-ascent(GDA),SGD"
2020,29TH ACM International Conference on Information and Knowledge Management,Shapley Values and Meta-Explanations for Probabilistic Graphical Model Inference,"Yifei Liu, Chao Chen, Yazheng Liu, Xi Zhang, Sihong Xie",Yifei Liu,English,"Probabilistic graphical models, such as Markov random fields (MRF), exploit dependencies among random variables to model a rich family of joint probability distributions. Inference algorithms, such as belief propagation (BP), can effectively compute the marginal posteriors for decision making. Nonetheless, inferences involve sophisticated probability calculations and are difficult for humans to interpret. Among all existing explanation methods for MRFs, no method is designed for fair attributions of an inference outcome to elements on the MRF where the inference takes place. Shapley values provide rigorous attributions but so far have not been studied on MRFs. We thus define Shapley values for MRFs to capture both probabilistic and topological contributions of the variables on MRFs. We theoretically characterize the new definition regarding independence, equal contribution, additivity, and submodularity. As?¡­",Conference paper,https://dl.acm.org/doi/abs/10.1145/3340531.3411881,5,liu2020shapley,"Graphical models, explainability"
2023,URL https://par. nsf. gov/biblio/10466683,Reaction-diffusion graph ordinary differential equation networks: Traffic-law-informed speed prediction under mismatched data,"Yue Sun, Chao Chen, Yuesheng Xu, Sihong Xie, Rick S Blum, Parv Venkitasubramaniam",Yue Sun,English,"Accurate traffic speed prediction is critical to many applications, from routing and urban planning to infrastructure management. With sufficient training data where all spatio-temporal patterns are wellrepresented, machine learning models such as Spatial-Temporal Graph Convolutional Networks (STGCN), can make reasonably accurate predictions. However, existing methods fail when the training data distribution (eg, traffic patterns on regular days) is different from test distribution (eg, traffic patterns on special days). We address this challenge by proposing a traffic-law-informed network called Reaction-Diffusion Graph Ordinary Differential Equation (RDGODE) network, which incorporates a physical model of traffic speed evolution based on a reliable and interpretable reactiondiffusion equation that allows the RDGODE to adapt to unseen traffic patterns. We show that with mismatched training data, RDGODE is more robust than the state-of-the-art machine learning methods in the following cases.(1) When the test dataset exhibits spatio-temporal patterns not represented in the training dataset, the performance of RDGODE is more consistent and reliable.(2) When the test dataset has missing data, RDGODE can maintain its accuracy by intrinsically imputing the missing values.",Article,http://urban-computing.com/urbcomp2023/file/UrbComp2023_paper_6.pdf,4,sun2023reaction,"Traffic speed prediction, graph neural networks, spatial-temporal time series prediction"
