Year,Sources,Name,Authors,First Author,Chinese/English,Abstract,Venues,doi,Citation,Id,Keywords
2021,Proceedings of the 44th International ACM SIGIR Conference on Research and?¡­,Learning to warm up cold item embeddings for cold-start recommendation with meta scaling and shifting networks,"Yongchun Zhu, Ruobing Xie, Fuzhen Zhuang, Kaikai Ge, Ying Sun, Xu Zhang, Leyu Lin, Juan Cao",Yongchun Zhu,English,"Recently, embedding techniques have achieved impressive success in recommender systems. However, the embedding techniques are data demanding and suffer from the cold-start problem. Especially, for the cold-start item which only has limited interactions, it is hard to train a reasonable item ID embedding, called cold ID embedding, which is a major challenge for the embedding techniques. The cold item ID embedding has two main problems: (1) A gap is existing between the cold ID embedding and the deep model. (2) Cold ID embedding would be seriously affected by noisy interaction. However, most existing methods do not consider both two issues in the cold-start problem, simultaneously. To address these problems, we adopt two key ideas: (1) Speed up the model fitting for the cold item ID embedding (fast adaptation). (2) Alleviate the influence of noise. Along this line, we propose Meta Scaling and?¡­",Conference paper,https://dl.acm.org/doi/abs/10.1145/3404835.3462843,107,zhu2021learning,"Cold-start Recommendation,Item ID Embedding,Warm Up,Meta Network"
2021,Nature communications,Market-oriented job skill valuation with cooperative composition neural network,"Ying Sun, Fuzhen Zhuang, Hengshu Zhu, Qi Zhang, Qing He, Hui Xiong",Ying Sun,English,"The value assessment of job skills is important for companies to select and retain the right talent. However, there are few quantitative ways available for this assessment. Therefore, we propose a data-driven solution to assess skill value from a market-oriented perspective. Specifically, we formulate the task of job skill value assessment as a Salary-Skill Value Composition Problem, where each job position is regarded as the composition of a set of required skills attached with the contextual information of jobs, and the job salary is assumed to be jointly influenced by the context-aware value of these skills. Then, we propose an enhanced neural network with cooperative structure, namely Salary-Skill Composition Network (SSCN), to separate the job skills and measure their value based on the massive job postings. Experiments show that SSCN can not only assign meaningful value to job skills, but also outperforms?¡­",Article,https://www.nature.com/articles/s41467-021-22215-y,45,sun2021market,None
2021,Proceedings of the Web Conference 2021,Cost-effective and interpretable job skill recommendation with deep reinforcement learning,"Ying Sun, Fuzhen Zhuang, Hengshu Zhu, Qing He, Hui Xiong",Ying Sun,English," Nowadays, as organizations operate in very fast-paced and competitive environments, workforce has to be agile and adaptable to regularly learning new job skills. However, it is nontrivial for talents to know which skills to develop at each working stage. To this end, in this paper, we aim to develop a cost-effective recommendation system based on deep reinforcement learning, which can provide personalized and interpretable job skill recommendation for each talent. Specifically, we first design an environment to estimate the utilities of skill learning by mining the massive job advertisement data, which includes a skill-matching-based salary estimator and a frequent itemset-based learning difficulty estimator. Based on the environment, we design a Skill Recommendation Deep Q-Network (SRDQN) with multi-task structure to estimate the long-term skill learning utilities. In particular, SRDQN recommends job skills in a?¡­",Conference paper,https://dl.acm.org/doi/abs/10.1145/3442381.3449985,23,sun2021cost,"Reinforcement Learning, Skill Recommendation, Data Mining"
2023,arXiv preprint arXiv:2307.03195,A comprehensive survey of artificial intelligence techniques for talent analytics,"Chuan Qin, Le Zhang, Rui Zha, Dazhong Shen, Qi Zhang, Ying Sun, Chen Zhu, Hengshu Zhu, Hui Xiong",Chuan Qin,English,"In today's competitive and fast-evolving business environment, it is a critical time for organizations to rethink how to make talent-related decisions in a quantitative manner. Indeed, the recent development of Big Data and Artificial Intelligence (AI) techniques have revolutionized human resource management. The availability of large-scale talent and management-related data provides unparalleled opportunities for business leaders to comprehend organizational behaviors and gain tangible knowledge from a data science perspective, which in turn delivers intelligence for real-time decision-making and effective talent management at work for their organizations. In the last decade, talent analytics has emerged as a promising field in applied data science for human resource management, garnering significant attention from AI communities and inspiring numerous research efforts. To this end, we present an up-to-date and comprehensive survey on AI technologies used for talent analytics in the field of human resource management. Specifically, we first provide the background knowledge of talent analytics and categorize various pertinent data. Subsequently, we offer a comprehensive taxonomy of relevant research efforts, categorized based on three distinct application-driven scenarios: talent management, organization management, and labor market analysis. In conclusion, we summarize the open challenges and potential prospects for future research directions in the domain of AI-driven talent analytics.",Conference paper,https://arxiv.org/abs/2307.03195,22,qin2023comprehensive,"Transfer learning, machine learning, domain adaptation, interpretation"
2023,ACM Transactions on Information Systems,Automatic skill-oriented question generation and recommendation for intelligent job interviews,"Chuan Qin, Hengshu Zhu, Dazhong Shen, Ying Sun, Kaichun Yao, Peng Wang, Hui Xiong",Chuan Qin,English,"Job interviews are the most widely accepted method for companies to select suitable candidates, and a critical challenge is finding the right questions to ask job candidates. Moreover, there is a lack of integrated tools for automatically generating interview questions and recommending the right questions to interviewers. To this end, in this paper, we propose an intelligent system for assisting job interviews, namely, DuerQues. To build this system, we first investigate how to automatically generate skill-oriented interview questions in a scalable way by learning external knowledge from online knowledge-sharing communities. Along this line, we develop a novel distantly supervised skill entity recognition method to identify skill entities from large-scale search queries and web page titles with less need for human annotation. Additionally, we propose a neural generative model for generating skill-oriented interview?¡­",Article,https://dl.acm.org/doi/abs/10.1145/3604552,11,qin2023automatic,qin2023automatic
2021,IEEE Transactions on Knowledge and Data Engineering,Modeling the impact of person-organization fit on talent management with structure-aware attentive neural networks,"Ying Sun, Fuzhen Zhuang, Hengshu Zhu, Xin Song, Qing He, Hui Xiong",Ying Sun,English,"Person-Organization fit (P-O fit) refers to the compatibility between employees and their organizations. The study of P-O fit is important for enhancing proactive talent management. While considerable efforts have been made in this direction, it still lacks a quantitative and holistic way for measuring P-O fit and its impact on talent management. To this end, in this paper, we propose a novel data-driven neural network approach for dynamically modeling the compatibility in P-O fit and its meaningful relationships with two critical issues in talent management, namely talent turnover and job performance. Specifically, inspired by the practical management scenarios, we creatively propose a novel neural-network-based P-O fit model. We first designed three kinds of organization-aware compatibility features extraction layers for measuring P-O fit. Then, to capture the dynamic nature of P-O fit and its consequent impact, we?¡­",Article,https://ieeexplore.ieee.org/abstract/document/9548822/,9,sun2021modeling,"Talent analytics, organizational behavior, neural network"
2021,Proceedings of the 27th ACM SIGKDD Conference on Knowledge Discovery & Data?¡­,Talent demand forecasting with attentive neural sequential model,"Qi Zhang, Hengshu Zhu, Ying Sun, Hao Liu, Fuzhen Zhuang, Hui Xiong",Qi Zhang,English,"To cope with the fast-evolving business trend, it becomes critical for companies to continuously review their talent recruitment strategies by the timely forecast of talent demand in recruitment market. While many efforts have been made on recruitment market analysis, due to the sparsity of fine-grained talent demand time series and the complex temporal correlation of the recruitment market, there is still no effective approach for fine-grained talent demand forecast, which can quantitatively model the dynamics of the recruitment market. To this end, in this paper, we propose a data-driven neural sequential approach, namely Talent Demand Attention Network (TDAN), for forecasting fine-grained talent demand in the recruitment market. Specifically, we first propose to augment the univariate time series of talent demand at multiple grained levels and extract intrinsic attributes of both companies and job positions with?¡­",Conference paper,https://dl.acm.org/doi/abs/10.1145/3447548.3467131,9,zhang2021talent,"Talent demand forecast, Neural sequential model, Attention mechanism, Recruitment market"
2020,Scientific reports,Rapid Learning of earthquake felt Area and intensity Distribution with Real-time Search engine Queries,"Hengshu Zhu, Ying Sun, Wenjia Zhao, Fuzhen Zhuang, Baoshan Wang, Hui Xiong",Hengshu Zhu,English,"Immediately after a destructive earthquake, the real-time seismological community has a major focus on rapidly estimating the felt area and the extent of ground shaking. This estimate provides critical guidance for government emergency response teams to conduct orderly rescue and recovery operations in the damaged areas. While considerable efforts have been made in this direction, it still remains a realistic challenge for gathering macro-seismic data in a timely, accurate and cost-effective manner. To this end, we introduce a new direction to improve the information acquisition through monitoring the real-time information-seeking behaviors in the search engine queries, which are submitted by tens of millions of users after earthquakes. Specifically, we provide a very efficient, robust and machine-learning-assisted method for mapping the user-reported ground shaking distribution through the large-scale analysis?¡­",Article,https://www.nature.com/articles/s41598-020-62114-8,7,zhu2020rapid,None
2023,Proceedings of the 17th ACM Conference on Recommender Systems,Generative Learning Plan Recommendation for Employees: A Performance-aware Reinforcement Learning Approach,"Zhi Zheng, Ying Sun, Xin Song, Hengshu Zhu, Hui Xiong",Zhi Zheng,English," With the rapid development of enterprise Learning Management Systems (LMS), more and more companies are trying to build enterprise training and course learning platforms for promoting the career development of employees. Indeed, through course learning, many employees have the opportunity to improve their knowledge and skills. For these systems, a major issue is how to recommend learning plans, i.e., a set of courses arranged in the order they should be learned, that can help employees improve their work performance. Existing studies mainly focus on recommending courses that users are most likely to click on by capturing their learning preferences. However, the learning preference of employees may not be the right fit for their career development, and thus it may not necessarily mean their work performance can be improved accordingly. Furthermore, how to capture the mutual correlation and?¡­",Conference paper,https://dl.acm.org/doi/abs/10.1145/3604915.3608795,6,zheng2023generative,"generative recommendation, reinforcement learning, learning management system"
2022,Information Sciences 591,Adaptively sharing multi-levels of distributed representations in multi-task learning,"Tianxin Wang, Fuzhen Zhuang, Ying Sun, Xiangliang Zhang, Leyu Lin, Feng Xia, Lei He, Qing He",Tianxin Wang,English,"In multi-task learning, the performance is often sensitive to the relationships between tasks. Thus it is important to study how to exploit the complex relationships across different tasks. One line of research captures the complex task relationships, by increasing the model capacity and thus requiring a large training dataset. However in many real-world applications, the amount of labeled data is limited. In this paper, we propose a light weight and specially designed architecture, which aims to model task relationships for small or middle-sized datasets. The proposed framework learns a task-specific ensemble of sub-networks in different depths, and is able to adapt the model architecture for the given data. The task-specific ensemble parameters are learned simultaneously with the weights of the network by optimizing a single loss function defined with respect to the end task. The hierarchical model structure is able to?¡­",Article,https://www.sciencedirect.com/science/article/pii/S0020025522000585,5,wang2022adaptively,"Multi-task learning, Deep learning, Machine learning"
