Year,Sources,Name,Authors,First Author,Chinese/English,Abstract,Venues,doi,Citation,Id,Keywords
2021,International conference on machine learning,Delving into deep imbalanced regression,"Yuzhe Yang, Kaiwen Zha, Yingcong Chen, Hao Wang, Dina Katabi",Yuzhe Yang,English,"Real-world data often exhibit imbalanced distributions, where certain target values have significantly fewer observations. Existing techniques for dealing with imbalanced data focus on targets with categorical indices, ie, different classes. However, many tasks involve continuous targets, where hard boundaries between classes do not exist. We define Deep Imbalanced Regression (DIR) as learning from such imbalanced data with continuous targets, dealing with potential missing data for certain target values, and generalizing to the entire target range. Motivated by the intrinsic difference between categorical and continuous label space, we propose distribution smoothing for both labels and features, which explicitly acknowledges the effects of nearby targets, and calibrates both label and learned feature distributions. We curate and benchmark large-scale DIR datasets from common real-world tasks in computer vision, natural language processing, and healthcare domains. Extensive experiments verify the superior performance of our strategies. Our work fills the gap in benchmarks and techniques for practical imbalanced regression problems. Code and data are available at: https://github. com/YyzHarry/imbalanced-regression.",Conference paper,http://proceedings.mlr.press/v139/yang21m.html,270,yang2021delving,"deep imbalanced regression, benchmark, imbalanced data"
2020,Proceedings of the IEEE/CVF conference on computer vision and pattern?¡­,Spatial-temporal graph convolutional network for video-based person re-identification,"Jinrui Yang, Wei-Shi Zheng, Qize Yang, Ying-Cong Chen, Qi Tian",Jinrui Yang,English,"While video-based person re-identification (Re-ID) has drawn increasing attention and made great progress in recent years, it is still very challenging to effectively overcome the occlusion problem and the visual ambiguity problem for visually similar negative samples. On the other hand, we observe that different frames of a video can provide complementary information for each other, and the structural information of pedestrians can provide extra discriminative cues for appearance features. Thus, modeling the temporal relations of different frames and the spatial relations within a frame has the potential for solving the above problems. In this work, we propose a novel Spatial-Temporal Graph Convolutional Network (STGCN) to solve these problems. The STGCN includes two GCN branches, a spatial one and a temporal one. The spatial branch extracts structural information of a human body. The temporal branch mines discriminative cues from adjacent frames. By jointly optimizing these branches, our model extracts robust spatial-temporal information that is complementary with appearance information. As shown in the experiments, our model achieves state-of-the-art results on MARS and DukeMTMC-VideoReID datasets.",Conference paper,http://openaccess.thecvf.com/content_CVPR_2020/html/Yang_Spatial-Temporal_Graph_Convolutional_Network_for_Video-Based_Person_Re-Identification_CVPR_2020_paper.html,216,yang2020spatial,"person re-identification,graph convolutional network"
2022,Nature medicine,Artificial intelligence-enabled detection and assessment of Parkinson¡¯s disease using nocturnal breathing signals,"Yuzhe Yang, Yuan Yuan, Guo Zhang, Hao Wang, Ying-Cong Chen, Yingcheng Liu, Christopher G Tarolli, Daniel Crepeau, Jan Bukartyk, Mithri R Junna, Aleksandar Videnovic, Terry D Ellis, Melissa C Lipford, Ray Dorsey, Dina Katabi",Yuzhe Yang,English,"There are currently no effective biomarkers for diagnosing Parkinson¡¯s disease (PD) or tracking its progression. Here, we developed an artificial intelligence (AI) model to detect PD and track its progression from nocturnal breathing signals. The model was evaluated on a large dataset comprising 7,671 individuals, using data from several hospitals in the United States, as well as multiple public datasets. The AI model can detect PD with an area-under-the-curve of 0.90 and 0.85 on held-out and external test sets, respectively. The AI model can also estimate PD severity and progression in accordance with the Movement Disorder Society Unified Parkinson¡¯s Disease Rating Scale (R= 0.94, P= 3.6¡Á 10¨C25). The AI model uses an attention layer that allows for interpreting its predictions with respect to sleep and electroencephalogram. Moreover, the model can assess PD in the home setting in a touchless manner, by?¡­",Article,https://www.nature.com/articles/s41591-022-01932-x%3E).,135,yang2022artificial,None
2022,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern?¡­,Representation compensation networks for continual semantic segmentation,"Chang-Bin Zhang, Jia-Wen Xiao, Xialei Liu, Ying-Cong Chen, Ming-Ming Cheng",Chang-Bin Zhang,English,"In this work, we study the continual semantic segmentation problem, where the deep neural networks are required to incorporate new classes continually without catastrophic forgetting. We propose to use a structural re-parameterization mechanism, named representation compensation (RC) module, to decouple the representation learning of both old and new knowledge. The RC module consists of two dynamically evolved branches with one frozen and one trainable. Besides, we design a pooled cube knowledge distillation strategy on both spatial and channel dimensions to further enhance the plasticity and stability of the model. We conduct experiments on two challenging continual semantic segmentation scenarios, continual class segmentation and continual domain segmentation. Without any extra computational overhead and parameters during inference, our method outperforms state-of-the-art performance. The code is available at https://github. com/zhangchbin/RCIL.",Conference paper,http://openaccess.thecvf.com/content/CVPR2022/html/Zhang_Representation_Compensation_Networks_for_Continual_Semantic_Segmentation_CVPR_2022_paper.html,82,zhang2022representation,"re-parameterization,knowledge distillation"
2020,Computer Vision¨CECCV 2020: 16th European Conference,Vcnet: A robust approach to blind image inpainting,"Yi Wang, Ying-Cong Chen, Xin Tao, Jiaya Jia",Yi Wang,English," Blind inpainting is a task to automatically complete visual contents without specifying masks for missing areas in an image. Previous work assumes known missing-region-pattern, limiting the application scope. We instead relax the assumption by defining a new blind inpainting setting, making training a neural system robust against various unknown missing region patterns. Specifically, we propose a two-stage visual consistency network (VCN) to estimate where to fill (via masks) and generate what to fill. In this procedure, the unavoidable potential mask prediction errors lead to severe artifacts in the subsequent repairing. To address it, our VCN predicts semantically inconsistent regions first, making mask prediction more tractable. Then it repairs these estimated missing regions using a new spatial normalization, making VCN robust to mask prediction errors. Semantically convincing and visually compelling?¡­",Conference paper,https://link.springer.com/chapter/10.1007/978-3-030-58595-2_45,79,wang2020vcnet,"blind image inpainting,PyTorch"
2021,Proceedings of the IEEE/CVF international conference on computer vision?¡­,Learning to know where to see: A visibility-aware approach for occluded person re-identification,"Jinrui Yang, Jiawei Zhang, Fufu Yu, Xinyang Jiang, Mengdan Zhang, Xing Sun, Ying-Cong Chen, Wei-Shi Zheng",Jinrui Yang,English,"Person re-identification (ReID) has gained an impressive progress in recent years. However, the occlusion is still a common and challenging problem for recent ReID methods. Several mainstream methods utilize extra cues (eg, human pose information) to distinguish human parts from obstacles to alleviate the occlusion problem. Although achieving inspiring progress, these methods severely rely on the fine-grained extra cues, and are sensitive to the estimation error in the extra cues. In this paper, we show that existing methods may degrade if the extra information is sparse or noisy. Thus we propose a simple yet effective method that is robust to sparse and noisy pose information. This is achieved by discretizing pose information to the visibility label of body parts, so as to suppress the influence of occluded regions. We show in our experiments that leveraging pose information in this way is more effective and robust. Besides, our method can be embedded into most person ReID models easily. Extensive experiments validate the effectiveness of our model on common occluded person ReID datasets.",Conference paper,http://openaccess.thecvf.com/content/ICCV2021/html/Yang_Learning_To_Know_Where_To_See_A_Visibility-Aware_Approach_for_ICCV_2021_paper.html,64,yang2021learning,Person Re-identification
2021,Proceedings of the IEEE/CVF International Conference on Computer Vision?¡­,Image synthesis via semantic composition,"Yi Wang, Lu Qi, Ying-Cong Chen, Xiangyu Zhang, Jiaya Jia",Yi Wang,English,"In this paper, we present a novel approach to synthesize realistic images based on their semantic layouts. It hypothesizes that for objects with similar appearance, they share similar representation. Our method establishes dependencies between regions according to their appearance correlation, yielding both spatially variant and associated representations. Conditioning on these features, we propose a dynamic weighted network constructed by spatially conditional computation (with both convolution and normalization). More than preserving semantic distinctions, the given dynamic network strengthens semantic relevance, benefiting global structure and detail synthesis. We demonstrate that our method gives the compelling generation performance qualitatively and quantitatively with extensive experiments on benchmarks.",Conference paper,http://openaccess.thecvf.com/content/ICCV2021/html/Wang_Image_Synthesis_via_Semantic_Composition_ICCV_2021_paper.html,58,wang2021image,"image synthesis,semantic composition"
2022,European conference on computer vision,RC-MVSNet: Unsupervised multi-view stereo with neural rendering,"Di Chang, Alja? Bo?i?, Tong Zhang, Qingsong Yan, Yingcong Chen, Sabine S¨¹sstrunk, Matthias Nie?ner",Di Chang,English,"Finding accurate correspondences among different views is the Achilles¡¯ heel of unsupervised Multi-View Stereo (MVS). Existing methods are built upon the assumption that corresponding pixels share similar photometric features. However, multi-view images in real scenarios observe non-Lambertian surfaces and experience occlusions. In this work, we propose a novel approach with neural rendering (RC-MVSNet) to solve such ambiguity issues of correspondences among views. Specifically, we impose a depth rendering consistency loss to constrain the geometry features close to the object surface to alleviate occlusions. Concurrently, we introduce a reference view synthesis loss to generate consistent supervision, even for non-Lambertian surfaces. Extensive experiments on DTU and Tanks &Temples benchmarks demonstrate that our RC-MVSNet approach achieves state-of-the-art performance over?¡­",Conference paper,https://link.springer.com/chapter/10.1007/978-3-031-19821-2_38,49,chang2022rc,"End-to-end Unsupervised Multi-View Stereo, Neural Rendering, Depth Estimation"
2020,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern?¡­,Attentive normalization for conditional image generation,"Yi Wang, Ying-Cong Chen, Xiangyu Zhang, Jian Sun, Jiaya Jia",Yi Wang,English,"Traditional convolution-based generative adversarial networks synthesize images based on hierarchical local operations, where long-range dependency relation is implicitly modeled with a Markov chain. It is still not sufficient for categories with complicated structures. In this paper, we characterize long-range dependence with attentive normalization (AN), which is an extension to traditional instance normalization. Specifically, the input feature map is softly divided into several regions based on its internal semantic similarity, which are respectively normalized. It enhances consistency between distant regions with semantic correspondence. Compared with self-attention GAN, our attentive normalization does not need to measure the correlation of all locations, and thus can be directly applied to large-size feature maps without much computational burden. Extensive experiments on class-conditional image generation and semantic inpainting verify the efficacy of our proposed module.",Conference paper,http://openaccess.thecvf.com/content_CVPR_2020/html/Wang_Attentive_Normalization_for_Conditional_Image_Generation_CVPR_2020_paper.html,47,wang2020attentive,"generative adversarial networks, self-attention GAN,image generation"
2024,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern?¡­,Luciddreamer: Towards high-fidelity text-to-3d generation via interval score matching,"Yixun Liang, Xin Yang, Jiantao Lin, Haodong Li, Xiaogang Xu, Yingcong Chen",Yixun Liang,English,The recent advancements in text-to-3D generation mark a significant milestone in generative models unlocking new possibilities for creating imaginative 3D assets across various real-world scenarios. While recent advancements in text-to-3D generation have shown promise they often fall short in rendering detailed and high-quality 3D models. This problem is especially prevalent as many methods base themselves on Score Distillation Sampling (SDS). This paper identifies a notable deficiency in SDS that it brings inconsistent and low-quality updating direction for the 3D model causing the over-smoothing effect. To address this we propose a novel approach called Interval Score Matching (ISM). ISM employs deterministic diffusing trajectories and utilizes interval-based score matching to counteract over-smoothing. Furthermore we incorporate 3D Gaussian Splatting into our text-to-3D generation pipeline. Extensive experiments show that our model largely outperforms the state-of-the-art in quality and training efficiency.,Conference paper,https://openaccess.thecvf.com/content/CVPR2024/html/Liang_LucidDreamer_Towards_High-Fidelity_Text-to-3D_Generation_via_Interval_Score_Matching_CVPR_2024_paper.html,45,liang2024luciddreamer," text-to-3D generation,Score Distillation Sampling"
