Year,Sources,Name,Authors,First Author,Chinese/English,Abstract,Venues,doi,Citation,Id,Keywords
2021,International Conference on Learning Representations (ICLR 2021),A diffusion theory for deep learning dynamics: Stochastic gradient descent exponentially favors flat minima,"Zeke Xie, Issei Sato, Masashi Sugiyama",Zeke Xie,English,"Stochastic Gradient Descent (SGD) and its variants are mainstream methods for training deep networks in practice. SGD is known to find a flat minimum that often generalizes well. However, it is mathematically unclear how deep learning can select a flat minimum among so many minima. To answer the question quantitatively, we develop a density diffusion theory (DDT) to reveal how minima selection quantitatively depends on the minima sharpness and the hyperparameters. To the best of our knowledge, we are the first to theoretically and empirically prove that, benefited from the Hessian-dependent covariance of stochastic gradient noise, SGD favors flat minima exponentially more than sharp minima, while Gradient Descent (GD) with injected white noise favors flat minima only polynomially more than sharp minima. We also reveal that either a small learning rate or large-batch training requires exponentially many iterations to escape from minima in terms of the ratio of the batch size and learning rate. Thus, large-batch training cannot search flat minima efficiently in a realistic computational time.",Conference paper,https://arxiv.org/abs/2002.03495,134,xie2020diffusion,"Stochastic Gradient Descent,deep learning,minima"
2023,International Conference on Learning Representations (ICLR 2023),Dataset Pruning: Reducing Training Data by Examining Generalization Influence,"Shuo Yang, Zeke Xie, Hanyu Peng, Min Xu, Mingming Sun, Ping Li",Shuo Yang,English,"The great success of deep learning heavily relies on increasingly larger training data, which comes at a price of huge computational and infrastructural costs. This poses crucial questions that, do all training data contribute to model's performance? How much does each individual training sample or a sub-training-set affect the model's generalization, and how to construct the smallest subset from the entire training data as a proxy training set without significantly sacrificing the model's performance? To answer these, we propose dataset pruning, an optimization-based sample selection method that can (1) examine the influence of removing a particular set of training samples on model's generalization ability with theoretical guarantee, and (2) construct the smallest subset of training data that yields strictly constrained generalization gap. The empirically observed generalization gap of dataset pruning is substantially consistent with our theoretical expectations. Furthermore, the proposed method prunes 40% training examples on the CIFAR-10 dataset, halves the convergence time with only 1.3% test accuracy decrease, which is superior to previous score-based sample selection methods.",Article,https://arxiv.org/abs/2205.09329,61,yang2022dataset,"deep learning,training data,dataset pruning"
2021,Neural Computation,"Artificial Neural Variability for Deep Learning: On Overfitting, Noise Memorization, and Catastrophic Forgetting","Zeke Xie, Fengxiang He, Shaopeng Fu, Issei Sato, Dacheng Tao, Masashi Sugiyama",Zeke Xie,English,"Deep learning is often criticized by two serious issues that rarely exist in natural nervous systems: overfitting and catastrophic forgetting. It can even memorize randomly labeled data, which has little knowledge behind the instance-label pairs. When a deep network continually learns over time by accommodating new tasks, it usually quickly overwrites the knowledge learned from previous tasks. Referred to as the neural variability, it is well known in neuroscience that human brain reactions exhibit substantial variability even in response to the same stimulus. This mechanism balances accuracy and plasticity/flexibility in the motor learning of natural nervous systems. Thus, it motivates us to design a similar mechanism, named artificial neural variability (ANV), that helps artificial neural networks learn some advantages from ¡°natural¡± neural networks. We rigorously prove that ANV plays as an implicit regularizer of the?¡­",Article,https://direct.mit.edu/neco/article-abstract/33/8/2163/101866,56,xie2021artificial,"deep learning,overfitting,catastrophic forgetting,noise memorization"
2022,International Conference on Machine Learning (ICML 2022,Adaptive Inertia: Disentangling the effects of adaptive learning rate and momentum,"Zeke Xie, Xinrui Wang, Huishuai Zhang, Issei Sato, Masashi Sugiyama",Zeke Xie,English,"Adaptive Moment Estimation (Adam), which combines Adaptive Learning Rate and Momentum, would be the most popular stochastic optimizer for accelerating the training of deep neural networks. However, it is empirically known that Adam often generalizes worse than Stochastic Gradient Descent (SGD). The purpose of this paper is to unveil the mystery of this behavior in the diffusion theoretical framework. Specifically, we disentangle the effects of Adaptive Learning Rate and Momentum of the Adam dynamics on saddle-point escaping and flat minima selection. We prove that Adaptive Learning Rate can escape saddle points efficiently, but cannot select flat minima as SGD does. In contrast, Momentum provides a drift effect to help the training process pass through saddle points, and almost does not affect flat minima selection. This partly explains why SGD (with Momentum) generalizes better, while Adam generalizes worse but converges faster. Furthermore, motivated by the analysis, we design a novel adaptive optimization framework named Adaptive Inertia, which uses parameter-wise adaptive inertia to accelerate the training and provably favors flat minima as well as SGD. Our extensive experiments demonstrate that the proposed adaptive inertia method can generalize significantly better than SGD and conventional adaptive gradient methods.",Conference paper,https://proceedings.mlr.press/v162/xie22d.html,48,xie2022adaptive,"Adaptive Moment Estimation (Adam),Stochastic Gradient Decent,Adaptive Learning Rate and Momentum"
2021,International Conference on Machine Learning (ICML 2021) 139,Positive-Negative Momentum: Manipulating Stochastic Gradient Noise to Improve Generalization,"Zeke Xie, Li Yuan, Zhanxing Zhu, Masashi Sugiyama",Zeke Xie,English,"It is well-known that stochastic gradient noise (SGN) acts as implicit regularization for deep learning and is essentially important for both optimization and generalization of deep networks. Some works attempted to artificially simulate SGN by injecting random noise to improve deep learning. However, it turned out that the injected simple random noise cannot work as well as SGN, which is anisotropic and parameter-dependent. For simulating SGN at low computational costs and without changing the learning rate or batch size, we propose the Positive-Negative Momentum (PNM) approach that is a powerful alternative to conventional Momentum in classic optimizers. The introduced PNM method maintains two approximate independent momentum terms. Then, we can control the magnitude of SGN explicitly by adjusting the momentum difference. We theoretically prove the convergence guarantee and the generalization advantage of PNM over Stochastic Gradient Descent (SGD). By incorporating PNM into the two conventional optimizers, SGD with Momentum and Adam, our extensive experiments empirically verified the significant advantage of the PNM-based variants over the corresponding conventional Momentum-based optimizers. Code:\url {https://github. com/zeke-xie/Positive-Negative-Momentum}.",Article,https://proceedings.mlr.press/v139/xie21h.html,33,xie2021positive,"stochastic gradient noise,deep learning,regularization,Stochastic Gradient Descent"
2020,None,Stable weight decay regularization,"Zeke Xie, Issei Sato, Masashi Sugiyama",Zeke Xie,English,"Weight decay is a popular regularization technique for training of deep neural networks. Modern deep learning libraries mainly use  regularization as the default implementation of weight decay. \citet{loshchilov2018decoupled} demonstrated that  regularization is not identical to weight decay for adaptive gradient methods, such as Adaptive Momentum Estimation (Adam), and proposed Adam with Decoupled Weight Decay (AdamW). However, we found that the popular implementations of weight decay, including  regularization and decoupled weight decay, in modern deep learning libraries usually damage performance. First, the  regularization is unstable weight decay for all optimizers that use Momentum, such as stochastic gradient descent (SGD). Second, decoupled weight decay is highly unstable for all adaptive gradient methods. We further propose the Stable Weight Decay (SWD) method to fix the unstable weight decay problem from a dynamical perspective. The proposed SWD method makes significant improvements over  regularization and decoupled weight decay in our experiments. Simply fixing weight decay in Adam by SWD, with no extra hyperparameter, can outperform complex Adam variants, which have more hyperparameters.",Conference paper,https://openreview.net/forum?id=YzgAOeA67xX,28,xie2020stable,"weight decay,regularization,deep neural networks,deep learning, Adaptive Momentum Estimation (Adam)"
2022,International Conference on Machine Learning (ICML 2022),Sparse Double Descent: Where Network Pruning Aggravates Overfitting,"Zheng He, Zeke Xie, Quanzhi Zhu, Zengchang Qin",Zheng He,English,"People usually believe that network pruning not only reduces the computational cost of deep networks, but also prevents overfitting by decreasing model capacity. However, our work surprisingly discovers that network pruning sometimes even aggravates overfitting. We report an unexpected sparse double descent phenomenon that, as we increase model sparsity via network pruning, test performance first gets worse (due to overfitting), then gets better (due to relieved overfitting), and gets worse at last (due to forgetting useful information). While recent studies focused on the deep double descent with respect to model overparameterization, they failed to recognize that sparsity may also cause double descent. In this paper, we have three main contributions. First, we report the novel sparse double descent phenomenon through extensive experiments. Second, for this phenomenon, we propose a novel learning distance interpretation that the curve of l2 learning distance of sparse models (from initialized parameters to final parameters) may correlate with the sparse double descent curve well and reflect generalization better than minima flatness. Third, in the context of sparse double descent, a winning ticket in the lottery ticket hypothesis surprisingly may not always win.",Conference paper,https://proceedings.mlr.press/v162/he22d.html,26,he2022sparse,"deep neural networks,pruning overfitting,sparse double descent"
2024,Neural Information Processing Systems (NeurIPS 2023),On the Overlooked Pitfalls of Weight Decay and How to Mitigate Them: A Gradient-Norm Perspective,"Zeke Xie, Zhiqiang Xu, Jingzhao Zhang, Issei Sato, Masashi Sugiyama",Zeke Xie,English,"Weight decay is a simple yet powerful regularization technique that has been very widely used in training of deep neural networks (DNNs). While weight decay has attracted much attention, previous studies fail to discover some overlooked pitfalls on large gradient norms resulted by weight decay. In this paper, we discover that, weight decay can unfortunately lead to large gradient norms at the final phase (or the terminated solution) of training, which often indicates bad convergence and poor generalization. To mitigate the gradient-norm-centered pitfalls, we present the first practical scheduler for weight decay, called the Scheduled Weight Decay (SWD) method that can dynamically adjust the weight decay strength according to the gradient norm and significantly penalize large gradient norms during training. Our experiments also support that SWD indeed mitigates large gradient norms and often significantly outperforms the conventional constant weight decay strategy for Adaptive Moment Estimation (Adam).",Conference paper,https://proceedings.neurips.cc/paper_files/paper/2023/hash/040d3b6af368bf71f952c18da5713b48-Abstract-Conference.html,4,xie2024overlooked,"weight decay,deep neural networks,overlooked pitfalls,gradient norms,Adaptive Moment Estimation (Adam)"
2023,International Conference on Computer Vision (ICCV 2023),S3IM: Stochastic Structural SIMilarity and Its Unreasonable Effectiveness for Neural Fields,"Zeke Xie, Xindi Yang, Yujie Yang, Qi Sun, Yixiang Jiang, Haoran Wang, Yunfeng Cai, Mingming Sun",Zeke Xie,English,"Recently, Neural Radiance Field (NeRF) has shown great success in rendering novel-view images of a given scene by learning an implicit representation with only posed RGB images. NeRF and relevant neural field methods (eg, neural surface representation) typically optimize a point-wise loss and make point-wise predictions, where one data point corresponds to one pixel. Unfortunately, this line of research failed to use the collective supervision of distant pixels, although it is known that pixels in an image or scene can provide rich structural information. To the best of our knowledge, we are the first to design a nonlocal multiplex training paradigm for NeRF and relevant neural field methods via a novel Stochastic Structural SIMilarity (S3IM) loss that processes multiple data points as a whole set instead of process multiple inputs independently. Our extensive experiments demonstrate the unreasonable effectiveness of S3IM in improving NeRF and neural surface representation for nearly free. The improvements of quality metrics can be particularly significant for those relatively difficult tasks: eg, the test MSE loss unexpectedly drops by more than 90% for TensoRF and DVGO over eight novel view synthesis tasks; a 198% F-score gain and a 64% Chamfer L1 distance reduction for NeuS over eight surface reconstruction tasks. Moreover, S3IM is consistently robust even with sparse inputs, corrupted images, and dynamic scenes.",Conference paper,http://openaccess.thecvf.com/content/ICCV2023/html/Xie_S3IM_Stochastic_Structural_SIMilarity_and_Its_Unreasonable_Effectiveness_for_Neural_ICCV_2023_paper.html,18,xie2023s3im,"Neural Radiance Field, Stochastic Structural SIMilarity,neural fields"
2022,arXiv preprint arXiv:2201.13011 2,On the power-law spectrum in deep learning: A bridge to protein science,"Zeke Xie, Qian-Yuan Tang, Yunfeng Cai, Mingming Sun, Ping Li",Zeke Xie,English,"It is well-known that the Hessian matters to optimization, generalization, and even robustness of deep learning. Recent works empirically discovered that the Hessian spectrum in deep learning has a two-component structure that consists of a small number of large eigenvalues and a large number of nearly-zero eigenvalues. However, the theoretical mechanism behind the Hessian spectrum is still absent or under-explored. We are the first to theoretically and empirically demonstrate that the Hessian spectrums of well-trained deep neural networks exhibit simple power-law distributions. Our work further reveals how the power-law spectrum essentially matters to deep learning:(1) it leads to low-dimensional and robust learning space, and (2) it implicitly penalizes the variational free energy, which results in low-complexity solutions. We further used the power-law spectral framework as a powerful tool to demonstrate multiple novel behaviors of deep learning. Interestingly, the power-law spectrum is also known to be important in protein, which indicates a novel bridge between deep learning and protein science.",Article,https://www.researchgate.net/profile/Qian-Yuan-Tang/publication/358259923_On_the_Power-Law_Spectrum_in_Deep_Learning_A_Bridge_to_Protein_Science/links/61f987b8aad5781d41c4dfc6/On-the-Power-Law-Spectrum-in-Deep-Learning-A-Bridge-to-Protein-Science.pdf,13,xie2022power,"Hessian spectrum,deep learning,deep neural networks"
