Year,Sources,Name,Authors,First Author,Chinese/English,Abstract,Venues,doi,Citation,Id,Keywords
2021,IEEE transactions on visualization and computer graphics,A survey on ML4VIS: Applying machine learning advances to data visualization,"Qianwen Wang, Zhutian Chen, Yong Wang, Huamin Qu",Qianwen Wang,English,"Inspired by the great success of machine learning (ML), researchers have applied ML techniques to visualizations to achieve a better design, development, and evaluation of visualizations. This branch of studies, known as ML4VIS, is gaining increasing research attention in recent years. To successfully adapt ML techniques for visualizations, a structured understanding of the integration of ML4VIS is needed. In this article, we systematically survey 88 ML4VIS studies, aiming to answer two motivating questions:  “what visualization processes can be assisted by ML?”  and  “how ML techniques can be used to solve visualization problems? ” This survey reveals seven main processes where the employment of ML techniques can benefit visualizations:  Data Processing4VIS, Data-VIS Mapping, Insight Communication, Style Imitation, VIS Interaction, VIS Reading, and User Profiling . The seven processes are related to?…",Article,https://ieeexplore.ieee.org/abstract/document/9523770/,76,wang2021survey," ML4VIS, machine learning, data visualization, survey"
2021,IEEE Transactions on Visualization and Computer Graphics,Ai4vis: Survey on artificial intelligence approaches for data visualization,"Aoyu Wu, Yun Wang, Xinhuan Shu, Dominik Moritz, Weiwei Cui, Haidong Zhang, Dongmei Zhang, Huamin Qu",Aoyu Wu,English,"Visualizations themselves have become a data format. Akin to other data formats such as text and images, visualizations are increasingly created, stored, shared, and (re-)used with artificial intelligence (AI) techniques. In this survey, we probe the underlying vision of formalizing visualizations as an emerging data format and review the recent advance in applying AI techniques to visualization data (AI4VIS). We define visualization data as the digital representations of visualizations in computers and focus on data visualization (e.g., charts and infographics). We build our survey upon a corpus spanning ten different fields in computer science with an eye toward identifying important common interests. Our resulting taxonomy is organized around WHAT is visualization data and its representation, WHY and HOW to apply AI to visualization data. We highlight a set of common tasks that researchers apply to the?…",Conference paper,https://ieeexplore.ieee.org/abstract/document/9495259/,97,wu2021ai4vis," Survey, data visualization, artificial intelligence, data format, machine learning"
2020,IEEE Transactions on Visualization and Computer Graphics,Dece: Decision explorer with counterfactual explanations for machine learning models,"Furui Cheng, Yao Ming, Huamin Qu",Furui Cheng,English,"With machine learning models being increasingly applied to various decision-making scenarios, people have spent growing efforts to make machine learning models more transparent and explainable. Among various explanation techniques, counterfactual explanations have the advantages of being human-friendly and actionable-a counterfactual explanation tells the user how to gain the desired prediction with minimal changes to the input. Besides, counterfactual explanations can also serve as efficient probes to the models' decisions. In this work, we exploit the potential of counterfactual explanations to understand and explore the behavior of machine learning models. We design DECE, an interactive visualization system that helps understand and explore a model's decisions on individual instances and data subsets, supporting users ranging from decision-subjects to model developers. DECE supports?…",Article,https://ieeexplore.ieee.org/abstract/document/9229232/,92,cheng2020dece," Tabular Data, Explainable Machine Learning, Counterfactual Explanation, Decision Making"
2021,IEEE Transactions on Visualization and Computer Graphics,KG4Vis: A Knowledge Graph-Based Approach for Visualization Recommendation,"Haotian Li, Yong Wang, Songheng Zhang, Yangqiu Song, Huamin Qu",Haotian Li,English,"Visualization recommendation or automatic visualization generation can significantly lower the barriers for general users to rapidly create effective data visualizations, especially for those users without a background in data visualizations. However, existing rule-based approaches require tedious manual specifications of visualization rules by visualization experts. Other machine learning-based approaches often work like black-box and are difficult to understand why a specific visualization is recommended, limiting the wider adoption of these approaches. This paper fills the gap by presenting KG4Vis, a knowledge graph (KG)-based approach for visualization recommendation. It does not require manual specifications of visualization rules and can also guarantee good explainability. Specifically, we propose a framework for building knowledge graphs, consisting of three types of entities (i.e., data features, data?…",Article,https://ieeexplore.ieee.org/abstract/document/9552844/,87,li2021kg4vis,"Data visualization, Visualization recommendation, Knowledge graph"
2020,IEEE transactions on visualization and computer graphics,EmotionCues: Emotion-Oriented Visual Summarization of Classroom Videos,"Haipeng Zeng, Xinhuan Shu, Yanbang Wang, Yong Wang, Liguo Zhang, Ting-Chuen Pong, Huamin Qu",Haipeng Zeng,English,"Analyzing students’ emotions from classroom videos can help both teachers and parents quickly know the engagement of students in class. The availability of high-definition cameras creates opportunities to record class scenes. However, watching videos is time-consuming, and it is challenging to gain a quick overview of the emotion distribution and find abnormal emotions. In this article, we propose  EmotionCues , a visual analytics system to easily analyze classroom videos from the perspective of emotion summary and detailed analysis, which integrates emotion recognition algorithms with visualizations. It consists of three coordinated views: a summary view depicting the overall emotions and their dynamic evolution, a character view presenting the detailed emotion status of an individual, and a video view enhancing the video analysis with further details. Considering the possible inaccuracy of emotion?…",Article,https://ieeexplore.ieee.org/abstract/document/8948010/,80,zeng2020emotioncues,"Emotion, classroom videos, visual summarization, visual analytics"
2021,IEEE Transactions on Visualization and Computer Graphics,M2lens: Visualizing and explaining multimodal models for sentiment analysis,"Xingbo Wang, Jianben He, Zhihua Jin, Muqiao Yang, Yong Wang, Huamin Qu",Xingbo Wang,English,"Multimodal sentiment analysis aims to recognize people's attitudes from multiple communication channels such as verbal content (i.e., text), voice, and facial expressions. It has become a vibrant and important research topic in natural language processing. Much research focuses on modeling the complex intra- and inter-modal interactions between different communication channels. However, current multimodal models with strong performance are often deep-learning-based techniques and work like black boxes. It is not clear how models utilize multimodal information for sentiment predictions. Despite recent advances in techniques for enhancing the explainability of machine learning models, they often target unimodal scenarios (e.g., images, sentences), and little research has been done on explaining multimodal models. In this paper, we present an interactive visual analytics system, M2 Lens, to visualize and?…",Article,https://ieeexplore.ieee.org/abstract/document/9552921/,72,wang2021m2lens,"Visualization, Storytelling, Interview,  Lab  Study, Data Video, Guideline"
2021,Proceedings of the 2021 CHI conference on human factors in computing systems?…,A visual analytics approach to facilitate the proctoring of online exams,"Haotian Li, Min Xu, Yong Wang, Huan Wei, Huamin Qu",Haotian Li,English," Online exams have become widely used to evaluate students’ performance in mastering knowledge in recent years, especially during the pandemic of COVID-19. However, it is challenging to conduct proctoring for online exams due to the lack of face-to-face interaction. Also, prior research has shown that online exams are more vulnerable to various cheating behaviors, which can damage their credibility. This paper presents a novel visual analytics approach to facilitate the proctoring of online exams by analyzing the exam video records and mouse movement data of each student. Specifically, we detect and visualize suspected head and mouse movements of students in three levels of detail, which provides course instructors and teachers with convenient, efficient and reliable proctoring for online exams. Our extensive evaluations, including usage scenarios, a carefully-designed user study and expert interviews?…",Conference paper,https://dl.acm.org/doi/abs/10.1145/3411764.3445294,68,li2021visual,"Online proctoring, visual analytics, mouse movement, head pose estimation "
2020,Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems?…,Augmenting static visualizations with paparvis designer,"Zhutian Chen, Wai Tong, Qianwen Wang, Benjamin Bach, Huamin Qu",Zhutian Chen,English,"This paper presents an authoring environment for augmenting static visualizations with virtual content in augmented reality.Augmenting static visualizations can leverage the best of both physical and digital worlds, but its creation currently involves different tools and devices, without any means to explicitly design and debug both static and virtual content simultaneously. To address these issues, we design an environment that seamlessly integrates all steps of a design and deployment workflow through its main features: i) an extension to Vega, ii) a preview, and iii) debug hints that facilitate valid combinations of static and augmented content. We inform our design through a design space with four ways to augment static visualizations. We demonstrate the expressiveness of our tool through examples, including books, posters, projections, wall-sized visualizations. A user study shows high user satisfaction of our?…",Conference paper,https://dl.acm.org/doi/abs/10.1145/3313831.3376436,56,chen2020augmenting,"Visualization in Augmented Reality, Augmented Static Visualization, Data Visualization Authoring"
2021,IEEE Transactions on Visualization and Computer Graphics,Augmenting sports videos with viscommentator,"Zhutian Chen, Shuainan Ye, Xiangtong Chu, Haijun Xia, Hui Zhang, Huamin Qu, Yingcai Wu",Zhutian Chen,English,"Visualizing data in sports videos is gaining traction in sports analytics, given its ability to communicate insights and explicate player strategies engagingly. However, augmenting sports videos with such data visualizations is challenging, especially for sports analysts, as it requires considerable expertise in video editing. To ease the creation process, we present a design space that characterizes augmented sports videos at an element-level  (what the constituents are)  and clip-level  (how those constituents are organized) . We do so by systematically reviewing 233 examples of augmented sports videos collected from TV channels, teams, and leagues. The design space guides selection of data insights and visualizations for various purposes. Informed by the design space and close collaboration with domain experts, we design VisCommentator, a fast prototyping tool, to eases the creation of augmented table tennis?…",Article,https://ieeexplore.ieee.org/abstract/document/9552848/,54,chen2021augmenting,"Augmented Sports Videos, Video-based Visualization, Sports visualization, Intelligent Design Tool, Storytelling"
2020,IEEE Transactions on Visualization and Computer Graphics,What makes a data-GIF understandable?,"Xinhuan Shu, Aoyu Wu, Junxiu Tang, Benjamin Bach, Yingcai Wu, Huamin Qu",Xinhuan Shu,English,"GIFs are enjoying increasing popularity on social media as a format for data-driven storytelling with visualization; simple visual messages are embedded in short animations that usually last less than 15 seconds and are played in automatic repetition. In this paper, we ask the question, “What makes a data-GIF understandable?” While other storytelling formats such as data videos, infographics, or data comics are relatively well studied, we have little knowledge about the design factors and principles for “data-GIFs”. To close this gap, we provide results from semi-structured interviews and an online study with a total of 118 participants investigating the impact of design decisions on the understandability of data-GIFs. The study and our consequent analysis are informed by a systematic review and structured design space of 108 data-GIFs that we found online. Our results show the impact of design dimensions from our?…",Article,https://ieeexplore.ieee.org/abstract/document/9222309/,51,shu2020makes,"Data-GIFs, Data-driven Storytelling, Evaluation"
