Year,Sources,Name,Authors,First Author,Chinese/English,Abstract,Venues,doi,Citation,Id,Keywords
2020,proceedings of the AAAI conference on artificial intelligence,Tensor completion for weakly-dependent data on graph for metro passenger flow prediction,"Ziyue Li, Nurettin Dorukhan Sergin, Hao Yan, Chen Zhang, Fugee Tsung",Ziyue Li,English,"Low-rank tensor decomposition and completion have attracted significant interest from academia given the ubiquity of tensor data. However, low-rank structure is a global property, which will not be fulfilled when the data presents complex and weak dependencies given specific graph structures. One particular application that motivates this study is the spatiotemporal data analysis. As shown in the preliminary study, weakly dependencies can worsen the low-rank tensor completion performance. In this paper, we propose a novel low-rank CANDECOMP/PARAFAC (CP) tensor decomposition and completion framework by introducing the L 1-norm penalty and Graph Laplacian penalty to model the weakly dependency on graph. We further propose an efficient optimization algorithm based on the Block Coordinate Descent for efficient estimation. A case study based on the metro passenger flow data in Hong Kong is conducted to demonstrate an improved performance over the regular tensor completion methods.",Article,https://ojs.aaai.org/index.php/AAAI/article/view/5915,55,li2020tensor,low-rank tensor decomposition and completion
2021,International Journal of Production Research,Nonparametric monitoring of multivariate data via KNN learning,"Wendong Li, Chi Zhang, Fugee Tsung, Yajun Mei",Wendong Li,English,"Process monitoring of multivariate quality attributes is important in many industrial applications, in which rich historical data are often available thanks to modern sensing technologies. While multivariate statistical process control (SPC) has been receiving increasing attention, existing methods are often inadequate as they are sensitive to the parametric model assumptions of multivariate data. In this paper, we propose a novel, nonparametric k-nearest neighbours empirical cumulative sum (KNN-ECUSUM) control chart that is a machine-learning-based black-box control chart for monitoring multivariate data by utilising extensive historical data under both in-control and out-of-control scenarios. Our proposed method utilises the k-nearest neighbours (KNN) algorithm for dimension reduction to transform multivariate data into univariate data and then applies the CUSUM procedure to monitor the change on the empirical?…",Article,https://www.tandfonline.com/doi/abs/10.1080/00207543.2020.1812750,36,li2021nonparametric,"Multivariate statistical process control, KNN algorithm, machine learning,categorical variable, CUSUM, empirical probability mass function"
2020,IEEE Robotics and Automation Letters,Long-short term spatiotemporal tensor prediction for passenger flow profile,"Ziyue Li, Hao Yan, Chen Zhang, Fugee Tsung",Ziyue Li,English,"Spatiotemporal data are very common in many applications, such as manufacturing systems and transportation systems. Given the intrinsic complex spatial and temporal correlations of such data, short-term and long-term prediction for spatiotemporal data is often very challenging. Most of the traditional statistical models fail to preserve innate features in data alongside their complex correlations. In this paper, we focus on a tensor-based prediction method and propose several practical techniques to improve both long-term and short-term prediction accuracy. For long-term prediction, we propose the “tensor decomposition + 2-Dimensional Auto-Regressive Moving Average (2D-ARMA)” model, and an effective way to update prediction in real-time; For short-term prediction, we propose to conduct tensor completion based on tensor clustering to avoid oversimplification and ensure accuracy. A case study based on the?…",Article,https://ieeexplore.ieee.org/abstract/document/9126133/,31,li2020long,"Intelligent transportation system, probability and statistical methods, big data in robotics and automation"
2020,IISE Transactions,A hybrid transfer learning framework for in-plane freeform shape accuracy control in additive manufacturing,"Longwei Cheng, Kai Wang, Fugee Tsung",Longwei Cheng,English,"Shape accuracy control is one of the quality issues of greatest concern in Additive Manufacturing (AM). An efficient approach to improving the shape accuracy of a fabricated product is to compensate the fabrication errors of AM systems by modifying the input shape defined by a digital design model. In contrast with mass production, AM processes typically fabricate customized products with extremely low volume and huge shape varieties, which makes shape accuracy control in AM a challenging problem. In this article, we propose a hybrid transfer learning framework to predict and compensate the in-plane shape deviations of new and untried freeform products based on a small number of previously fabricated products. Within this framework, the shape deviation is decomposed into a shape-independent error and a shape-specific error. A parameter-based transfer learning approach is used to facilitate a sharing of?…",Article,https://www.tandfonline.com/doi/abs/10.1080/24725854.2020.1741741,25,cheng2020hybrid,"Additive manufacturing, feature transfer, freeform shape, functional linear model, parameter transfer, shape accuracy control"
2020,IEEE Transactions on Automation Science and Engineering,Configuration-based smart customization service: A multitask learning approach,"Yue Wang, Xiang Li, Fugee Tsung",Yue Wang,English,"Smart customization service is an important element for smart manufacturing. The success of smart customization requires that designers, manufacturers, and customers with differences in context, semantics, and other cognitive aspects be engaged in a collaborative process. With product configurators reported to have positive impacts on product quality to meet customers' needs, this article attempts to explore an approach for smart customization service based on configurators. To better address the semantic gap between customers and designers/manufacturers, a new configuration mechanism is proposed that takes into consideration customer needs using natural language as the input and maps them to product specifications in the design stage. We collected a massive amount of review text from e-commerce websites and used ELMo, a contextualized word representation based on a deep bidirectional language?…",Article,https://ieeexplore.ieee.org/abstract/document/9078363/,19,wang2020configuration,"Deep learning, product configurator, smart manufacturing, smart service, transfer learning"
2022,Data Mining and Knowledge Discovery,Individualized passenger travel pattern multi-clustering based on graph regularized tensor latent dirichlet allocation,"Ziyue Li, Hao Yan, Chen Zhang, Fugee Tsung",Ziyue Li,English,"Individual passenger travel patterns have significant value in understanding passenger’s behavior, such as learning the hidden clusters of locations, time, and passengers. The learned clusters further enable commercially beneficial actions such as customized services, promotions, data-driven urban-use planning, peak hour discovery, and so on. However, the individualized passenger modeling is very challenging for the following reasons: 1) The individual passenger travel data are multi-dimensional spatiotemporal big data, including at least the origin, destination, and time dimensions; 2) Moreover, individualized passenger travel patterns usually depend on the external environment, such as the distances and functions of locations, which are ignored in most current works. This work proposes a multi-clustering model to learn the latent clusters along the multiple dimensions of Origin, Destination, Time, and?…",Article,https://link.springer.com/article/10.1007/s10618-022-00842-3,17,li2022individualized,"Individualized analysis,Tensor,Topic model,Graph structure,Online algorithm ,Spatiotemporal data"
2021,Journal of Quality Technology,Multi-sensor based landslide monitoring via transfer learning,"Wendong Li, Fugee Tsung, Zhenli Song, Ke Zhang, Dongdong Xiang",Wendong Li,English,"Landslides are severe geographical activities that result in large quantities of rock and debris flowing down hill-slopes, leading to thousands of casualties and billions of dollars in infrastructure damage every year worldwide. For detecting landslides, on-site sensor systems are widely applied for data collection and many existing statistical process control methods can be adopted for modeling and monitoring. However, the conventional methods may perform poorly or even inapplicable when the sensors have different set-up times and end times, especially when the system includes newly deployed sensors with limited data collected. To make effective use of such new sensors immediately after deployment, we propose a novel multi-sensor based charting scheme for dynamic landslide modeling and monitoring by using transfer learning. A regularized parameter-based transfer learning approach integrated with the?…",Article,https://www.tandfonline.com/doi/abs/10.1080/00224065.2021.1960936,17,li2021multi,"Dynamic landslide monitoring, generalized likelihood ratio, ordered Lasso, transfer learning"
2021,IEEE Transactions on Cybernetics,Directional PCA for fast detection and accurate diagnosis: A unified framework,"Jian Li, Dong Ding, Fugee Tsung",Jian Li,English,"Many methods for monitoring multivariate processes are built on principal component analysis (PCA), which, however, simply tells whether the process is faulty or not. In fact, there is still room for the improvement of the early detection performance by exploiting fully the information given by fault directions. To this end, this article proposes a novel directional PCA (diPCA) approach. First, by narrowing down faults to a specified direction or composite mutually orthogonal directions, diPCA can speed fault detection and facilitate accurate fault diagnosis. It also has good theoretical properties that guarantee concise control limits. Second, with appropriate fault directions, diPCA provides a unified framework for process monitoring and includes existing monitoring indices, such as Hotelling’s     and the squared prediction error (SPE), as special cases. Third, diPCA also naturally results in a new combined monitoring statistic?…",Article,https://ieeexplore.ieee.org/abstract/document/9430765/,17,li2021directional,"Composite hypothesis, fault direction, likelihood ratio test (LRT), normalization, probabilistic principal component analysis (PCA) model"
2022,International Journal of Production Research,Bayesian cross-product quality control via transfer learning,"Kai Wang, Fugee Tsung",Kai Wang,English,"Quality control is essential for modern business success. The traditional statistical process control (SPC), however, lacks efficacy in current high-variety low-volume industrial practices since the historical reference data in Phase I are usually too scarce to infer the in-control process parameters accurately. To solve this ‘small data’ challenge, a novel Bayesian process monitoring scheme via transfer learning is proposed to facilitate a cross-product data sharing. In particular, a joint prior distribution is taken to explicitly capture the relatedness between the process data of two similar products, through which the process information can be transferred from one product (source domain) to improve the Bayesian inference for the other product (target domain). The posteriors can be derived analytically in closed forms by using generalised hypergeometric functions, thereby leading to a computationally efficient control chart for?…",Article,https://www.tandfonline.com/doi/abs/10.1080/00207543.2020.1845413,16,wang2022bayesian,"Bayesian inference, data sharing, joint prior distribution, process monitoring, small data"
2022,ACM Transactions on Knowledge Discovery from Data (TKDD),Profile decomposition based hybrid transfer learning for cold-start data anomaly detection,"Ziyue Li, Hao Yan, Fugee Tsung, Ke Zhang",Ziyue Li,English,"Anomaly detection is an essential task for quality management in smart manufacturing. An accurate data-driven detection method usually needs enough data and labels. However, in practice, there commonly exist newly set-up processes in manufacturing, and they only have quite limited data available for analysis. Borrowing the name from the recommender system, we call this process a cold-start process. The sparsity of anomaly, the deviation of the profile, and noise aggravate the detection difficulty. Transfer learning could help to detect anomalies for cold-start processes by transferring the knowledge from more experienced processes to the new processes. However, the existing transfer learning and multi-task learning frameworks are established on task- or domain-level relatedness. We observe instead, within a domain, some components (background and anomaly) share more commonality, others (profile?…",Article,https://dl.acm.org/doi/abs/10.1145/3530990,15,li2022profile,"Cold-start anomaly detection, Profile decomposition, Hybrid Transfer learning, Bayesian probabilistic model and regularization"
