Year,Sources,Name,Authors,First Author,Chinese/English,Abstract,Venues,doi,Citation,Id,Keywords
2021,Advances in Neural Information Processing Systems (NeurIPS) 34,Learning to Iteratively Solve Routing Problems with Dual-Aspect Collaborative Transformer,"Yining Ma, Jingwen Li, Zhiguang Cao, Wen Song, Le Zhang, Zhenghua Chen, Jing Tang",Yining Ma,English,"Recently, Transformer has become a prevailing deep architecture for solving vehicle routing problems (VRPs). However, it is less effective in learning improvement models for VRP because its positional encoding (PE) method is not suitable in representing VRP solutions. This paper presents a novel Dual-Aspect Collaborative Transformer (DACT) to learn embeddings for the node and positional features separately, instead of fusing them together as done in existing ones, so as to avoid potential noises and incompatible correlations. Moreover, the positional features are embedded through a novel cyclic positional encoding (CPE) method to allow Transformer to effectively capture the circularity and symmetry of VRP solutions (ie, cyclic sequences). We train DACT using Proximal Policy Optimization and design a curriculum learning strategy for better sample efficiency. We apply DACT to solve the traveling salesman problem (TSP) and capacitated vehicle routing problem (CVRP). Results show that our DACT outperforms existing Transformer based improvement models, and exhibits much better generalization performance across different problem sizes on synthetic and benchmark instances, respectively.",Conference paper,https://proceedings.neurips.cc/paper_files/paper/2021/hash/5c53292c032b6cb8510041c54274e65f-Abstract.html,113,ma2021learning,"Vehicle Routing problems,Dual-Aspect Collaborative Transformer"
2020,2020 ACM International Conference on Multimedia (ACM MM),Campus3D: A Photogrammetry Point Cloud Benchmark for Hierarchical Understanding of Outdoor Scene,"Xinke Li, Chongshou Li, Zekun Tong, Andrew Lim, Junsong Yuan, Yuwei Wu, Jing Tang, Raymond Huang",Xinke Li,English,"Learning on 3D scene-based point cloud has received extensive attention as its promising application in many fields, and well-annotated and multisource datasets can catalyze the development of those data-driven approaches. To facilitate the research of this area, we present a richly-annotated 3D point cloud dataset for multiple outdoor scene understanding tasks and also an effective learning framework for its hierarchical segmentation task. The dataset was generated via the photogrammetric processing on unmanned aerial vehicle (UAV) images of the National University of Singapore (NUS) campus, and has been point-wisely annotated with both hierarchical and instance-based labels. Based on it, we formulate a hierarchical learning problem for 3D point cloud segmentation and propose a measurement evaluating consistency across various hierarchies. To solve this problem, a two-stage method including?…",Conference paper,https://dl.acm.org/doi/abs/10.1145/3394171.3413661,45,li2020campus3d,None
2021,Proceedings of the 2021 SIGMOD International Conference on Management of?…,Do the Rich Get Richer? Fairness Analysis for Blockchain Incentives,"Yuming Huang, Jing Tang, Qianhao Cong, Andrew Lim, Jianliang Xu",Yuming Huang,English,"Proof-of-Work (PoW) is the most widely adopted incentive model in current blockchain systems, which unfortunately is energy inefficient. Proof-of-Stake (PoS) is then proposed to tackle the energy issue. The rich-get-richer concern of PoS has been heavily debated in the blockchain community. The debate is centered around the argument that whether rich miners possessing more stakes will obtain higher staking rewards and further increase their potential income in the future. In this paper, we define two types of fairness, i.e., expectational fairness and robust fairness, that are useful for answering this question. In particular, expectational fairness illustrates that the expected income of a miner is proportional to her initial investment, indicating that the expected return on investment is a constant. To better capture the uncertainty of mining outcomes, robust fairness is proposed to characterize whether the return on?…",Conference paper,https://dl.acm.org/doi/abs/10.1145/3448016.3457285,39,huang2021rich,"Blockchain, Proof-of-Stake"
2020,The VLDB Journal,Efficient Approximation Algorithms for Adaptive Influence Maximization,"Keke Huang, Jing Tang, Kai Han, Xiaokui Xiao, Wei Chen, Aixin Sun, Xueyan Tang, Andrew Lim",Keke Huang,English," Given a social network G and an integer k, the influence maximization (IM) problem asks for a seed set S of k nodes from G to maximize the expected number of nodes influenced via a propagation model. The majority of the existing algorithms for the IM problem are developed only under the non-adaptive setting, i.e., where all k seed nodes are selected in one batch without observing how they influence other users in real world. In this paper, we study the adaptive IM problem where the k seed nodes are selected in batches of equal size b, such that the i-th batch is identified after the actual influence results of the former  batches are observed. In this paper, we propose the first practical algorithm for the adaptive IM problem that could provide the worst-case approximation guarantee of , where  and  is a user-specified parameter. In particular, we propose a general?…",Article,https://link.springer.com/article/10.1007/s00778-020-00615-8,39,huang2020efficient,"Social networks,Influence maximization,Adaptive influence maximization,Adaptive stochastic optimization,Approximation algorithms"
2020,Proceedings of the VLDB Endowment,Pricing Influential Nodes in Online Social Networks,"Yuqing Zhu, Jing Tang, Xueyan Tang",Yuqing Zhu,English,"Influential nodes with rich connections in online social networks (OSNs) are of great values to initiate marketing campaigns. However, the potential influence spread that can be generated by these influential nodes is hidden behind the structures of OSNs, which are often held by OSN providers and unavailable to advertisers for privacy concerns. A social advertising model known as influencer marketing is to have OSN providers offer and price candidate nodes for advertisers to purchase for seeding marketing campaigns. In this setting, a reasonable price profile for the candidate nodes should effectively reflect the expected influence gain they can bring in a marketing campaign. In this paper, we study the problem of pricing the influential nodes based on their expected influence spread to help advertisers select the initiators of marketing campaigns without the knowledge of OSN structures. We design a function?…",Article,https://dl.acm.org/doi/abs/10.14778/3401960.3401961,21,zhu2020pricing,Online social network
2020,2020 IEEE 40th International Conference on Distributed Computing Systems (ICDCS),An Analysis of Blockchain Consistency in Asynchronous Networks: Deriving a Neat Bound,"Jun Zhao, Jing Tang, Zengxiang Li, Huaxiong Wang Wang, Kwok-Yan Lam, Kaiping Xue",Jun Zhao,English,"Formal analyses of blockchain protocols have received much attention recently. Consistency results of Nakamoto's blockchain protocol are often expressed in a quantity c, which denotes the expected number of network delays before some block is mined. With μ (resp., ν) denoting the fraction of computational power controlled by benign miners (resp., the adversary), where μ+ν =1, we prove for the first time that to ensure the consistency property of Nakamoto's blockchain protocol in an asynchronous network, it suffices to have c to be just slightly greater than 2μ/(ln(μ/ν)). Such a result is both neater and stronger than existing ones. In the proof, we formulate novel Markov chains which characterize the numbers of mined blocks in different rounds.",Conference paper,https://ieeexplore.ieee.org/abstract/document/9355787/,19,zhao2020analysis,"Blockchain, consistency, asynchronous networks, Markov chains"
2022,ACM Transactions on Database Systems (TODS),Influence Maximization Revisited: Efficient Sampling with Bound Tightened,"Qintian Guo, Sibo Wang, Zhewei Wei, Wenqing Lin, Jing Tang",Qintian Guo,English,"Given a social network G with n nodes and m edges, a positive integer k, and a cascade model C, the influence maximization (IM) problem asks for k nodes in G such that the expected number of nodes influenced by the k nodes under cascade model C is maximized. The state-of-the-art approximate solutions run in O(k(n+m)log n/ε2) expected time while returning a (1 - 1/e - ε) approximate solution with at least 1 - 1/n probability. A key phase of these IM algorithms is the random reverse reachable (RR) set generation, and this phase significantly affects the efficiency and scalability of the state-of-the-art IM algorithms. In this article, we present a study on this key phase and propose an efficient random RR set generation algorithm under IC model. With the new algorithm, we show that the expected running time of existing IM algorithms under IC model can be improved to O(k ? n log n ?2), when for any node v, the total?…",Article,https://dl.acm.org/doi/abs/10.1145/3533817,18,guo2022influence,"Influence maximization, sampling"
2021,Proceedings of the ACM on Measurement and Analysis of Computing Systems 5 (1?…,Revisiting Modified Greedy Algorithm for Monotone Submodular Maximization with a Knapsack Constraint,"Jing Tang, Xueyan Tang, Andrew Lim, Kai Han, Chongshou Li, Junsong Yuan",Jing Tang,English,"Monotone submodular maximization with a knapsack constraint is NP-hard. Various approximation algorithms have been devised to address this optimization problem. In this paper, we revisit the widely known modified greedy algorithm. First, we show that this algorithm can achieve an approximation factor of 0.405, which significantly improves the known factors of 0.357 given by Wolsey and (1-1/e)/2\approx 0.316 given by Khuller et al. More importantly, our analysis closes a gap in Khuller et al.'s proof for the extensively mentioned approximation factor of (1-1/\sqrte )\approx 0.393 in the literature to clarify a long-standing misconception on this issue. Second, we enhance the modified greedy algorithm to derive a data-dependent upper bound on the optimum. We empirically demonstrate the tightness of our upper bound with a real-world application. The bound enables us to obtain a data-dependent ratio typically?…",Article,https://dl.acm.org/doi/abs/10.1145/3447386,18,tang2021revisiting,"Submodular maximization, Greedy algorithm, Approximation guarantee"
2020,2020 IEEE 36th International Conference on Data Engineering (ICDE),Efficient Approximation Algorithms for Adaptive Target Profit Maximization,"Keke Huang, Jing Tang, Xiaokui Xiao, Aixin Sun, Andrew Lim",Keke Huang,English,"Given a social network G, the profit maximization (PM) problem asks for a set of seed nodes to maximize the profit, i.e., revenue of influence spread less the cost of seed selection. The target profit maximization (TPM) problem, which generalizes the PM problem, aims to select a subset of seed nodes from a target user set T to maximize the profit. Existing algorithms for PM mostly consider the nonadaptive setting, where all seed nodes are selected in one batch without any knowledge on how they may influence other users. In this paper, we study TPM in adaptive setting, where the seed users are selected through multiple batches, such that the selection of a batch exploits the knowledge of actual influence in the previous batches. To acquire an overall understanding, we study the adaptive TPM problem under both the oracle model and the noise model, and propose ADG and AddATP algorithms to address them with?…",Conference paper,https://ieeexplore.ieee.org/abstract/document/9101853/,18,huang2020efficient,"target profit maximization, social networks, approximation algorithms"
2021,International Conference on Machine Learning,Optimal Streaming Algorithms for Multi-Armed Bandits,"Tianyuan Jin, Keke Huang, Jing Tang, Xiaokui Xiao",Tianyuan Jin,English,"This paper studies two variants of the best arm identification (BAI) problem under the streaming model, where we have a stream of n arms with reward distributions supported on [0, 1] with unknown means. The arms in the stream are arriving one by one, and the algorithm cannot access an arm unless it is stored in a limited size memory. We first study the streaming\epslion-topk-arms identification problem, which asks for k arms whose reward means are lower than that of the k-th best arm by at most\epsilon with probability at least 1-\delta. For general\epsilon\in (0, 1), the existing solution for this problem assumes k= 1 and achieves the optimal sample complexity O (\frac {n}{\epsilon^ 2}\log\frac {1}{\delta}) using O (\log^*(n)) memory and a single pass of the stream. We propose an algorithm that works for any k and achieves the optimal sample complexity O (\frac {n}{\epsilon^ 2}\log\frac {k}{\delta}) using a single-arm memory and a single pass of the stream. Second, we study the streaming BAI problem, where the objective is to identify the arm with the maximum reward mean with at least 1-\delta probability, using a single-arm memory and as few passes of the input stream as possible. We present a single-arm-memory algorithm that achieves a near instance-dependent optimal sample complexity within O (\log\Delta_2^{-1}) passes, where\Delta_2 is the gap between the mean of the best arm and that of the second best arm.",Conference paper,http://proceedings.mlr.press/v139/jin21a.html,15,jin2021optimal,best arm identification
2021,International Conference on Machine Learning,Almost Optimal Anytime Algorithm for Batched Multi-Armed Bandits,"Tianyuan Jin, Jing Tang, Pan Xu, Keke Huang, Xiaokui Xiao, Quanquan Gu",Tianyuan Jin,English,"In batched multi-armed bandit problems, the learner can adaptively pull arms and adjust strategy in batches. In many real applications, not only the regret but also the batch complexity need to be optimized. Existing batched bandit algorithms usually assume that the time horizon T is known in advance. However, many applications involve an unpredictable stopping time. In this paper, we study the anytime batched multi-armed bandit problem. We propose an anytime algorithm that achieves the asymptotically optimal regret for exponential families of reward distributions with $ O (\log\log T\ilog^{\alpha}(T)) $\footnote {Notation\ilog^{\alpha}(T) is the result of iteratively applying the logarithm function on T for\alpha times, eg,\ilog^{3}(T)=\log\log\log T.} batches, where . Moreover, we prove that for any constant c> 0, no algorithm can achieve the asymptotically optimal regret within c\log\log T batches.",Conference paper,http://proceedings.mlr.press/v139/jin21c.html,14,jin2021almost,multi-armed bandit
2021,International Conference on Machine Learning,Randomized Algorithms for Submodular Function Maximization with a -System Constraint,"Shuang Cui, Kai Han, Tianshuai Zhu, Jing Tang, Benwei Wu, He Huang",Shuang Cui,English,"Submodular optimization has numerous applications such as crowdsourcing and viral marketing. In this paper, we study the problem of non-negative submodular function maximization subject to a -system constraint, which generalizes many other important constraints in submodular optimization such as cardinality constraint, matroid constraint, and -extendible system constraint. The existing approaches for this problem are all based on deterministic algorithmic frameworks, and the best approximation ratio achieved by these algorithms (for a general submodular function) is . We propose a randomized algorithm with an improved approximation ratio of , while achieving nearly-linear time complexity significantly lower than that of the state-of-the-art algorithm. We also show that our algorithm can be further generalized to address a stochastic case where the elements can be adaptively selected, and propose an approximation ratio of  for the adaptive optimization case. The empirical performance of our algorithms is extensively evaluated in several applications related to data mining and social computing, and the experimental results demonstrate the superiorities of our algorithms in terms of both utility and efficiency.",Conference paper,https://proceedings.mlr.press/v139/cui21b.html,12,cui2021randomized,"Submodular maximization, k-system constraint,"
2023,Proceedings of the ACM Web Conference (WWW),Node-wise Diffusion for Scalable Graph Learning,"Keke Huang, Jing Tang, Juncheng Liu, Renchi Yang, Xiaokui Xiao",Keke Huang,English," Graph Neural Networks (GNNs) have shown superior performance for semi-supervised learning of numerous web applications, such as classification on web services and pages, analysis of online social networks, and recommendation in e-commerce. The state of the art derives representations for all nodes in graphs following the same diffusion (message passing) model without discriminating their uniqueness. However, (i) labeled nodes involved in model training usually account for a small portion of graphs in the semi-supervised setting, and (ii) different nodes locate at different graph local contexts and it inevitably degrades the representation qualities if treating them undistinguishedly in diffusion.  To address the above issues, we develop NDM, a universal node-wise diffusion model, to capture the unique characteristics of each node in diffusion, by which NDM is able to yield high-quality node representations?…",Conference paper,https://dl.acm.org/doi/abs/10.1145/3543507.3583408,11,huang2023node,"Graph Neural Networks, scalability , semi-supervised classification"
2023,IEEE Transactions on Knowledge and Data Engineering,2-hop+ Sampling: Efficient and Effective Influence Estimation,"Yuqing Zhu, Jing Tang, Xueyan Tang, Sibo Wang, Andrew Lim",Yuqing Zhu,English,"With rapidly growing sizes of online social networks, computational challenges arise in analyzing the diffusion process over networks. Sampling methods are commonly used to study the cascade effect and estimate users’ influence. In this paper, we propose a brand-new sampling method, called 2-hop+ sampling for quickly and accurately estimating the cascade size generated by a set of seed users under the independent cascade model. Our method generates only samples with at least one 2-hop live path from the source to reduce the number of samples. We further enhance the sampling efficiency of our method by a    technique. Moreover, we improve the generalized stopping rule algorithm to obtain an   -estimate of the mean of random variables with fewer samples needed. Extensive experiments with real-world datasets show that our techniques can significantly improve the estimation efficiency?…",Article,https://ieeexplore.ieee.org/abstract/document/9470928/,9,zhu20212,"Online social networks, influence estimation, sampling"
2021,Proceedings of the 2021 SIGMOD International Conference on Management of?…,Efficient and Effective Algorithms for Revenue Maximization in Social Advertising,"Kai Han, Benwei Wu, Jing Tang, Shuang Cui, Cigdem Aslay, Laks VS Lakshmanan",Kai Han,English,"We consider the revenue maximization problem in social advertising, where a social network platform owner needs to select seed users for a group of advertisers, each with a payment budget, such that the total expected revenue that the owner gains from the advertisers by propagating their ads in the network is maximized. Previous studies on this problem show that it is intractable and present approximation algorithms. We revisit this problem from a fresh perspective and develop novel efficient approximation algorithms, both under the setting where an exact influence oracle is assumed and under one where this assumption is relaxed. Our approximation ratios significantly improve upon the previous ones. Furthermore, we empirically show, using extensive experiments on four datasets, that our algorithms considerably outperform the existing methods on both the solution quality and computation efficiency.",Conference paper,https://dl.acm.org/doi/abs/10.1145/3448016.3459243,9,han2021efficient,"Social networks,Social advertising"
