Year,Sources,Name,Authors,First Author,Chinese/English,Abstract,Venues,doi,Citation,Id,Keywords
2020,2020 IEEE 36th International Conference on Data Engineering (ICDE),Fast Query Decomposition for Batch Shortest Path Processing in Road Networks,"Lei Li, Mengxuan Zhang, Wen Hua, Xiaofang Zhou",Lei Li,English,"Shortest path query is a fundamental operation in various location-based services (LBS) and most of them process queries on the server-side. As the business expands, scalability becomes a severe issue. Instead of simply deploying more servers to cope with the quickly increasing query number, batch shortest path algorithms have been proposed recently to answer a set of queries together using shareable computation. Besides, they can also work in a highly dynamic environment as no index is needed. However, the existing batch algorithms either assume the batch queries are finely decomposed or just process them without differentiation, resulting in poor query efficiency. In this paper, we aim to improve the performance of batch shortest path algorithms by revisiting the problem of query clustering. Specifically, we first propose three query decomposition methods to cluster queries: Zigzag that considers the 1-N?…",Conference paper,https://ieeexplore.ieee.org/abstract/document/9101781/,50,li2020fast,"Shortest path query, query decomposition"
2021,2021 IEEE 37th International Conference on Data Engineering (ICDE),Dynamic Hub Labeling for Road Networks,"Mengxuan Zhang, Lei Li, Wen Hua, Rui Mao, Pingfu Chao, Xiaofang Zhou",Mengxuan Zhang,English,"Shortest path finding is the building block of various applications in road networks and the index-based algorithms, especially hub labeling, can boost the query performance dramatically. However, the traffic condition keeps changing in real life, making the pre-computed index unable to answer the query correctly. In this work, we adopt the state-of-the-art tree decomposition-based hub labeling as the underlying index, and design efficient algorithms to incrementally maintain the index. Specifically, we first analyze the structural stability of the index in dynamic road networks which enables us to concentrate on label value maintenance. We then introduce the minimum weight property and minimum distance property to guarantee the index correctness without graph traversal. Moreover, we propose the star-centric paradigm for tracing index change and design various pruning techniques to further accelerate the index?…",Conference paper,https://ieeexplore.ieee.org/abstract/document/9458856/,38,zhang2021dynamic,"Road network,Shortest Paths"
2021,2021 IEEE 37th International Conference on Data Engineering (ICDE),Efficient 2-Hop Labeling Maintenance in Dynamic Small-World Networks,"Mengxuan Zhang, Lei Li, Wen Hua, Xiaofang Zhou",Mengxuan Zhang,English,"Shortest path computation is a fundamental operation in small-world networks and index-based methods, especially 2-hop labeling, are commonly applied which have achieved high query efficiency. However, small-world networks keep evolving in real life, making it indispensable to study the maintenance of shortest path index. In this work, we adopt the state-of-the-art Parallel Shortest-distance Labeling (PSL) as the underlying 2-hop labeling construction method, and design algorithms to support efficient update of the index given edge weight change (increase and decrease) in the network. Specifically, we focus on weighted PSL (WPSL) and propose the update propagation mechanism for both synchronous propagation and asynchronous propagation. We then identify the curse of pruning power generated for the propagation under edge weight increase, and solve this problem with a balance between index?…",Conference paper,https://ieeexplore.ieee.org/abstract/document/9458723/,32,zhang2021efficient,"Trajectory Data Mining, Trajectory Data Management, Deep Learning, Spatio-Temporal Data Mining, Urban Computing"
2020,IEEE Transactions on Knowledge and Data Engineering,Fastest Path Query Answering using Time-Dependent Hop-Labeling in Road Network,"Lei Li, Sibo Wang, Xiaofang Zhou",Lei Li,English,"Finding the fastest path in the time-dependent road network is time consuming because its problem complexity is   , where    is the size of the result's time-dependent function,    and    are the number of vertices and edges. There are three kinds of fastest path problems:  SSFP (Single-Staring Time Fastest Path)  that has a fixed departure time,  ISFP (Interval-Staring Time Fastest Path)  that selects the best departure time from an interval, and  FPP (Fastest Path Profile)  that returns the travel time of the entire time domain. In this paper, we aim to answer these three queries in time-dependent road network faster by extending the  2-hop labeling  approach, which is fast in answering shortest distance query in the static graph. However, it is hard to construct index for  SSFP  and  ISFP  because there are    and    possible time points and intervals, where    is the time domain. Therefore?…",Article,https://ieeexplore.ieee.org/abstract/document/9040652/,24,li2020fastest,"Path finding, query processing, time dependnet graph, road network, hop labeling"
2021,2021 IEEE 37th International Conference on Data Engineering (ICDE),Efficient Constrained Shortest Path Query Answering with Forest Hop Labeling,"Ziyi Liu, Lei Li, Mengxuan Zhang, Wen Hua, Pingfu Chao, Xiaofang Zhou",Ziyi Liu,English,"The Constrained Shortest Path (CSP) problem aims to find the shortest path between two nodes in a road network subject to a given constraint on another attribute. It is typically processed as a skyline path problem on the two attributes, resulting in very high computational cost which can be prohibitive for large road networks. The main bottleneck is to deal with a large amount of partial skyline paths, which further makes the existing index-based methods incapable to obtain the complete exact skyline paths. In this paper, we propose a novel skyline path concatenation approach to avoid the expensive skyline path search, which is then used to efficiently construct a 2-hop labeling index for the CSP queries. Specifically, a rectangle-based technique is designed to prune the concatenation space from multiple hops, and a constraint pruning method is used to further speed up the CSP query processing. To further scale up?…",Conference paper,https://ieeexplore.ieee.org/abstract/document/9458815/,22,liu2021efficient,Constrained Shortest Path
2021,Proceedings of the VLDB Endowment,An Experimental Evaluation and Guideline for Path Finding in Weighted Dynamic Network,"Mengxuan Zhang, Lei Li, Xiaofang Zhou",Mengxuan Zhang,English,"Shortest path computation is a building block of various network applications. Since real-life networks evolve as time passes, the Dynamic Shortest Path (DSP) problem has drawn lots of attention in recent years. However, as DSP has many factors related to network topology, update patterns, and query characteristics, existing works only test their algorithms on limited situations without sufficient comparisons with other approaches. Thus, it is still hard to choose the most suitable method in practice. To this end, we first identify the determinant dimensions and constraint dimensions of the DSP problem and create a complete problem space to cover all possible situations. Then we evaluate the state-of-the-art DSP methods under the same implementation standard and test them systematically under a set of synthetic dynamic networks. Furthermore, we propose the concept of dynamic degree to classify the dynamic?…",Conference paper,https://dl.acm.org/doi/abs/10.14778/3476249.3476267,20,zhang2021experimental,"Path Finding,Shortest Path"
2020,IEEE Transactions on Knowledge and Data Engineering,Stream Processing of Shortest Path Queries in Dynamic Road Networks,"Mengxuan Zhang, Lei Li, Wen Hua, Xiaofang Zhou",Mengxuan Zhang,English,"Shortest path query in road network is pervasive in various location-based services nowadays. As the business expands, the scalability issue becomes severer and more servers are deployed to cope with it. Moreover, as the traffic condition keeps changing over time, the existing index-based approaches can hardly adapt to the real-life dynamic environment. Therefore, batch shortest path algorithms have been proposed recently to answer a set of queries together using shareable computation. Besides, they can also work in a highly dynamic environment as no index is needed. However, the existing batch algorithms either assume the batch queries are finely decomposed or just process them without differentiation, resulting in poor query efficiency. In this work, we assume the traffic condition is stable over a short period and treat the issued queries within that period as a stream of query sets. Specifically, we first?…",Article,https://ieeexplore.ieee.org/abstract/document/9143298/,20,zhang2020stream,"Shortest path query, qurey decomposition, stream processing"
2022,Proceedings of the VLDB Endowment,Diversified Top-k Route Planning in Road Network,"Zihan Luo, Lei Li, Mengxuan Zhang, Wen Hua, Xiaofang Zhou",Zihan Luo,English,"Route planning is ubiquitous and has a profound impact on our daily life. However, the existing path algorithms tend to produce similar paths between similar OD (Origin-Destination) pairs because they optimize query results without considering their influence on the whole network, which further introduces congestions. Therefore, we investigate the problem of diversifying the top-k paths between an OD pair such that their similarities are under a threshold while their total length is minimal. However, the current solutions all depend on the expensive graph traversal which is too slow to apply in practice. Therefore, we first propose an edge deviation and concatenation-based method to avoid the expensive graph search in path enumeration. After that, we dive into the path relations and propose a path similarity computation method with constant complexity, and propose a pruning technique to improve efficiency. Finally?…",Conference paper,https://dl.acm.org/doi/abs/10.14778/3551793.3551863,17,luo2022diversified,"Top-k, Route planning,Road network"
2021,DASFAA,Efficient Trajectory Contact Query Processing,"Pingfu Chao, Dan He, Lei Li, Mengxuan Zhang, Xiaofang Zhou",Pingfu Chao,English," During an infectious disease outbreak, the contact tracing is regarded as the most crucial and effective way of disease control. As the users’ trajectories are widely obtainable due to the ubiquity of positioning devices, the contact tracing can be achieved by examining trajectories of confirmed patients to identify other trajectories that are contacted either directly or indirectly. In this paper, we propose a generalised Trajectory Contact Search (TCS) query, which models the contact tracing problem as well as other similar trajectory-based problems. In addition, we answer the query by proposing an iterative algorithm that finds contacted trajectories progressively along the transmission chains, and we further optimise each iteration in terms of time and space efficiency by proposing a hop scanning algorithm and a grid-based time interval tree. Extensive experiments on large-scale real-world data demonstrate the?…",Conference paper,https://link.springer.com/chapter/10.1007/978-3-030-73194-6_44,13,chao2021efficient,Trajectory Contact Query
2022,The VLDB Journal,Multi-Constraint Shortest Path using Forest Hop Labeling,"Ziyi Liu, Lei Li, Mengxuan Zhang, Wen Hua, Xiaofang Zhou",Ziyi Liu,English,"The Multi-Constraint Shortest Path (MCSP) problem aims to find the shortest path between two nodes in a network subject to a given constraint set. It is typically processed as a skyline path problem. However, the number of intermediate skyline paths becomes larger as the network size increases and the constraint number grows, which brings about the dramatical growth of computational cost and further makes the existing index-based methods hardly capable of obtaining the complete exact results. In this paper, we propose a novel high-dimensional skyline path concatenation method to avoid the expensive skyline path search, which supports the efficient construction of hop labeling index for MCSP queries. Specifically, a set of insightful observations and techniques are proposed to improve the efficiency of concatenating two skyline path set, a n-Cube technique is designed to prune the concatenation space?…",Article,https://link.springer.com/article/10.1007/s00778-022-00760-2,11,liu2023multi,"Route planning,Forest Hop Labeling"
