Year,Sources,Name,Authors,First Author,Chinese/English,Abstract,Venues,doi,Citation,Id,Keywords
2021,Proceedings of the AAAI Conference on Artificial Intelligence,Two-Stream Convolution Augmented Transformer for Human Activity Recognition,"Bing Li, Wei Cui, Wei Wang, Le Zhang, Zhenghua Chen, Min Wu",Bing Li,English,"Recognition of human activities is an important task due to its far-reaching applications such as healthcare system, context-aware applications, and security monitoring. Recently, WiFi based human activity recognition (HAR) is becoming ubiquitous due to its non-invasiveness. Existing WiFi-based HAR methods regard WiFi signals as a temporal sequence of channel state information (CSI), and employ deep sequential models (eg, RNN, LSTM) to automatically capture channel-over-time features. Although being remarkably effective, they suffer from two major drawbacks. Firstly, the granularity of a single temporal point is blindly elementary for representing meaningful CSI patterns. Secondly, the time-over-channel features are also important, and could be a natural data augmentation. To address the drawbacks, we propose a novel Two-stream Convolution Augmented Human Activity Transformer (THAT) model. Our model proposes to utilize a two-stream structure to capture both time-over-channel and channel-over-time features, and use the multi-scale convolution augmented transformer to capture range-based patterns. Extensive experiments on four real experiment datasets demonstrate that our model outperforms state-of-the-art models in terms of both effectiveness and efficiency.",Article,https://ojs.aaai.org/index.php/AAAI/article/view/16103,113,li2021two,"Human Activity Recognition(HAR), Transformer"
2020,IEEE Transactions on Knowledge & Data Engineering,An experimental study of state-of-the-art entity alignment approaches,"Xiang Zhao, Weixin Zeng, Jiuyang Tang, Wei Wang, Fabian Suchanek",Xiang Zhao,English,"Entity alignment (EA) finds equivalent entities that are located in different knowledge graphs (KGs), which is an essential step to enhance the quality of KGs, and hence of significance to downstream applications (e.g., question answering and recommendation). Recent years have witnessed a rapid increase of EA approaches, yet the relative performance of them remains unclear, partly due to the incomplete empirical evaluations, as well as the fact that comparisons were carried out under different settings (i.e., datasets, information used as input, etc.). In this paper, we fill in the gap by conducting a comprehensive evaluation and detailed analysis of state-of-the-art EA approaches. We first propose a general EA framework that encompasses all the current methods, and then group existing methods into three major categories. Next, we judiciously evaluate these solutions on a wide range of use cases, based on their?…",Article,https://ieeexplore.ieee.org/abstract/document/9174835/,104,zhao2020experimental,None
2020,Proceedings of the 43rd International ACM SIGIR Conference on Research and?…,Degree-Aware Alignment for Entities in Tail,"Weixin Zeng, Xiang Zhao, Wei Wang, Jiuyang Tang, Zhen Tan",Weixin Zeng,English,"Entity alignment (EA) is to discover equivalent entities in knowledge graphs (KGs), which bridges heterogeneous sources of information and facilitates the integration of knowledge. Existing EA solutions mainly rely on structural information to align entities, typically through KG embedding. Nonetheless, in real-life KGs, only a few entities are densely connected to others, and the rest majority possess rather sparse neighborhood structure. We refer to the latter as long-tail entities, and observe that such phenomenon arguably limits the use of structural information for EA.  To mitigate the issue, we revisit and investigate into the conventional EA pipeline in pursuit of elegant performance. For pre-alignment, we propose to amplify long-tail entities, which are of relatively weak structural information, with entity name information that is generally available (but overlooked) in the form of concatenated power mean word?…",Conference paper,https://dl.acm.org/doi/abs/10.1145/3397271.3401161,62,zeng2020degree,"Entity alignment, Long-tail, Co-attention, Iterative training"
2021,IEEE Transactions on Industrial Informatics,Unsupervised domain adaptation for nonintrusive load monitoring via adversarial and joint adaptation network,"Yinyan Liu, Li Zhong, Jing Qiu, Junda Lu, Wei Wang",Yinyan Liu,English,"Nonintrusive load monitoring (NILM) is a technique to disaggregate an appliance's load consumption from the aggregate load in a house. Monitoring the energy behavior has become increasingly important for home energy management. For many machine learning-based models, model training needs enough, and diverse appliance-level labeled data from different houses, which is very time-consuming, expensive, and unacceptable for users. In this article, we propose an algorithm based on the adversarial network and the joint adaptation network for energy disaggregation to decrease the distribution gaps of both the feature space and the label space between the source and target domains. With only very limited labeled data in the source domain and enough unlabeled data in the target domain, our proposed algorithm can obtain satisfactory accuracy results for NILM. Extensive experiments for intradomain and?…",Article,https://ieeexplore.ieee.org/abstract/document/9380223/,57,liu2021unsupervised,"Adversarial network, joint probability adaptation, nonintrusive load monitoring, unsupervised Mon (UDA)"
2020,Proceedings of the VLDB Endowment,VHP: approximate nearest neighbor search via virtual hypersphere partitioning,"Kejing Lu, Hongya Wang, Wei Wang, Mineichi Kudo",Kejing Lu,English,"Locality sensitive hashing (LSH) is a widely practiced c-approximate nearest neighbor(c-ANN) search algorithm in high dimensional spaces. The state-of-the-art LSH based algorithm searches an unbounded and irregular space to identify candidates, which jeopardizes the efficiency. To address this issue, we introduce the concept of virtual hypersphere partitioning. The core idea is to impose a virtual hypersphere, centered at the query, in the original feature space and only examine points inside the hypersphere. The search space of a hypersphere is isotropic and bounded, and thus more efficient than the existing one. In practice, we use multiple physical hyperspheres with different radii in corresponding projection subspaces to emulate the single virtual hypersphere. We also developed a principled method to compute the hypersphere radii for given success probability. Based on virtual hypersphere partitioning, we propose a novel disk-based indexing and searching scheme VHP to answer c-ANN queries. In the indexing phase, VHP stores LSH projections with independent B+-trees. To process a query, VHP keeps increasing the radii of physical hyperspheres coordinately, which in effect amounts to enlarging the virtual hypersphere, to accommodate more candidates until the success probability is met. Rigorous theoretical analysis shows that the proposed algorithm supports c-ANN search for arbitrarily small c >= 1 with probability guarantee. Extensive experiments on a variety of datasets, including the billion-scale ones, demonstrate that VHP could achieve different tradeoffs between efficiency and accuracy, and achieves up to 2x speedup in?…",Article,https://eprints.lib.hokudai.ac.jp/dspace/handle/2115/79717,46,lu2020vhp,"Approximate Nearest Neighbor Search(ANNS),Virtual Hypersphere Partitioning"
2020,AAAI,GraphER: Token-Centric Entity Resolution with Graph Convolutional Neural Networks,"Bing Li, Wei Wang, Yifang Sun, Linhan Zhang, Muhammad Asif Ali, Yi Wang",Bing Li,English,"Entity resolution (ER) aims to identify entity records that refer to the same real-world entity, which is a critical problem in data cleaning and integration. Most of the existing models are attribute-centric, that is, matching entity pairs by comparing similarities of pre-aligned attributes, which require the schemas of records to be identical and are too coarse-grained to capture subtle key information within a single attribute. In this paper, we propose a novel graph-based ER model GraphER. Our model is token-centric: the final matching results are generated by directly aggregating token-level comparison features, in which both the semantic and structural information has been softly embedded into token embeddings by training an Entity Record Graph Convolutional Network (ER-GCN). To the best of our knowledge, our work is the first effort to do token-centric entity resolution with the help of GCN in entity resolution task. Extensive experiments on two real-world datasets demonstrate that our model stably outperforms state-of-the-art models.",Conference paper,https://aaai.org/ojs/index.php/AAAI/article/view/6330,45,li2020grapher,"Entity Resolution, Graph Neural Network(GNN)"
2023,arXiv preprint arXiv:2305.12870,Lion: Adversarial Distillation of Closed-Source Large Language Model,"Yuxin Jiang, Chunkit Chan, Mingyang Chen, Wei Wang",Yuxin Jiang,English,"The practice of transferring knowledge from a sophisticated, closed-source large language model (LLM) to a compact, open-source LLM has garnered considerable attention. Previous works have focused on a unidirectional knowledge distillation way by aligning the responses of the student model with those of the teacher model to a set of instructions. Nevertheless, they overlooked the possibility of incorporating any reciprocal ""feedback""--identifying challenging instructions where the student model's performance falls short--to boost the student model's proficiency iteratively. To this end, we propose a novel adversarial distillation framework for a more efficient knowledge transfer. Leveraging the versatile role adaptability of LLMs, we prompt the closed-source model to identify ""hard"" instructions and generate new ""hard"" instructions for the student model, creating a three-stage adversarial loop of imitation, discrimination, and generation. By applying this adversarial framework, we successfully transfer knowledge from ChatGPT to a 7B student model (named Lion), achieving nearly 95% capability approximation using a mere 70k training data. We aspire that this proposed model may serve as the baseline to reflect the performance of ChatGPT, especially the open-source instruction-following language model baseline for our community.",Article,https://arxiv.org/abs/2305.12870,44,jiang2023lion,"Adversarial Distillation,Large Language Model(LLM)"
2021,arXiv preprint arXiv:2110.06651,MDERank: A masked document embedding rank approach for unsupervised keyphrase extraction,"Linhan Zhang, Qian Chen, Wen Wang, Chong Deng, Shiliang Zhang, Bing Li, Wei Wang, Xin Cao",Linhan Zhang,English,"Keyphrase extraction (KPE) automatically extracts phrases in a document that provide a concise summary of the core content, which benefits downstream information retrieval and NLP tasks. Previous state-of-the-art (SOTA) methods select candidate keyphrases based on the similarity between learned representations of the candidates and the document. They suffer performance degradation on long documents due to discrepancy between sequence lengths which causes mismatch between representations of keyphrase candidates and the document. In this work, we propose a novel unsupervised embedding-based KPE approach, Masked Document Embedding Rank (MDERank), to address this problem by leveraging a mask strategy and ranking candidates by the similarity between embeddings of the source document and the masked document. We further develop a KPE-oriented BERT (KPEBERT) model by proposing a novel self-supervised contrastive learning method, which is more compatible to MDERank than vanilla BERT. Comprehensive evaluations on six KPE benchmarks demonstrate that the proposed MDERank outperforms state-of-the-art unsupervised KPE approach by average 1.80 $F1@15$ improvement. MDERank further benefits from KPEBERT and overall achieves average 3.53 $F1@15$ improvement over the SOTA SIFRank. Our code is available at \url{https://github.com/LinhanZ/mderank}.",Article,https://arxiv.org/abs/2110.06651,42,zhang2021mderank,"Key phrase extraction(KPE), embedding-based, BERT"
2020,AAAI,HAMNER: Headword Amplified Multi-span Distantly Supervised Method for Domain Specific Named Entity Recognition,"Shifeng Liu, Yifang Sun, Bing Li, Wei Wang, Xiang Zhao",Shifeng Liu,English,"To tackle Named Entity Recognition (NER) tasks, supervised methods need to obtain sufficient cleanly annotated data, which is labor and time consuming. On the contrary, distantly supervised methods acquire automatically annotated data using dictionaries to alleviate this requirement. Unfortunately, dictionaries hinder the effectiveness of distantly supervised methods for NER due to its limited coverage, especially in specific domains. In this paper, we aim at the limitations of the dictionary usage and mention boundary detection. We generalize the distant supervision by extending the dictionary with headword based non-exact matching. We apply a function to better weight the matched entity mentions. We propose a span-level model, which classifies all the possible spans then infers the selected spans with a proposed dynamic programming algorithm. Experiments on all three benchmark datasets demonstrate that our method outperforms previous state-of-the-art distantly supervised methods.",Conference paper,https://ojs.aaai.org/index.php/AAAI/article/view/6358,32,liu2020hamner,Named Entity Recognition(NER)
2021,Proceedings of the AAAI Conference on Artificial Intelligence,Improving the Efficiency and Effectiveness for BERT-based Entity Resolution,"Bing Li, Yukai Miao, Yaoshu Wang, Yifang Sun, Wei Wang",Bing Li,English,"BERT has set a new state-of-the-art performance on entity resolution (ER) task, largely owed to fine-tuning pre-trained language models and the deep pair-wise interaction. Albeit being remarkably effective, it comes with a steep increase in computational cost, as the deep-interaction requires to exhaustively compute every tuple pair to search for co-references. For ER task, it is often prohibitively expensive due to the large cardinality to be matched. To tackle this, we introduce a siamese network structure that independently encodes tuples using BERT but delays the pair-wise interaction via an enhanced alignment network. This siamese structure enables a dedicated blocking module to quickly filter out obviously dissimilar tuple pairs, and thus drastically reduces the cardinality of fine-grained matching. Further, the blocking and entity matching are integrated into a multi-task learning framework for facilitating both tasks. Extensive experiments on multiple datasets demonstrate that our model significantly outperforms state-of-the-art models (including BERT) in both efficiency and effectiveness.",Article,https://ojs.aaai.org/index.php/AAAI/article/view/17562,30,li2021improving,"BERT, Entity Resolution"
