Year,Sources,Name,Authors,First Author,Chinese/English,Abstract,Venues,doi,Citation,Id,Keywords
2021,Knowledge-Based Systems 212,AutoML: A Survey of the State-of-the-Art,"Xin He, Kaiyong Zhao, Xiaowen Chu",Xin He,English,"Deep learning (DL) techniques have obtained remarkable achievements on various tasks, such as image recognition, object detection, and language modeling. However, building a high-quality DL system for a specific task highly relies on human expertise, hindering its wide application. Meanwhile, automated machine learning (AutoML) is a promising solution for building a DL system without human assistance and is being extensively studied. This paper presents a comprehensive and up-to-date review of the state-of-the-art (SOTA) in AutoML. According to the DL pipeline, we introduce AutoML methods – covering data preparation, feature engineering, hyperparameter optimization, and neural architecture search (NAS) – with a particular focus on NAS, as it is currently a hot sub-topic of AutoML. We summarize the representative NAS algorithms’ performance on the CIFAR-10 and ImageNet datasets and further?…",Article,https://www.sciencedirect.com/science/article/pii/S0950705120307516,1566,he2021automl,"deep learning, automated machine learning (AutoML), neural architecture search (NAS), hyperparameter optimization (HPO)"
2020,IEEE ICDCS 2020,FMore: An Incentive Scheme of Multi-dimensional Auction for Federated Learning in MEC,"Rongfei Zeng, Shixun Zhang, Jiaqi Wang, Xiaowen Chu",Rongfei Zeng,English,"Promising federated learning coupled with Mobile Edge Computing (MEC) is considered as one of the most promising solutions to the AI-driven service provision. Plenty of studies focus on federated learning from the performance and security aspects, but they neglect the incentive mechanism. In MEC, edge nodes would not like to voluntarily participate in learning, and they differ in the provision of multi-dimensional resources, both of which might deteriorate the performance of federated learning. Also, lightweight schemes appeal to edge nodes in MEC. These features require the incentive mechanism to be well designed for MEC. In this paper, we present an incentive mechanism FMore with multi-dimensional procurement auction of K winners. Our proposal FMore not only is lightweight and incentive compatible, but also encourages more high-quality edge nodes with low cost to participate in learning and?…",Conference paper,https://ieeexplore.ieee.org/abstract/document/9355731/,185,zeng2020fmore,"Mobile edge computing, multi-dimensional auction, federated learning, incentive mechanism"
2020,arXiv preprint arXiv:2002.07526,A survey of deep learning techniques for neural machine translation,"Shuoheng Yang, Yuxin Wang, Xiaowen Chu",Shuoheng Yang,English,"In recent years, natural language processing (NLP) has got great development with deep learning techniques. In the sub-field of machine translation, a new approach named Neural Machine Translation (NMT) has emerged and got massive attention from both academia and industry. However, with a significant number of researches proposed in the past several years, there is little work in investigating the development process of this new technology trend. This literature survey traces back the origin and principal development timeline of NMT, investigates the important branches, categorizes different research orientations, and discusses some future research trends in this field.",Conference paper,https://arxiv.org/abs/2002.07526,177,yang2020survey,"Neural Machine Translation, Deep Learning,Attention Mechanism"
2021,IEEE Transactions on Network Science and Engineering,Vfchain: Enabling verifiable and auditable federated learning via blockchain systems,"Zhe Peng, Jianliang Xu, Xiaowen Chu, Shang Gao, Yuan Yao, Rong Gu, Yuzhe Tang",Zhe Peng,English,"Advanced artificial intelligence techniques, such as federated learning, has been applied to broad areas, e.g., image classification, speech recognition, smart city, and healthcare. Despite intensive research on federated learning, existing schemes are vulnerable to attacks and can hardly meet the security requirements for real-world applications. The problem of designing a secure federated learning framework to ensure the correctness of training procedure has not been sufficiently studied and remains open. In this paper, we propose VFChain, a verifiable and auditable federated learning framework based on the blockchain system. First, to provide the verifiability, a committee is selected through the blockchain to collectively aggregate models and record verifiable proofs in the blockchain. Then, to provide the auditability, a novel authenticated data structure is proposed for blockchain to improve the search efficiency?…",Article,https://ieeexplore.ieee.org/abstract/document/9321132/,150,peng2021vfchain,"Federated Learning, model verification, auditable training, blockchain"
2020,arXiv preprint arXiv:2003.06307,Communication-efficient distributed deep learning: A comprehensive survey,"Zhenheng Tang, Shaohuai Shi, Xiaowen Chu, Wei Wang, Bo Li",Zhenheng Tang,English,"Distributed deep learning (DL) has become prevalent in recent years to reduce training time by leveraging multiple computing devices (e.g., GPUs/TPUs) due to larger models and datasets. However, system scalability is limited by communication becoming the performance bottleneck. Addressing this communication issue has become a prominent research topic. In this paper, we provide a comprehensive survey of the communication-efficient distributed training algorithms, focusing on both system-level and algorithmic-level optimizations. We first propose a taxonomy of data-parallel distributed training algorithms that incorporates four primary dimensions: communication synchronization, system architectures, compression techniques, and parallelism of communication and computing tasks. We then investigate state-of-the-art studies that address problems in these four dimensions. We also compare the convergence rates of different algorithms to understand their convergence speed. Additionally, we conduct extensive experiments to empirically compare the convergence performance of various mainstream distributed training algorithms. Based on our system-level communication cost analysis, theoretical and experimental convergence speed comparison, we provide readers with an understanding of which algorithms are more efficient under specific distributed environments. Our research also extrapolates potential directions for further optimizations.",Conference paper,https://arxiv.org/abs/2003.06307,121,tang2020communication,"Distributed Deep Learning, Efficient Communication"
2021,arXiv preprint arXiv:2106.15406,A comprehensive survey of incentive mechanism for federated learning,"Rongfei Zeng, Chao Zeng, Xingwei Wang, Bo Li, Xiaowen Chu",Rongfei Zeng,English,"Federated learning utilizes various resources provided by participants to collaboratively train a global model, which potentially address the data privacy issue of machine learning. In such promising paradigm, the performance will be deteriorated without sufficient training data and other resources in the learning process. Thus, it is quite crucial to inspire more participants to contribute their valuable resources with some payments for federated learning. In this paper, we present a comprehensive survey of incentive schemes for federate learning. Specifically, we identify the incentive problem in federated learning and then provide a taxonomy for various schemes. Subsequently, we summarize the existing incentive mechanisms in terms of the main techniques, such as Stackelberg game, auction, contract theory, Shapley value, reinforcement learning, blockchain. By reviewing and comparing some impressive results, we figure out three directions for the future study.",Conference paper,https://arxiv.org/abs/2106.15406,101,zeng2021comprehensive,"Federated learning, incentive mechanism, performance improvement"
2023,IEEE Transactions on Parallel and Distributed Systems,GossipFL: A Decentralized Federated Learning Framework with Sparsified and Adaptive Communication,"Zhenheng Tang, Shaohuai Shi, Bo Li, Xiaowen Chu",Zhenheng Tang,English,"Recently, federated learning (FL) techniques have enabled multiple users to train machine learning models collaboratively without data sharing. However, existing FL algorithms suffer from the communication bottleneck due to network bandwidth pressure and/or low bandwidth utilization of the participating clients in both centralized and decentralized architectures. To deal with the communication problem while preserving the convergence performance, we introduce a communication-efficient decentralized FL framework GossipFL. In GossipFL, we 1) design a novel sparsification algorithm to enable that each client only needs to communicate with one peer with a highly sparsified model, and 2) propose a new and novel gossip matrix generation algorithm that can better utilize the bandwidth resources while preserving the convergence property. We also theoretically prove that GossipFL has convergence guarantees. We?…",Article,https://ieeexplore.ieee.org/abstract/document/9996127/,49,tang2022gossipfl,"Deep learning, federated learning, communication efficiency"
2021,AAAI 2021,Automated Model Design and Benchmarking of 3D Deep Learning Models for COVID-19 Detection with Chest CT Scans,"Xin He, Shihao Wang, Xiaowen Chu, Shaohuai Shi, Jiangping Tang, Xin Liu, Chenggang Yan, Jiyong Zhang, Guiguang Ding",Xin He,English,"The COVID-19 pandemic has spread globally for several months. Because its transmissibility and high pathogenicity seriously threaten people's lives, it is crucial to accurately and quickly detect COVID-19 infection. Many recent studies have shown that deep learning (DL) based solutions can help detect COVID-19 based on chest CT scans. However, most existing work focuses on 2D datasets, which may result in low quality models as the real CT scans are 3D images. Besides, the reported results span a broad spectrum on different datasets with a relatively unfair comparison. In this paper, we first use three state-of-the-art 3D models (ResNet3D101, DenseNet3D121, and MC3\_18) to establish the baseline performance on three publicly available chest CT scan datasets. Then we propose a differentiable neural architecture search (DNAS) framework to automatically search the 3D DL models for 3D chest CT scans classification and use the Gumbel Softmax technique to improve the search efficiency. We further exploit the Class Activation Mapping (CAM) technique on our models to provide the interpretability of the results. The experimental results show that our searched models (CovidNet3D) outperform the baseline human-designed models on three datasets with tens of times smaller model size and higher accuracy. Furthermore, the results also verify that CAM can be well applied in CovidNet3D for COVID-19 datasets to provide interpretability for medical diagnosis. Code: https://github. com/HKBU-HPML/CovidNet3D.",Article,https://ojs.aaai.org/index.php/AAAI/article/view/16614,42,he2021automated,"deep learning,CT scans,COVID-19"
2020,2020 International Conference on Robotics and Automation (ICRA),FADNet: A Fast and Accurate Network for Disparity Estimation,"Qiang Wang, Shaohuai Shi, Shizhen Zheng, Kaiyong Zhao, Xiaowen Chu",Qiang Wang,English,"Deep neural networks (DNNs) have achieved great success in the area of computer vision. The disparity estimation problem tends to be addressed by DNNs which achieve much better prediction accuracy in stereo matching than traditional hand-crafted feature based methods. On one hand, however, the designed DNNs require significant memory and computation resources to accurately predict the disparity, especially for those 3D convolution based networks, which makes it difficult for deployment in real-time applications. On the other hand, existing computation-efficient networks lack expression capability in large-scale datasets so that they cannot make an accurate prediction in many scenarios. To this end, we propose an efficient and accurate deep network for disparity estimation named FADNet with three main features: 1) It exploits efficient 2D based correlation layers with stacked blocks to preserve fast?…",Conference paper,https://ieeexplore.ieee.org/abstract/document/9197031/,79,wang2020fadnet,"deep neural networks,Disparity Estimation"
2022,IEEE Transactions on Network Science and Engineering,"Dissecting Mining Pools of Bitcoin Network: Measurement, Analysis and Modeling","Canhui Wang, Xiaowen Chu, Yang Qin",Canhui Wang,English,"Bitcoin network is one of the most popular blockchain systems. Mining pools are the main components of the Bitcoin network that invest a large amount of computing power to maximize their expected mining payoffs, which guarantees the security of the Bitcoin network. Although many existing works about mining pools are available, the long-term evolution of mining pools, and their effects on both the Bitcoin system and end-users, remain to be investigated. To fill this gap, we trace over 2.54 hundred thousand blocks from Feb 2016 to Nov 2020 and collect over 12 million unconfirmed transactions from Mar 2018 to Nov 2020. We then conduct a broad range of analyses, including the pool evolution, labeled transactions, and labeled blocks. We make the following observations from our measured data: 1) A few mining pools control most of the peer-to-peer network's computing power. 2) The long-term computing power?…",Article,https://ieeexplore.ieee.org/abstract/document/9907879/,4,wang2022dissecting,"Bitcoin network, mining pool, proof-of-work,mining strategy, incentive mechanism"
