Year,Sources,Name,Authors,First Author,Chinese/English,Abstract,Venues,doi,Citation,Id,Keywords
2020,Automation in Construction 119,Generating layout designs from high-level specifications,"Xiao-Yu Wang, Kang Zhang",Xiao-Yu Wang,English,"This paper presents a framework for the automatic generation of floor plans based on adjacency relations among rooms. The adjacency can be generated from user-specified design requirements using a graph grammar formalism. We propose a set of grammar rules to generate graphs that represent adjacency relationships. Our solution overcomes the limitation of previous approaches that generate only rectangular floor plans. We define a set of constraints, such as plan size, room orientation and aspect ratio, for specifying the desired floor plans; and present a set of algorithms for placing rectangular or non-rectangular rooms and for generating non-rectangular floor plan boundaries. We demonstrate that our method can generate varied floor plans from user-specified design requirements.",Article,https://www.sciencedirect.com/science/article/pii/S0926580520301199,28,wang2020generating,None
2020,Journal of Visualization 23,The influence of font scale on semantic expression of word cloud,"Lu Yang, Jie Li, Wenhuan Lu, Yi Chen, Kang Zhang, Yan Li",Lu Yang,English," Abstract Word cloud is a common text visualization technique. With the ability of presenting the keywords of a document in a direct way, it has been widely applied in many real-world situations. However, to better represent the main idea of a document, a critical aspect for word cloud design is to set an appropriate font size to facilitate semantic expression. In this paper, we explore the influence of font scale on semantic expression and evaluate font size of word cloud in a more systematic approach. To quantify semantic information of a document, we utilize an LDA ensemble-based method to support interactive selection of topics and obtain the semantics of documents in a scientific way. We conducted two pilot studies to decide important attributes of word clouds for the formal study. Through formal study 1, we find that the scale affects the semantic expression of word cloud, including accuracy, time and confidence in?…",Article,https://link.springer.com/article/10.1007/s12650-020-00678-3,26,yang2020influence,"Visualization,Word cloud ,Semantic expression,LDA ensemble-based method"
2022,The Visual Computer,Visual complexity of shapes: a hierarchical perceptual learning model,"Lingchen Dai, Kang Zhang, Xianjun Sam Zheng, Ralph R Martin, Yina Li, Jinhui Yu",Lingchen Dai,English," Understanding how people perceive the visual complexity of shapes has important theoretical as well as practical implications. One school of thought, driven by information theory, focuses on studying the local features that contribute to the perception of visual complexity. Another school, in contrast, emphasizes the impact of global characteristics of shapes on perceived complexity. Inspired by recent discoveries in neuroscience, our model considers both local features of shapes: edge lengths and vertex angles, and global features: concaveness, and is in 92% agreement with human subjective ratings of shape complexity. The model is also consistent with the hierarchical perceptual learning theory, which explains how different layers of neurons in the visual system act together to yield a perception of visual shape complexity. ",Article,https://link.springer.com/article/10.1007/s00371-020-02023-z,14,dai2022visual,None
2020,Journal of Computer Languages 58,Parametric modeling and generation of mandala thangka patterns,"Jiajing Zhang, Kang Zhang, Ren Peng, Jinhui Yu",Jiajing Zhang,English,"The mandala thangka, as a religious art in Tibetan Buddhism, is an invaluable cultural and artistic heritage. However, drawing a mandala pattern of thangka style is both time- and effort-consuming and requires mastery due to intricate details. Retaining and digitizing this heritage is an unresolved research challenge to date. In this paper, we propose a parametric approach to model and generate mandala thangka patterns to address this issue. Specifically, we construct parameterized models of three stylistic elements used in the interior mandalas of Nyingma school in Tibetan Buddhism according to their geometric features, namely the star, crescent, and lotus flower motifs. Varieties of interior mandala patterns are successfully generated using these parameterized motifs based on the hierarchical structures observed from hand-drawn mandalas. Moreover, we design a user interaction tool which can flexibly generate?…",Article,https://www.sciencedirect.com/science/article/pii/S2590118420300289,12,zhang2020parametric,"Mandala thangka,Parametric modeling,Geometric features,Parameterized motifs,User interaction,Stylized mandala patterns"
2020,The Computer Journal,A graph grammar approach to the design and validation of floor plans,"Xiao-Yu Wang, Yu-Feng Liu, Kang Zhang",Xiao-Yu Wang,English," Researchers have proposed many approaches to generate floor plans using shape grammars. None of them, however, testifies the semantic relations among rooms. This paper presents a generic approach for grammar specification, grammar induction, validation, and design generation of house floor plans using their path graphs based on the reserved graph grammar (RGG) formalism. In our approach, the connectivity of a floor plan is analyzed by user-specified graph grammar transformation rules, also known as productions. Floor plans of houses in different styles share common attributes while retaining specific features. By identifying these features, our approach validates floor plans in different styles with user-specified graph productions. A graph grammar induction engine is also introduced to assist designers by automatically inferring graph productions from an input graph set. In addition, the derivation?…",Article,https://academic.oup.com/comjnl/article-abstract/63/1/137/5316176,12,wang2020graph,"oor planning, graph grammar, reserved graph grammar (RGG), design validation, graph"
2022,The Computer Journal,Measuring and evaluating the visual complexity of Chinese ink paintings,"Zhen-Bao Fan, Yi-Na Li, Kang Zhang, Jinhui Yu, Mao Lin Huang",Zhen-Bao Fan,English," Painters arrange white space in contrast with chromatic space composed of strokes. This research measures white space, color complexity and stroke density in Chinese ink paintings and examines how these attributes influence the paintings’ perceived complexity. Empirical evidence from 21 well-known modern Chinese artists’ ink paintings shows that white space decreases paintings’ complexity, while chromatic space and stroke density increase complexity. We also reveal that a large rate of white space guides the viewers’ attention on chromatic space and enhances the impacts of color complexity and stroke density on perceived complexity. An eye-tracker measures viewers’ elaboration duration on each painting, which provides consistent evidence to validate our conclusion based on subjective reported visual complexity. Our research provides insights into the rhetorical role of white space in sensory?…",Article,https://academic.oup.com/comjnl/article-abstract/65/8/1964/6278154,11,fan2022measuring,"paintings, complexity, regression model, visual rhetoric, visual information processing"
2021,Multimedia Tools and Applications 80,An end-to-end model for chinese calligraphy generation,"Peichi Zhou, Zipeng Zhao, Kang Zhang, Chen Li, Changbo Wang",Peichi Zhou,English," A Chinese calligraphy copybook usually has a limited number of Chinese characters, far from a whole set of characters needed for typesetting. Therefore, there is a need to develop complete sets of Chinese calligraphy libraries for well-known calligrapher styles. This paper proposes an end-to-end network for character generation based on specific calligraphy styles. Specifically, a style transfer network is designed to transfer the style of characters, and a content supplement network is designed to capture the details of stylish strokes. Our model can generate high-quality calligraphy images without manually annotating data. To verify the generated calligraphy styles, a new dataset is constructed for experimental comparison between our method and two other baseline methods. Moreover, a user study is conducted to evaluate our generated calligraphy from a visual perspective. When the experiment?…",Article,https://link.springer.com/article/10.1007/s11042-020-09709-5,10,zhou2021end,"Calligraphy,Generative models,Font style transfer,Deep learning"
2020,Visual Computing for Industry,Visual order of Chinese ink paintings,"Zhen-Bao Fan, Kang Zhang",Zhen-Bao Fan,English," Visual order is one of the key factors influencing the aesthetic judgment of artworks. This paper reports the results of evaluating the influence of extracted features on visual order in Chinese ink paintings, using a regression model. We use nine contemporary artists’ paintings as examples and extract features related to the visual order of their paintings. A questionnaire survey is conducted to collect people’s rating scores on the visual order. Via regression modeling, our research analyzes the significance of each feature and validates the influences of the features on the visual order.",Article,https://link.springer.com/article/10.1186/s42492-020-00059-5,10,fan2020visual,None
2023,Composites Part A: Applied Science and Manufacturing 167,Ultrahigh energy-dissipation and multifunctional auxetic polymeric foam inspired by balloon art,"Kang Zhang, Xiyao Zhang, Qiang Gao, Meishan Chan, Shilong Zhang, Jifan Li, Wei-Hsin Liao",Kang Zhang,English,"Herein, we report a novel strategy for making ultrahigh energy-dissipation auxetic foam inspired by balloon art. As revealed by finite element analysis of balloon deformation evolution in polymer matrix, spherical balloons will turn to reentrant shape when compressed uniaxially in polymer matrix with large Poisson’s ratio. By utilizing the know-how, auxetic silicone foam (ASF) was successfully developed through a well-designed foaming-compression-curing process. ASF shows ultrahigh energy dissipation capability of ～2000?kJ/m3, which is over 80 times higher than conventional auxetic polyurethane foams. Moreover, ASF has low water absorption and high chemical and temperature resistance, allowing it to be used in harsh circumstances. Additionally, ASF is a thermal-responsive material that can expand at high temperature and return to its initial state when cooling down. Our work provides routes towards?…",Article,https://www.sciencedirect.com/science/article/pii/S1359835X23000118,8,zhang2023ultrahigh,None
2020,The Visual Computer 36,Interactive influences of color attributes on color perception bias,"Huan Yang, Yi-Na Li, Kang Zhang",Huan Yang,English," Graphic user interfaces and information visualization use color to represent qualitative or quantitative information. The interaction between adjacent colors leads to perceptual bias, known as simultaneous color contrast, and implicitly distort the understanding of visualized information presentation. To investigate the effect of simultaneous color contrast, we conduct two empirical experiments, in both theoretical and application settings, using a set of random target/proximal combinations of colors in the CIEL*a*b* color space. The perception bias of a target color, induced by its surround, is measured. Linear regression analysis indicates that both a high saturation of the proximal color and a high a*/low b* value of the target color cause a strong simultaneous color contrast (i.e., high perception bias). A moderating effect analysis indicates that a* value/b* value of the target color moderates the influence of the?…",Article,https://link.springer.com/article/10.1007/s00371-019-01706-6,7,yang2020interactive,"Color perception,Perception bias,Simultaneous color contrast,Visualization"
